tournament, date, aName, bName, aSets, bSets, aS1, aS2, aS3, aS4, aS5, bS1, bS2, bS3, bS4, bS5
Aberto de Sao Paulo - Sao Paulo ,2007-01-01 ,Ramon Delgado ,Yohny Romero ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,
Aberto de Sao Paulo - Sao Paulo ,2007-01-01 ,Dominik Meffert ,Caio Zampieri ,2 ,0 ,7 ,6 , , , ,5 ,1 , , ,
Aberto de Sao Paulo - Sao Paulo ,2007-01-01 ,Diego Hartfield ,Yuriy Schukin ,2 ,0 ,7 ,6 , , , ,5 ,3 , , ,
Aberto de Sao Paulo - Sao Paulo ,2007-01-01 ,Ricardo Hocevar ,Adam Vejmelka ,2 ,1 ,4 ,6 ,6 , , ,6 ,3 ,0 , ,
Aberto de Sao Paulo - Sao Paulo ,2007-01-01 ,Eric Gomes ,Pablo Cuevas ,2 ,0 ,6 ,7 , , , ,4 ,6 , , ,
Chennai Open - Chennai ,2007-01-01 ,Xavier Malisse ,Danai Udomchoke ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
Chennai Open - Chennai ,2007-01-01 ,David Skoch ,Alexander Peya ,2 ,1 ,4 ,6 ,6 , , ,6 ,4 ,4 , ,
Chennai Open - Chennai ,2007-01-01 ,Kevin Kim ,Simon Greul ,2 ,1 ,1 ,6 ,6 , , ,6 ,2 ,3 , ,
Chennai Open - Chennai ,2007-01-01 ,Nicolas Mahut ,Alejandro Falla ,2 ,0 ,7 ,6 , , , ,5 ,4 , , ,
Chennai Open - Chennai ,2007-01-01 ,Stefano Galvani ,Yen-Hsun Lu ,2 ,0 ,6 ,6 , , , ,2 ,3 , , ,
Chennai Open - Chennai ,2007-01-01 ,Julien Benneteau ,Teimuraz Gabashvili ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
Chennai Open - Chennai ,2007-01-01 ,Ivo Karlovic ,Prakash Amritraj ,2 ,0 ,7 ,6 , , , ,6 ,3 , , ,
Chennai Open - Chennai ,2007-01-01 ,Konstantinos Economidis ,Marin Cilic ,2 ,0 ,6 ,7 , , , ,1 ,6 , , ,
Chennai Open - Chennai ,2007-01-01 ,Simone Bolelli ,Michael Berrer ,2 ,1 ,7 ,5 ,6 , , ,6 ,7 ,2 , ,
Chennai Open - Chennai ,2007-01-01 ,Santiago Giraldo ,Harel Levy ,2 ,1 ,4 ,6 ,7 , , ,6 ,4 ,6 , ,
Hyundai Hopman Cup - Perth ,2007-01-01 ,Tommy Robredo ,Mario Ancic ,2 ,1 ,3 ,7 ,6 , , ,6 ,5 ,3 , ,
Next Generation Adelaide International - Adelaide ,2007-01-01 ,Igor Kunitsyn ,Wesley Moodie ,2 ,1 ,7 ,3 ,6 , , ,6 ,6 ,1 , ,
Next Generation Adelaide International - Adelaide ,2007-01-01 ,Alun Jones ,Jan Hajek ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,
Next Generation Adelaide International - Adelaide ,2007-01-01 ,Peter Luczak ,Dominik Hrbaty ,2 ,0 ,7 ,6 , , , ,6 ,3 , , ,
Next Generation Adelaide International - Adelaide ,2007-01-01 ,Florent Serra ,Joachim Johansson ,2 ,1 ,2 ,6 ,6 , , ,6 ,3 ,4 , ,
Next Generation Adelaide International - Adelaide ,2007-01-01 ,Chris Guccione ,Benjamin Becker ,2 ,0 ,7 ,6 , , , ,5 ,3 , , ,
Next Generation Adelaide International - Adelaide ,2007-01-01 ,Frank Dancevic ,Paul Baccanello ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
Next Generation Adelaide International - Adelaide ,2007-01-01 ,Evgeny Korolev ,Nathan Healey ,2 ,0 ,7 ,7 , , , ,5 ,5 , , ,
Next Generation Adelaide International - Adelaide ,2007-01-01 ,Juan Martin Del Potro ,Go Soeda ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,
Qatar ExxonMobil Open - Doha ,2007-01-01 ,Mikhail Youzhny ,Daniele Bracciali ,2 ,0 ,7 ,6 , , , ,5 ,3 , , ,
Qatar ExxonMobil Open - Doha ,2007-01-01 ,Christophe Rochus ,Alberto Martin ,2 ,0 ,6 ,7 , , , ,4 ,5 , , ,
Qatar ExxonMobil Open - Doha ,2007-01-01 ,Federico Luzzi ,Simone Vagnozzi ,2 ,1 ,6 ,6 ,7 , , ,7 ,1 ,6 , ,
Qatar ExxonMobil Open - Doha ,2007-01-01 ,Ruben Ramirez-Hidalgo ,Sultan Khalfan Al Alawi ,2 ,0 ,7 ,6 , , , ,6 ,2 , , ,
Qatar ExxonMobil Open - Doha ,2007-01-01 ,Robin Soderling ,Kristof Vliegen ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
Qatar ExxonMobil Open - Doha ,2007-01-01 ,Denis Gremelmayr ,Frantisek Cermak ,2 ,1 ,6 ,1 ,7 , , ,4 ,6 ,5 , ,
Qatar ExxonMobil Open - Doha ,2007-01-01 ,Tomas Cakl ,George Bastl ,2 ,1 ,3 ,7 ,6 , , ,6 ,5 ,3 , ,
Qatar ExxonMobil Open - Doha ,2007-01-01 ,Marco Chiudinelli ,Sergiy Stakhovsky ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
Qatar ExxonMobil Open - Doha ,2007-01-01 ,Guillermo Garcia-Lopez ,Potito Starace ,2 ,1 ,2 ,7 ,7 , , ,6 ,5 ,5 , ,
Qatar ExxonMobil Open - Doha ,2007-01-01 ,Andy Murray ,Filippo Volandri ,2 ,1 ,4 ,6 ,6 , , ,6 ,2 ,4 , ,
Qatar ExxonMobil Open - Doha ,2007-01-01 ,Marcos Baghdatis ,Philipp Kohlschreiber ,2 ,0 ,6 ,7 , , , ,4 ,5 , , ,
Qatar ExxonMobil Open - Doha ,2007-01-01 ,Gael Monfils ,Andreas Seppi ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
Chennai Open - Chennai ,2007-01-01 ,Tomas Behrend/Robin Vik ,Ashutosh Singh/Vishal Uppal ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
Chennai Open - Chennai ,2007-01-01 ,Tomas Cibulec/Rainer Schuettler ,Christopher Kas/Philipp Petzschner ,2 ,1 ,2 ,6 ,1 , , ,6 ,3 ,5 , ,
Chennai Open - Chennai ,2007-01-01 ,Rafael Nadal/Bartolome Salva-Vidal ,Michal Mertinak/Petr Pala ,2 ,0 ,6 ,6 , , , ,1 ,3 , , ,
Next Generation Adelaide International - Adelaide ,2007-01-01 ,Ashley Fisher/Tripp Phillips ,Paul-Henri Mathieu/Janko Tipsarevic ,2 ,0 ,7 ,6 , , , ,6 ,0 , , ,
Next Generation Adelaide International - Adelaide ,2007-01-01 ,Lukas Dlouhy/Pavel Vizner ,Paul Hanley/Lleyton Hewitt ,2 ,0 ,6 ,7 , , , ,2 ,6 , , ,
Next Generation Adelaide International - Adelaide ,2007-01-01 ,Arnaud Clement/Richard Gasquet ,Simon Aspelin/Chris Haggard ,2 ,0 ,6 ,6 , , , ,1 ,2 , , ,
Qatar ExxonMobil Open - Doha ,2007-01-01 ,Martin Damm/Leander Paes ,Younes El Aynaoui/Sultan Khalfan Al Alawi ,2 ,0 ,6 ,6 , , , ,2 ,1 , , ,
Qatar ExxonMobil Open - Doha ,2007-01-01 ,Philipp Kohlschreiber/Robin Soderling ,Jonas Bjorkman/Max Mirnyi ,2 ,1 ,1 ,6 ,1 , , ,6 ,3 ,7 , ,
Aberto de Sao Paulo - Sao Paulo ,2007-01-02 ,Guillermo Canas ,Fabio Fognini ,2 ,0 ,6 ,6 , , , ,1 ,4 , , ,
Aberto de Sao Paulo - Sao Paulo ,2007-01-02 ,Jean-Rene Lisnard ,Andre Ghem ,2 ,0 ,7 ,7 , , , ,5 ,6 , , ,
Aberto de Sao Paulo - Sao Paulo ,2007-01-02 ,Julio Silva ,Alexander Satschko ,2 ,0 ,7 ,7 , , , ,5 ,6 , , ,
Aberto de Sao Paulo - Sao Paulo ,2007-01-02 ,Vasilis Mazarakis ,Jorge Aguilar ,2 ,0 ,6 ,6 , , , ,1 ,1 , , ,
Aberto de Sao Paulo - Sao Paulo ,2007-01-02 ,Ivan Miranda ,Bruno Echagaray ,2 ,0 ,6 ,7 , , , ,1 ,6 , , ,
Aberto de Sao Paulo - Sao Paulo ,2007-01-02 ,Stephane Robert ,Cristian Villagran ,2 ,0 ,6 ,6 , , , ,1 ,2 , , ,
Aberto de Sao Paulo - Sao Paulo ,2007-01-02 ,Rogerio Dutra Da Silva ,Flavio Saretta ,2 ,1 ,6 ,3 ,7 , , ,4 ,6 ,5 , ,
Aberto de Sao Paulo - Sao Paulo ,2007-01-02 ,Diego Cristin ,Ricardo Mello ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,
