tournament, date, aName, bName, aSets, bSets, aS1, aS2, aS3, aS4, aS5, bS1, bS2, bS3, bS4, bS5
Brisbane - Brisbane ,2009-01-04 ,Xavier Malisse ,Simon Stadler ,2 ,0 ,6 ,6 , , , ,2 ,1 , , ,
Brisbane - Brisbane ,2009-01-04 ,Taylor Dent ,Steve Darcis ,2 ,0 ,7 ,6 , , , ,6 ,2 , , ,
Brisbane - Brisbane ,2009-01-04 ,Joseph Sirianni ,Peter Polansky ,2 ,0 ,6 ,6 , , , ,2 ,4 , , ,
Brisbane - Brisbane ,2009-01-04 ,Julien Benneteau ,Robby Ginepri ,2 ,1 ,3 ,6 ,7 , , ,6 ,3 ,5 , ,
Brisbane - Brisbane ,2009-01-04 ,Robin Soderling ,Sam Querrey ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
Brisbane - Brisbane ,2009-01-04 ,Richard Gasquet ,Marc Gicquel ,2 ,1 ,4 ,6 ,6 , , ,6 ,2 ,2 , ,
Brisbane - Brisbane ,2009-01-04 ,Gilles Muller ,Colin Ebelthite ,2 ,1 ,6 ,6 ,6 , , ,7 ,4 ,4 , ,
Brisbane - Brisbane ,2009-01-04 ,Peter Luczak ,Andrey Golubev ,2 ,0 ,6 ,6 , , , ,3 ,1 , , ,
Brisbane - Brisbane ,2009-01-04 ,Mischa Zverev ,Giovanni Lapentti ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
Brisbane - Brisbane ,2009-01-04 ,Andrea Stoppini ,John Isner ,2 ,0 ,7 ,6 , , , ,5 ,3 , , ,
Brisbane - Brisbane ,2009-01-04 ,Amer Delic ,Chris Guccione ,2 ,0 ,6 ,7 , , , ,4 ,5 , , ,
Brisbane - Brisbane ,2009-01-04 ,Luka Gregorc ,Jesse Huta Galung ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
Brisbane - Brisbane ,2009-01-04 ,Bobby Reynolds ,Mikhail Elgin ,2 ,1 ,4 ,6 ,6 , , ,6 ,2 ,3 , ,
Brisbane - Brisbane ,2009-01-04 ,Marco Crugnola ,Mark Verryth ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
Brisbane - Brisbane ,2009-01-04 ,Evgeny Korolev ,Michael Fischer ,2 ,0 ,6 ,6 , , , ,2 ,1 , , ,
Brisbane - Brisbane ,2009-01-04 ,Thomaz Bellucci ,Carsten Ball ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
Brisbane - Brisbane ,2009-01-04 ,Kevin Anderson ,Greg Jones ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,
Brisbane - Brisbane ,2009-01-04 ,Mikhail Kukushkin ,Robert Smeets ,2 ,0 ,7 ,6 , , , ,5 ,4 , , ,
Chennai Open - Chennai ,2009-01-04 ,Danai Udomchoke ,Louk Sorensen ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
Chennai Open - Chennai ,2009-01-04 ,Michael Berrer ,Ranjeet Virali-Murugesan ,2 ,0 ,6 ,6 , , , ,1 ,1 , , ,
Chennai Open - Chennai ,2009-01-04 ,Rohan Bopanna ,Sanam Singh ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
Chennai Open - Chennai ,2009-01-04 ,Rajeev Ram ,Oliver Marach ,2 ,0 ,6 ,6 , , , ,2 ,4 , , ,
Chennai Open - Chennai ,2009-01-04 ,Alexander Kudryavtsev ,Vignesh Peranamallur-Chandrasekhar ,2 ,0 ,6 ,7 , , , ,1 ,6 , , ,
Chennai Open - Chennai ,2009-01-04 ,Kyu-Tae Im ,N.Sriram Balaji ,2 ,1 ,6 ,6 ,6 , , ,0 ,7 ,2 , ,
Chennai Open - Chennai ,2009-01-04 ,Flavio Cipolla ,Yuichi Sugita ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
Chennai Open - Chennai ,2009-01-04 ,Alexander Satschko ,Rohan Gajjar ,2 ,0 ,6 ,6 , , , ,2 ,4 , , ,
Hopman Cup - Perth ,2009-01-04 ,Marat Safin ,Simone Bolelli ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,
Qatar ExxonMobil Open - Doha ,2009-01-04 ,Alexander Peya ,Sergei Bubka ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,
Qatar ExxonMobil Open - Doha ,2009-01-04 ,Karol Beck ,Ivo Klec ,2 ,1 ,2 ,6 ,7 , , ,6 ,3 ,5 , ,
Qatar ExxonMobil Open - Doha ,2009-01-04 ,Michal Przysiezny ,Matthias Bachinger ,2 ,0 ,6 ,6 , , , ,1 ,4 , , ,
Qatar ExxonMobil Open - Doha ,2009-01-04 ,Lukasz Kubot ,Simone Vagnozzi ,2 ,1 ,2 ,6 ,7 , , ,6 ,2 ,6 , ,
Qatar ExxonMobil Open - Doha ,2009-01-04 ,Marco Chiudinelli ,Giancarlo Petrazzuolo ,2 ,0 ,6 ,6 , , , ,3 ,1 , , ,
Qatar ExxonMobil Open - Doha ,2009-01-04 ,Miguel-Angel Lopez Jaen ,Christopher Kas ,2 ,0 ,7 ,6 , , , ,6 ,1 , , ,
Qatar ExxonMobil Open - Doha ,2009-01-04 ,Jaroslav Pospisil ,Michal Mertinak ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
Qatar ExxonMobil Open - Doha ,2009-01-04 ,Lamine Ouahab ,Nenad Zimonjic ,2 ,1 ,5 ,6 ,6 , , ,7 ,3 ,3 , ,
Brisbane - Brisbane ,2009-01-05 ,Xavier Malisse ,Peter Luczak ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
Brisbane - Brisbane ,2009-01-05 ,Radek Stepanek ,Igor Kunitsyn ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
Brisbane - Brisbane ,2009-01-05 ,Jurgen Melzer ,Mardy Fish ,2 ,1 ,6 ,4 ,7 , , ,4 ,6 ,6 , ,
Brisbane - Brisbane ,2009-01-05 ,Joseph Sirianni ,Mischa Zverev ,2 ,0 ,7 ,6 , , , ,5 ,1 , , ,
Brisbane - Brisbane ,2009-01-05 ,Joseph Sirianni ,Gilles Muller ,2 ,0 ,7 ,7 , , , ,6 ,5 , , ,
Brisbane - Brisbane ,2009-01-05 ,Jarkko Nieminen ,Marcos Baghdatis ,2 ,1 ,5 ,6 ,6 , , ,7 ,1 ,4 , ,
Brisbane - Brisbane ,2009-01-05 ,Fernando Verdasco ,Bernard Tomic ,2 ,0 ,6 ,6 , , , ,4 ,2 , , ,
Brisbane - Brisbane ,2009-01-05 ,Gilles Muller ,Mikhail Kukushkin ,2 ,1 ,7 ,6 ,7 , , ,5 ,7 ,6 , ,
Brisbane - Brisbane ,2009-01-05 ,Teimuraz Gabashvili ,Samuel Groth ,2 ,1 ,6 ,3 ,6 , , ,2 ,6 ,3 , ,
Brisbane - Brisbane ,2009-01-05 ,Teimuraz Gabashvili ,Kevin Anderson ,2 ,1 ,6 ,2 ,6 , , ,3 ,6 ,0 , ,
Brisbane - Brisbane ,2009-01-05 ,Andrea Stoppini ,Thomaz Bellucci ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
Brisbane - Brisbane ,2009-01-05 ,Amer Delic ,Andrea Stoppini ,2 ,0 ,7 ,6 , , , ,6 ,3 , , ,
Brisbane - Brisbane ,2009-01-05 ,Amer Delic ,Marco Crugnola ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
Brisbane - Brisbane ,2009-01-05 ,Bobby Reynolds ,Xavier Malisse ,2 ,1 ,6 ,6 ,6 , , ,4 ,7 ,3 , ,
Brisbane - Brisbane ,2009-01-05 ,Bobby Reynolds ,Luka Gregorc ,2 ,0 ,6 ,6 , , , ,2 ,4 , , ,
Brisbane - Brisbane ,2009-01-05 ,Kevin Anderson ,Evgeny Korolev ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
Chennai Open - Chennai ,2009-01-05 ,Rainer Schuettler ,Prakash Amritraj ,2 ,1 ,6 ,4 ,6 , , ,2 ,6 ,1 , ,
Chennai Open - Chennai ,2009-01-05 ,Bjorn Phau ,Santiago Ventura ,2 ,0 ,6 ,7 , , , ,2 ,5 , , ,
Chennai Open - Chennai ,2009-01-05 ,Danai Udomchoke ,Kyu-Tae Im ,2 ,0 ,7 ,6 , , , ,6 ,1 , , ,
Chennai Open - Chennai ,2009-01-05 ,Simon Greul ,Daniel Gimeno-Traver ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
Chennai Open - Chennai ,2009-01-05 ,Lukas Dlouhy ,Go Soeda ,2 ,1 ,3 ,6 ,6 , , ,6 ,2 ,4 , ,
Chennai Open - Chennai ,2009-01-05 ,Rohan Bopanna ,Michael Berrer ,2 ,1 ,4 ,6 ,6 , , ,6 ,3 ,4 , ,
Chennai Open - Chennai ,2009-01-05 ,Marcel Granollers ,Hyung-Taik Lee ,2 ,0 ,6 ,7 , , , ,4 ,5 , , ,
Chennai Open - Chennai ,2009-01-05 ,Rajeev Ram ,Alexander Kudryavtsev ,2 ,1 ,6 ,6 ,6 , , ,4 ,7 ,3 , ,
Chennai Open - Chennai ,2009-01-05 ,Dudi Sela ,Ruben Ramirez-Hidalgo ,2 ,1 ,4 ,7 ,6 , , ,6 ,6 ,1 , ,
Chennai Open - Chennai ,2009-01-05 ,Flavio Cipolla ,Alexander Satschko ,2 ,0 ,6 ,6 , , , ,3 ,1 , , ,
Chennai Open - Chennai ,2009-01-05 ,Marin Cilic ,Alberto Martin ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
Hopman Cup - Perth ,2009-01-05 ,Dominik Hrbaty ,James Blake ,2 ,1 ,6 ,4 ,7 , , ,3 ,6 ,6 , ,
Hopman Cup - Perth ,2009-01-05 ,Simone Bolelli ,Gilles Simon ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
Noumea Challenger ,2009-01-05 ,Jean-Rene Lisnard ,Adrian Mannarino ,2 ,1 ,6 ,6 ,6 , , ,7 ,2 ,2 , ,
Noumea Challenger ,2009-01-05 ,Alex Bogdanovic ,Rik de Voest ,2 ,1 ,4 ,7 ,6 , , ,6 ,5 ,3 , ,
Noumea Challenger ,2009-01-05 ,Florian Mayer ,Victor Crivoi ,2 ,0 ,7 ,6 , , , ,6 ,0 , , ,
Noumea Challenger ,2009-01-05 ,Dieter Kindlmann ,Joshua Goodall ,2 ,1 ,7 ,6 ,6 , , ,5 ,7 ,1 , ,
Noumea Challenger ,2009-01-05 ,Brendan Evans ,Pavel Snobel ,2 ,1 ,2 ,6 ,6 , , ,6 ,1 ,4 , ,
Noumea Challenger ,2009-01-05 ,Alexander Slabinsky ,Scoville Jenkins ,2 ,1 ,5 ,6 ,6 , , ,7 ,2 ,4 , ,
Noumea Challenger ,2009-01-05 ,Ryan Sweeting ,David Guez ,2 ,0 ,6 ,6 , , , ,0 ,1 , , ,
