tournament, date, aName, bName, aSets, bSets, aS1, aS2, aS3, aS4, aS5, bS1, bS2, bS3, bS4, bS5
Chennai Open - Chennai ,2006-01-01 ,Michael Kohlmann ,Harsh Mankad ,2 ,1 ,3 ,7 ,6 , , ,6 ,5 ,4 , ,
Chennai Open - Chennai ,2006-01-01 ,Marc Gicquel ,Simon Stadler ,2 ,0 ,6 ,7 , , , ,3 ,6 , , ,
Chennai Open - Chennai ,2006-01-01 ,Mariusz Fyrstenberg ,Florin Mergea ,2 ,0 ,7 ,7 , , , ,5 ,6 , , ,
Chennai Open - Chennai ,2006-01-01 ,Michael Berrer ,Somdev Devvarman ,2 ,1 ,6 ,5 ,6 , , ,3 ,7 ,3 , ,
Chennai Open - Chennai ,2006-01-01 ,Ivan Navarro ,Sebastian Rieschick ,2 ,1 ,6 ,4 ,6 , , ,2 ,6 ,4 , ,
Chennai Open - Chennai ,2006-01-01 ,Rohan Bopanna ,Danai Udomchoke ,2 ,1 ,4 ,6 ,6 , , ,6 ,4 ,2 , ,
Chennai Open - Chennai ,2006-01-01 ,Michal Mertinak ,Yves Allegro ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
Chennai Open - Chennai ,2006-01-01 ,Rajeev Ram ,Vivek Subramanian ,2 ,0 ,6 ,6 , , , ,1 ,1 , , ,
Hyundai Hopman Cup - Perth ,2006-01-01 ,Taylor Dent ,Novak Djokovic ,2 ,0 ,6 ,6 , , , ,1 ,4 , , ,
Next Generation Adelaide International - Adelaide ,2006-01-01 ,Gregory Carraz ,Marc Kimmich ,2 ,1 ,2 ,6 ,6 , , ,6 ,4 ,3 , ,
Next Generation Adelaide International - Adelaide ,2006-01-01 ,Frederic Niemeyer ,Daniel Elsner ,2 ,1 ,4 ,7 ,6 , , ,6 ,5 ,3 , ,
Next Generation Adelaide International - Adelaide ,2006-01-01 ,Noam Okun ,Nathan Healey ,2 ,0 ,7 ,6 , , , ,6 ,1 , , ,
Next Generation Adelaide International - Adelaide ,2006-01-01 ,Michael Llodra ,Robert Smeets ,2 ,0 ,6 ,6 , , , ,2 ,3 , , ,
Next Generation Adelaide International - Adelaide ,2006-01-01 ,Jakub Herm-Zahlava ,Carsten Ball ,2 ,0 ,6 ,6 , , , ,1 ,1 , , ,
Next Generation Adelaide International - Adelaide ,2006-01-01 ,Alun Jones ,Harel Levy ,2 ,0 ,6 ,6 , , , ,2 ,4 , , ,
Next Generation Adelaide International - Adelaide ,2006-01-01 ,Paolo Lorenzi ,Jamie Delgado ,2 ,0 ,6 ,6 , , , ,2 ,1 , , ,
Next Generation Adelaide International - Adelaide ,2006-01-01 ,Rameez Junaid ,Ivo Heuberger ,2 ,1 ,6 ,7 ,7 , , ,7 ,5 ,5 , ,
Qatar ExxonMobil Open - Doha ,2006-01-01 ,Oliver Marach ,Olivier Patience ,2 ,1 ,3 ,7 ,6 , , ,6 ,5 ,3 , ,
Qatar ExxonMobil Open - Doha ,2006-01-01 ,Oliver Marach ,Federico Luzzi ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
Qatar ExxonMobil Open - Doha ,2006-01-01 ,Nicolas Mahut ,Orest Tereshchuk ,2 ,1 ,4 ,6 ,6 , , ,6 ,3 ,3 , ,
Qatar ExxonMobil Open - Doha ,2006-01-01 ,Nicolas Mahut ,Karim Maamoun ,2 ,0 ,6 ,6 , , , ,4 ,2 , , ,
Qatar ExxonMobil Open - Doha ,2006-01-01 ,Olivier Patience ,Jan Minar ,2 ,0 ,7 ,6 , , , ,6 ,3 , , ,
Qatar ExxonMobil Open - Doha ,2006-01-01 ,Janko Tipsarevic ,Artem Sitak ,2 ,1 ,3 ,6 ,6 , , ,6 ,1 ,4 , ,
Qatar ExxonMobil Open - Doha ,2006-01-01 ,Potito Starace ,Nicolas Devilder ,2 ,1 ,4 ,6 ,7 , , ,6 ,4 ,6 , ,
Qatar ExxonMobil Open - Doha ,2006-01-01 ,Karim Maamoun ,Julien Benneteau ,2 ,0 ,7 ,6 , , , ,6 ,1 , , ,
Chennai Open - Chennai ,2006-01-02 ,Jiri Vanek ,Vishal Uppal ,2 ,0 ,6 ,6 , , , ,3 ,1 , , ,
Chennai Open - Chennai ,2006-01-02 ,Tomas Behrend ,Marcos Daniel ,2 ,0 ,6 ,7 , , , ,3 ,5 , , ,
Chennai Open - Chennai ,2006-01-02 ,Bjorn Phau ,Bobby Reynolds ,2 ,0 ,6 ,6 , , , ,3 ,0 , , ,
Chennai Open - Chennai ,2006-01-02 ,Marc Gicquel ,Michael Kohlmann ,2 ,0 ,7 ,6 , , , ,6 ,3 , , ,
Chennai Open - Chennai ,2006-01-02 ,Thierry Ascione ,Simon Greul ,2 ,0 ,7 ,6 , , , ,5 ,1 , , ,
Chennai Open - Chennai ,2006-01-02 ,Michael Berrer ,Mariusz Fyrstenberg ,2 ,0 ,6 ,7 , , , ,4 ,5 , , ,
Chennai Open - Chennai ,2006-01-02 ,Kristof Vliegen ,Jimmy Wang ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,
Chennai Open - Chennai ,2006-01-02 ,Ivan Navarro ,Michal Mertinak ,2 ,1 ,7 ,4 ,7 , , ,6 ,6 ,5 , ,
Chennai Open - Chennai ,2006-01-02 ,Rohan Bopanna ,Rajeev Ram ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,
Chennai Open - Chennai ,2006-01-02 ,Prakash Amritraj ,Ricardo Mello ,2 ,1 ,2 ,6 ,6 , , ,6 ,2 ,3 , ,
Hyundai Hopman Cup - Perth ,2006-01-02 ,Thomas Johansson ,Novak Djokovic ,2 ,0 ,7 ,7 , , , ,6 ,6 , , ,
Hyundai Hopman Cup - Perth ,2006-01-02 ,Peter Wessels ,Gaston Gaudio ,2 ,0 ,6 ,7 , , , ,2 ,6 , , ,
Next Generation Adelaide International - Adelaide ,2006-01-02 ,Xavier Malisse ,Peter Luczak ,2 ,0 ,7 ,6 , , , ,6 ,3 , , ,
Next Generation Adelaide International - Adelaide ,2006-01-02 ,Tommy Robredo ,Jurgen Melzer ,2 ,0 ,7 ,6 , , , ,5 ,4 , , ,
Next Generation Adelaide International - Adelaide ,2006-01-02 ,Gregory Carraz ,Noam Okun ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
Next Generation Adelaide International - Adelaide ,2006-01-02 ,Michael Llodra ,Jakub Herm-Zahlava ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
Next Generation Adelaide International - Adelaide ,2006-01-02 ,Mario Ancic ,Arnaud Clement ,2 ,0 ,6 ,6 , , , ,0 ,2 , , ,
Next Generation Adelaide International - Adelaide ,2006-01-02 ,Philipp Kohlschreiber ,Chris Guccione ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
Next Generation Adelaide International - Adelaide ,2006-01-02 ,Tomas Berdych ,Agustin Calleri ,2 ,1 ,6 ,6 ,6 , , ,4 ,7 ,4 , ,
Next Generation Adelaide International - Adelaide ,2006-01-02 ,Paolo Lorenzi ,Frederic Niemeyer ,2 ,1 ,2 ,6 ,7 , , ,6 ,2 ,5 , ,
Next Generation Adelaide International - Adelaide ,2006-01-02 ,Rameez Junaid ,Alun Jones ,2 ,0 ,6 ,6 , , , ,2 ,4 , , ,
Qatar ExxonMobil Open - Doha ,2006-01-02 ,Tim Henman ,Richard Gasquet ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
Qatar ExxonMobil Open - Doha ,2006-01-02 ,Tommy Haas ,Stan Wawrinka ,2 ,1 ,5 ,6 ,7 , , ,7 ,2 ,5 , ,
Qatar ExxonMobil Open - Doha ,2006-01-02 ,Davide Sanguinetti ,Olivier Rochus ,2 ,1 ,2 ,7 ,7 , , ,6 ,6 ,6 , ,
Qatar ExxonMobil Open - Doha ,2006-01-02 ,Mikhail Youzhny ,Jonas Bjorkman ,2 ,1 ,1 ,6 ,6 , , ,6 ,3 ,4 , ,
Qatar ExxonMobil Open - Doha ,2006-01-02 ,Feliciano Lopez ,Victor Hanescu ,2 ,0 ,6 ,7 , , , ,4 ,6 , , ,
Qatar ExxonMobil Open - Doha ,2006-01-02 ,Wesley Moodie ,Max Mirnyi ,2 ,1 ,6 ,4 ,7 , , ,4 ,6 ,6 , ,
Qatar ExxonMobil Open - Doha ,2006-01-02 ,Marcos Baghdatis ,Sultan Khalfan Al Alawi ,2 ,0 ,6 ,6 , , , ,1 ,1 , , ,
Qatar ExxonMobil Open - Doha ,2006-01-02 ,Gael Monfils ,Tomas Zib ,2 ,0 ,7 ,6 , , , ,5 ,4 , , ,
Chennai Open - Chennai ,2006-01-02 ,Martin Damm/Leander Paes ,Ashley Fisher/Justin Gimelstob ,2 ,1 ,4 ,7 ,1 , , ,6 ,6 ,3 , ,
Chennai Open - Chennai ,2006-01-02 ,Paradorn Srichaphan/Radek Stepanek ,Gilles Muller/Cyril Saulnier ,2 ,1 ,6 ,4 ,1 , , ,4 ,6 ,4 , ,
Next Generation Adelaide International - Adelaide ,2006-01-02 ,Jonathan Erlich/Andy Ram ,James Blake/Stephen Huss ,2 ,0 ,6 ,7 , , , ,3 ,5 , , ,
Next Generation Adelaide International - Adelaide ,2006-01-02 ,Xavier Malisse/Mark Philippoussis ,Robert Lindstedt/Jarkko Nieminen ,2 ,0 ,7 ,6 , , , ,5 ,1 , , ,
Qatar ExxonMobil Open - Doha ,2006-01-02 ,Christophe Rochus/Olivier Rochus ,Frantisek Cermak/Leos Friedl ,2 ,1 ,7 ,1 ,1 , , ,6 ,6 ,1 , ,
Qatar ExxonMobil Open - Doha ,2006-01-02 ,Igor Andreev/Nikolay Davydenko ,Andrei Pavel/Mikhail Youzhny ,2 ,1 ,6 ,6 ,1 , , ,7 ,3 ,1 , ,
Qatar ExxonMobil Open - Doha ,2006-01-02 ,Jeff Coetzee/Rogier Wassen ,Tommy Haas/Feliciano Lopez ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
Qatar ExxonMobil Open - Doha ,2006-01-02 ,Lukasz Kubot/Oliver Marach ,Mahesh Bhupathi/Wesley Moodie ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
ATP Challenger Numea - New Caledonia ,2006-01-03 ,Alex Jr. Bogomolov ,Norikazu Sugiyama ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,
ATP Challenger Numea - New Caledonia ,2006-01-03 ,Rik de Voest ,Lars Uebel ,2 ,0 ,7 ,6 , , , ,5 ,1 , , ,
ATP Challenger Numea - New Caledonia ,2006-01-03 ,Paul Capdeville ,Pierre-Henri Guillaume ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
ATP Challenger Numea - New Caledonia ,2006-01-03 ,Melle van Gemerden ,Wayne Odesnik ,2 ,0 ,6 ,6 , , , ,1 ,3 , , ,
ATP Challenger Numea - New Caledonia ,2006-01-03 ,Jacob Adaktusson ,Lars Burgsmuller ,2 ,0 ,7 ,6 , , , ,5 ,4 , , ,
ATP Challenger Numea - New Caledonia ,2006-01-03 ,Francesco Aldi ,Jan Mertl ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,
ATP Challenger Numea - New Caledonia ,2006-01-03 ,Dominik Meffert ,Philippe Frayssinoux ,2 ,0 ,6 ,6 , , , ,2 ,4 , , ,
ATP Challenger Numea - New Caledonia ,2006-01-03 ,Amer Delic ,Filip Prpic ,2 ,1 ,7 ,3 ,6 , , ,6 ,6 ,4 , ,
Chennai Open - Chennai ,2006-01-03 ,Carlos Moya ,Dick Norman ,2 ,1 ,6 ,3 ,6 , , ,4 ,6 ,1 , ,
Chennai Open - Chennai ,2006-01-03 ,Rainer Schuettler ,Fernando Vicente ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
Chennai Open - Chennai ,2006-01-03 ,Ivan Ljubicic ,Guillermo Garcia-Lopez ,2 ,0 ,7 ,7 , , , ,6 ,5 , , ,
Chennai Open - Chennai ,2006-01-03 ,Justin Gimelstob ,Alexander Waske ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
Chennai Open - Chennai ,2006-01-03 ,Paradorn Srichaphan ,Ramon Delgado ,2 ,1 ,4 ,6 ,7 , , ,6 ,1 ,6 , ,
Chennai Open - Chennai ,2006-01-03 ,Radek Stepanek ,Ivan Navarro ,2 ,0 ,6 ,7 , , , ,4 ,6 , , ,
Chennai Open - Chennai ,2006-01-03 ,Marc Gicquel ,Hyung-Taik Lee ,2 ,0 ,7 ,6 , , , ,5 ,4 , , ,
Chennai Open - Chennai ,2006-01-03 ,Gilles Muller ,Razvan Sabau ,2 ,0 ,6 ,7 , , , ,2 ,6 , , ,
Chennai Open - Chennai ,2006-01-03 ,Michael Berrer ,Lukas Dlouhy ,2 ,1 ,3 ,6 ,6 , , ,6 ,3 ,2 , ,
Chennai Open - Chennai ,2006-01-03 ,Rohan Bopanna ,Cyril Saulnier ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
Hyundai Hopman Cup - Perth ,2006-01-03 ,Peter Wessels ,Todd Reid ,2 ,0 ,7 ,6 , , , ,5 ,4 , , ,
Hyundai Hopman Cup - Perth ,2006-01-03 ,Taylor Dent ,Yuriy Schukin ,2 ,0 ,6 ,6 , , , ,2 ,0 , , ,
Next Generation Adelaide International - Adelaide ,2006-01-03 ,Lleyton Hewitt ,Jan Hernych ,2 ,1 ,4 ,6 ,6 , , ,6 ,2 ,4 , ,
Next Generation Adelaide International - Adelaide ,2006-01-03 ,Mark Philippoussis ,Vince Spadea ,2 ,1 ,6 ,3 ,6 , , ,4 ,6 ,4 , ,
Next Generation Adelaide International - Adelaide ,2006-01-03 ,Dominik Hrbaty ,Rameez Junaid ,2 ,0 ,6 ,7 , , , ,3 ,5 , , ,
Next Generation Adelaide International - Adelaide ,2006-01-03 ,Kenneth Carlsen ,Gregory Carraz ,2 ,1 ,5 ,7 ,6 , , ,7 ,5 ,3 , ,
Next Generation Adelaide International - Adelaide ,2006-01-03 ,James Blake ,Alberto Martin ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
Next Generation Adelaide International - Adelaide ,2006-01-03 ,Jarkko Nieminen ,Paul-Henri Mathieu ,2 ,0 ,6 ,7 , , , ,2 ,6 , , ,
Next Generation Adelaide International - Adelaide ,2006-01-03 ,Ivo Karlovic ,Juan Ignacio Chela ,2 ,1 ,6 ,3 ,6 , , ,3 ,6 ,1 , ,
Next Generation Adelaide International - Adelaide ,2006-01-03 ,Florent Serra ,Michael Llodra ,1 ,0 ,3 ,3 , , , ,6 ,1 , , ,
Next Generation Adelaide International - Adelaide ,2006-01-03 ,Andreas Seppi ,Boris Pashanski ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
Next Generation Adelaide International - Adelaide ,2006-01-03 ,Florian Mayer ,Juan Monaco ,2 ,0 ,6 ,6 , , , ,2 ,4 , , ,
Next Generation Adelaide International - Adelaide ,2006-01-03 ,Andy Murray ,Paolo Lorenzi ,2 ,1 ,3 ,6 ,6 , , ,6 ,0 ,2 , ,
Nossa Caixa Tennis Cup - Sao Paulo ,2006-01-03 ,Dusan Vemic ,Vasilis Mazarakis ,1 ,0 ,4 ,2 , , , ,6 ,2 , , ,
Nossa Caixa Tennis Cup - Sao Paulo ,2006-01-03 ,Alexandre Simoni ,Luiz Miotto ,2 ,0 ,6 ,6 , , , ,0 ,0 , , ,
Nossa Caixa Tennis Cup - Sao Paulo ,2006-01-03 ,Sergio Roitman ,Lucas Engel ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
