tournament, date, aName, bName, aSets, bSets, aS1, aS2, aS3, aS4, aS5, bS1, bS2, bS3, bS4, bS5
"Brisbane International - Brisbane" ,2012-01-01 ,"Marcos Baghdatis/Andy Murray" ,"Santiago Giraldo/Kei Nishikori" ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
"Aircel Chennai Open - Chennai" ,2012-01-02 ,"Jonathan Erlich/Andy Ram" ,"Mohit Mayur Jayaprakash/Ramkumar Ramanathan" ,2 ,0 ,6 ,6 , , , ,2 ,1 , , ,
"Brisbane International - Brisbane" ,2012-01-02 ,"Tommy Haas/Radek Stepanek" ,"Lukas Dlouhy/Marcelo Melo" ,2 ,0 ,6 ,7 , , , ,1 ,6 , , ,
"Brisbane International - Brisbane" ,2012-01-02 ,"Jurgen Melzer/Philipp Petzschner" ,"Eric Butorac/Bruno Soares" ,2 ,0 ,6 ,7 , , , ,4 ,6 , , ,
"Qatar ExxonMobil Open - Doha" ,2012-01-02 ,"Daniele Bracciali/Potito Starace" ,"Dustin Brown/Jo Wilfried Tsonga" ,2 ,0 ,6 ,7 , , , ,1 ,5 , , ,
"Qatar ExxonMobil Open - Doha" ,2012-01-02 ,"Christopher Kas/Philipp Kohlschreiber" ,"Colin Fleming/Ross Hutchins" ,2 ,1 ,2 ,6 ,1 , , ,6 ,4 ,1 , ,
"Qatar ExxonMobil Open - Doha" ,2012-01-02 ,"Pablo Andujar/Guillermo Garcia Lopez" ,"Sergiy Stakhovsky/Mikhail Youzhny" ,2 ,1 ,6 ,3 ,1 , , ,2 ,6 ,6 , ,
"Aircel Chennai Open - Chennai" ,2012-01-03 ,"Nicolas Almagro/Pere Riba" ,"Julian Knowle/Michael Kohlmann" ,2 ,1 ,6 ,6 ,1 , , ,7 ,4 ,4 , ,
"Aircel Chennai Open - Chennai" ,2012-01-03 ,"Scott Lipsky/Rajeev Ram" ,"N.Sriram Balaji/Jeevan Nedunchezhiyan" ,2 ,0 ,7 ,6 , , , ,5 ,4 , , ,
"Aircel Chennai Open - Chennai" ,2012-01-03 ,"Fabio Fognini/Igor Zelenay" ,"Johan Brunstrom/Ivan Dodig" ,2 ,0 ,6 ,7 , , , ,4 ,5 , , ,
"Aircel Chennai Open - Chennai" ,2012-01-03 ,"Andreas Beck/Stan Wawrinka" ,"Philipp Marx/Adil Shamasdin" ,2 ,0 ,6 ,7 , , , ,1 ,5 , , ,
"Brisbane International - Brisbane" ,2012-01-03 ,"Robert Lindstedt/Horia Tecau" ,"Alexandr Dolgopolov/Denys Molchanov" ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
"Brisbane International - Brisbane" ,2012-01-03 ,"Max Mirnyi/Daniel Nestor" ,"Matthew Ebden/Chris Guccione" ,2 ,1 ,1 ,6 ,1 , , ,6 ,3 ,1 , ,
"Brisbane International - Brisbane" ,2012-01-03 ,"Greg Jones/Marinko Matosevic" ,"Aisam Qureshi/Jean Julien Rojer" ,2 ,0 ,6 ,6 , , , ,2 ,4 , , ,
"Brisbane International - Brisbane" ,2012-01-03 ,"Mariusz Fyrstenberg/Michal Mertinak" ,"Nicolas Mahut/Gilles Simon" ,2 ,1 ,7 ,6 ,1 , , ,5 ,7 ,4 , ,
"Qatar ExxonMobil Open - Doha" ,2012-01-03 ,"Filip Polasek/Lukas Rosol" ,"Sherif Sabry/Mohamed Safwat" ,2 ,0 ,7 ,7 , , , ,6 ,5 , , ,
"Qatar ExxonMobil Open - Doha" ,2012-01-03 ,"Alex Jr. Bogomolov/Igor Kunitsyn" ,"Ivo Karlovic/Frank Moser" ,2 ,1 ,4 ,7 ,1 , , ,6 ,6 ,8 , ,
