tournament, date, aName, bName, aSets, bSets, aS1, aS2, aS3, aS4, aS5, bS1, bS2, bS3, bS4, bS5
"Chennai Open - Chennai" ,2007-01-01 ,"Tomas Behrend/Robin Vik" ,"Ashutosh Singh/Vishal Uppal" ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
"Chennai Open - Chennai" ,2007-01-01 ,"Tomas Cibulec/Rainer Schuettler" ,"Christopher Kas/Philipp Petzschner" ,2 ,1 ,2 ,6 ,1 , , ,6 ,3 ,5 , ,
"Chennai Open - Chennai" ,2007-01-01 ,"Rafael Nadal/Bartolome Salva Vidal" ,"Michal Mertinak/Petr Pala" ,2 ,0 ,6 ,6 , , , ,1 ,3 , , ,
"Next Generation Adelaide International - Adelaide" ,2007-01-01 ,"Ashley Fisher/Tripp Phillips" ,"Paul Henri Mathieu/Janko Tipsarevic" ,2 ,0 ,7 ,6 , , , ,6 ,0 , , ,
"Next Generation Adelaide International - Adelaide" ,2007-01-01 ,"Lukas Dlouhy/Pavel Vizner" ,"Paul Hanley/Lleyton Hewitt" ,2 ,0 ,6 ,7 , , , ,2 ,6 , , ,
"Next Generation Adelaide International - Adelaide" ,2007-01-01 ,"Arnaud Clement/Richard Gasquet" ,"Simon Aspelin/Chris Haggard" ,2 ,0 ,6 ,6 , , , ,1 ,2 , , ,
"Qatar ExxonMobil Open - Doha" ,2007-01-01 ,"Martin Damm/Leander Paes" ,"Younes El Aynaoui/Sultan Khalfan Al Alawi" ,2 ,0 ,6 ,6 , , , ,2 ,1 , , ,
"Qatar ExxonMobil Open - Doha" ,2007-01-01 ,"Philipp Kohlschreiber/Robin Soderling" ,"Jonas Bjorkman/Max Mirnyi" ,2 ,1 ,1 ,6 ,1 , , ,6 ,3 ,7 , ,
"Chennai Open - Chennai" ,2007-01-02 ,"Ivo Karlovic/Lovro Zovko" ,"Jeff Coetzee/Rogier Wassen" ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
"Next Generation Adelaide International - Adelaide" ,2007-01-02 ,"Paul Goldstein/Jim Thomas" ,"Nathan Healey/Robert Smeets" ,2 ,0 ,6 ,6 , , , ,2 ,4 , , ,
"Next Generation Adelaide International - Adelaide" ,2007-01-02 ,"Yves Allegro/Robert Lindstedt" ,"Benjamin Becker/Jan Hernych" ,2 ,1 ,3 ,7 ,1 , , ,6 ,6 ,7 , ,
"Next Generation Adelaide International - Adelaide" ,2007-01-02 ,"Wayne Arthurs/Chris Guccione" ,"Jan Hajek/Dominik Hrbaty" ,1 ,0 ,6 ,2 ,4 , , ,2 ,6 ,0 , ,
"Qatar ExxonMobil Open - Doha" ,2007-01-02 ,"Mark Knowles/Daniel Nestor" ,"Julian Knowle/Jurgen Melzer" ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
"Qatar ExxonMobil Open - Doha" ,2007-01-02 ,"Christophe Rochus/Kristof Vliegen" ,"Nicolas Almagro/Alberto Martin" ,2 ,1 ,6 ,6 ,1 , , ,3 ,7 ,8 , ,
"Qatar ExxonMobil Open - Doha" ,2007-01-02 ,"Mariusz Fyrstenberg/Marcin Matkowski" ,"Frantisek Cermak/Jaroslav Levinsky" ,2 ,1 ,4 ,6 ,1 , , ,6 ,4 ,6 , ,
"Qatar ExxonMobil Open - Doha" ,2007-01-02 ,"Sebastien Grosjean/Gael Monfils" ,"Thomas Johansson/Ivan Ljubicic" ,2 ,1 ,6 ,1 ,1 , , ,4 ,6 ,8 , ,
"Qatar ExxonMobil Open - Doha" ,2007-01-02 ,"Andy Murray/Jamie Murray" ,"Marcos Baghdatis/Stan Wawrinka" ,2 ,1 ,4 ,6 ,1 , , ,6 ,1 ,5 , ,
"Qatar ExxonMobil Open - Doha" ,2007-01-02 ,"Mikhail Youzhny/Nenad Zimonjic" ,"Ruben Ramirez Hidalgo/Filippo Volandri" ,2 ,0 ,6 ,7 , , , ,3 ,5 , , ,
"Chennai Open - Chennai" ,2007-01-03 ,"Alexander Peya/Bjorn Phau" ,"James Auckland/Stephen Huss" ,2 ,1 ,3 ,6 ,1 , , ,6 ,3 ,8 , ,
"Chennai Open - Chennai" ,2007-01-03 ,"Leos Friedl/Michael Kohlmann" ,"Julien Benneteau/Nicolas Mahut" ,2 ,1 ,6 ,4 ,1 , , ,3 ,6 ,9 , ,
"Chennai Open - Chennai" ,2007-01-03 ,"Xavier Malisse/Dick Norman" ,"Davide Sanguinetti/Alexander Waske" ,2 ,1 ,4 ,6 ,1 , , ,6 ,1 ,7 , ,
"Chennai Open - Chennai" ,2007-01-03 ,"Sonchat Ratiwatana/Paradorn Srichaphan" ,"David Skoch/Tomas Zib" ,2 ,1 ,7 ,2 ,1 , , ,5 ,6 ,8 , ,
"Next Generation Adelaide International - Adelaide" ,2007-01-03 ,"Wesley Moodie/Todd Perry" ,"Jonathan Erlich/Andy Ram" ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
"Qatar ExxonMobil Open - Doha" ,2007-01-03 ,"Mark Knowles/Daniel Nestor" ,"Sebastien Grosjean/Gael Monfils" ,2 ,0 ,6 ,6 , , , ,3 ,0 , , ,
"Qatar ExxonMobil Open - Doha" ,2007-01-03 ,"Martin Damm/Leander Paes" ,"Christophe Rochus/Kristof Vliegen" ,2 ,0 ,6 ,6 , , , ,3 ,1 , , ,
"Qatar ExxonMobil Open - Doha" ,2007-01-03 ,"Andy Murray/Jamie Murray" ,"Mariusz Fyrstenberg/Marcin Matkowski" ,2 ,1 ,4 ,6 ,1 , , ,6 ,2 ,9 , ,
"Qatar ExxonMobil Open - Doha" ,2007-01-03 ,"Mikhail Youzhny/Nenad Zimonjic" ,"Philipp Kohlschreiber/Robin Soderling" ,2 ,1 ,4 ,6 ,1 , , ,6 ,3 ,7 , ,
"Chennai Open - Chennai" ,2007-01-04 ,"Alexander Peya/Bjorn Phau" ,"Tomas Cibulec/Rainer Schuettler" ,2 ,0 ,6 ,6 , , , ,1 ,2 , , ,
"Chennai Open - Chennai" ,2007-01-04 ,"Leos Friedl/Michael Kohlmann" ,"Tomas Behrend/Robin Vik" ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
