tournament,date,aName,bName,aSets,bSets,aS1,aS2,aS3,aS4,aS5,bS1,bS2,bS3,bS4,bS5,surface,level,federation
"Brisbane International - Brisbane 2018" ,2018-12-31 00:00:00 ,"Marcus Daniell/Wesley Koolhof" ,"Roman Jebavy/Andres Molteni" ,2 ,1 ,6 ,5 ,1 , , ,3 ,7 ,6 , , ,HARD ,atp ,ATP
"Brisbane International - Brisbane 2018" ,2018-12-31 00:00:00 ,"Austin Krajicek/Artem Sitak" ,"Taylor Harry Fritz/Nick Kyrgios" ,2 ,0 ,7 ,7 , , , ,5 ,6 , , , ,HARD ,atp ,ATP
"Brisbane International - Brisbane 2018" ,2018-12-31 00:00:00 ,"Ben Mclachlan/Jan Lennard Struff" ,"Alex de Minaur/Lleyton Hewitt" ,2 ,0 ,6 ,6 , , , ,3 ,1 , , , ,HARD ,atp ,ATP
"Brisbane International - Brisbane 2018" ,2018-12-31 00:00:00 ,"James Duckworth/Jordan Thompson" ,"Kei Nishikori/Yoshihito Nishioka" ,2 ,0 ,7 ,6 , , , ,6 ,4 , , , ,HARD ,atp ,ATP
"Brisbane International - Brisbane 2019" ,2019-01-01 00:00:00 ,"Kyle Edmund/Neal Skupski" ,"Henri Kontinen/John Peers" ,2 ,0 ,7 ,6 , , , ,6 ,2 , , , ,HARD ,atp ,ATP
"Brisbane International - Brisbane 2019" ,2019-01-01 00:00:00 ,"John Millman/John Patrick Smith" ,"Marcelo Demoliner/Daniil Medvedev" ,2 ,1 ,6 ,6 ,1 , , ,7 ,4 ,4 , , ,HARD ,atp ,ATP
"Brisbane International - Brisbane 2019" ,2019-01-01 00:00:00 ,"Robert Lindstedt/Milos Raonic" ,"Bob Bryan/Mike Bryan" ,2 ,1 ,3 ,6 ,1 , , ,6 ,4 ,7 , , ,HARD ,atp ,ATP
"Orlando Challenger 2019" ,2019-01-01 00:00:00 ,"JC Aragone/Alex Lawson" ,"Robert Galloway/Nathaniel Lammons" ,2 ,0 ,6 ,6 , , , ,2 ,4 , , , ,HARD ,challeger ,ATP
"Orlando Challenger 2019" ,2019-01-01 00:00:00 ,"Goncalo Oliveira/Andrea Vavassori" ,"Nikola Cacic/Fernando Romboli" ,2 ,0 ,6 ,6 , , , ,3 ,2 , , , ,HARD ,challeger ,ATP
"Orlando Challenger 2019" ,2019-01-01 00:00:00 ,"Ulises Blanch/Sam Riffice" ,"Joao Menezes/Joao Souza" ,2 ,0 ,6 ,6 , , , ,3 ,1 , , , ,HARD ,challeger ,ATP
"Orlando Challenger 2019" ,2019-01-01 00:00:00 ,"Romain Arneodo/Andrei Vasilevski" ,"Fabien Reboul/Bernardo Saraiva" ,2 ,1 ,6 ,4 ,1 , , ,3 ,6 ,8 , , ,HARD ,challeger ,ATP
"Brisbane International - Brisbane 2019" ,2019-01-02 00:00:00 ,"Rajeev Ram/Joe Salisbury" ,"Grigor Dimitrov/Ryan Harrison" ,2 ,0 ,6 ,7 , , , ,2 ,5 , , , ,HARD ,atp ,ATP
"Brisbane International - Brisbane 2019" ,2019-01-02 00:00:00 ,"John Millman/John Patrick Smith" ,"Ben Mclachlan/Jan Lennard Struff" ,2 ,0 ,7 ,6 , , , ,6 ,4 , , , ,HARD ,atp ,ATP
"Brisbane International - Brisbane 2019" ,2019-01-02 00:00:00 ,"Marcus Daniell/Wesley Koolhof" ,"Kyle Edmund/Neal Skupski" ,2 ,0 ,6 ,7 , , , ,1 ,6 , , , ,HARD ,atp ,ATP
"Orlando Challenger 2019" ,2019-01-02 00:00:00 ,"Gonzalo Escobar/Roberto Maytin" ,"Gianluca Mager/Dennis Novikov" ,2 ,0 ,6 ,6 , , , ,2 ,2 , , , ,HARD ,challeger ,ATP
"Orlando Challenger 2019" ,2019-01-02 00:00:00 ,"Laurynas Grigelis/Uladzimir Ignatik" ,"Hans Hach Verdugo/Ante Pavic" ,2 ,1 ,6 ,7 ,1 , , ,7 ,6 ,6 , , ,HARD ,challeger ,ATP
"Orlando Challenger 2019" ,2019-01-02 00:00:00 ,"Luis David Martinez/Andreas Siljestrom" ,"Benjamin Bonzi/Jonathan Eysseric" ,2 ,1 ,6 ,1 ,1 , , ,4 ,6 ,5 , , ,HARD ,challeger ,ATP
"Orlando Challenger 2019" ,2019-01-02 00:00:00 ,"Evan King/Hunter Reese" ,"Kevin King/Nathan Pasha" ,2 ,1 ,6 ,3 ,1 , , ,3 ,6 ,9 , , ,HARD ,challeger ,ATP
"Brisbane International - Brisbane 2019" ,2019-01-03 00:00:00 ,"James Duckworth/Jordan Thompson" ,"Robert Lindstedt/Milos Raonic" ,2 ,0 ,6 ,7 , , , ,4 ,5 , , , ,HARD ,atp ,ATP
"Brisbane International - Brisbane 2019" ,2019-01-03 00:00:00 ,"Rajeev Ram/Joe Salisbury" ,"Austin Krajicek/Artem Sitak" ,2 ,1 ,6 ,4 ,1 , , ,2 ,6 ,8 , , ,HARD ,atp ,ATP
"Orlando Challenger 2019" ,2019-01-03 00:00:00 ,"Luis David Martinez/Andreas Siljestrom" ,"JC Aragone/Alex Lawson" ,2 ,1 ,3 ,7 ,1 , , ,6 ,6 ,5 , , ,HARD ,challeger ,ATP
"Orlando Challenger 2019" ,2019-01-03 00:00:00 ,"Romain Arneodo/Andrei Vasilevski" ,"Gonzalo Escobar/Roberto Maytin" ,2 ,1 ,7 ,6 ,1 , , ,5 ,7 ,6 , , ,HARD ,challeger ,ATP
"Orlando Challenger 2019" ,2019-01-03 00:00:00 ,"Evan King/Hunter Reese" ,"Ulises Blanch/Sam Riffice" ,2 ,0 ,6 ,6 , , , ,3 ,4 , , , ,HARD ,challeger ,ATP
"Orlando Challenger 2019" ,2019-01-03 00:00:00 ,"Goncalo Oliveira/Andrea Vavassori" ,"Laurynas Grigelis/Uladzimir Ignatik" ,2 ,0 ,6 ,6 , , , ,4 ,2 , , , ,HARD ,challeger ,ATP
"Brisbane International - Brisbane 2019" ,2019-01-04 00:00:00 ,"Marcus Daniell/Wesley Koolhof" ,"John Millman/John Patrick Smith" ,2 ,1 ,6 ,7 ,1 , , ,7 ,6 ,8 , , ,HARD ,atp ,ATP
"Brisbane International - Brisbane 2019" ,2019-01-04 00:00:00 ,"Rajeev Ram/Joe Salisbury" ,"James Duckworth/Jordan Thompson" ,2 ,0 ,7 ,6 , , , ,6 ,3 , , , ,HARD ,atp ,ATP
"Orlando Challenger 2019" ,2019-01-04 00:00:00 ,"Romain Arneodo/Andrei Vasilevski" ,"Evan King/Hunter Reese" ,2 ,0 ,6 ,7 , , , ,3 ,6 , , , ,HARD ,challeger ,ATP
"Orlando Challenger 2019" ,2019-01-05 00:00:00 ,"Goncalo Oliveira/Andrea Vavassori" ,"Luis David Martinez/Andreas Siljestrom" ,2 ,1 ,4 ,6 ,1 , , ,6 ,2 ,5 , , ,HARD ,challeger ,ATP
