tournament,surface,level,federation
Aircel Chennai Open - Chennai 2011 ,HARD ,atp ,ATP
Brisbane International - Brisbane 2011 ,HARD ,atp ,ATP
Hopman Cup - Perth 2011 ,I. HARD ,atp ,ATP
Qatar ExxonMobil Open - Doha 2011 ,HARD ,atp ,ATP
The Mubadala World Tennis Championship 2011 ,HARD ,atp ,ATP
Noumea Challenger 2011 ,HARD ,challeger ,ATP
Sao Paulo Challenger 2011 ,HARD ,challeger ,ATP
Heineken Open - Auckland 2011 ,HARD ,atp ,ATP
Medibank International - Sydney 2011 ,HARD ,atp ,ATP
AAMI Classic - Kooyong 2011 ,HARD ,atp ,ATP
Australian Open - Melbourne 2011 ,HARD ,grandSlam ,GS
Australian Open (juniors) 2011 ,HARD ,grandSlam ,GS
Heilbronn Challenger 2011 ,I. HARD ,challeger ,ATP
Bucaramanga Challenger 2011 ,CLAY ,challeger ,ATP
Honolulu Challenger 2011 ,HARD ,challeger ,ATP
Reunion Island Challenger 2011 ,HARD ,challeger ,ATP
Singapore Challenger 2011 ,HARD ,challeger ,ATP
Movistar Open - Santiago 2011 ,CLAY ,atp ,ATP
PBZ Zagreb Indoors - Zagreb 2011 ,I. HARD ,atp ,ATP
SA Tennis Open - Johannesburg 2011 ,HARD ,atp ,ATP
Burnie Challenger 2011 ,HARD ,challeger ,ATP
Courmayeur Challenger 2011 ,I. HARD ,challeger ,ATP
Kazan Challenger 2011 ,I. HARD ,challeger ,ATP
ABN AMRO World Tennis Tournament - Rotterdam 2011 ,I. HARD ,atp ,ATP
Brasil Open - Costa do Sauipe 2011 ,CLAY ,atp ,ATP
SAP Open - San Jose 2011 ,I. HARD ,atp ,ATP
Bergamo Challenger 2011 ,I. HARD ,challeger ,ATP
Caloundra Challenger 2011 ,HARD ,challeger ,ATP
Quimper Challenger 2011 ,I. HARD ,challeger ,ATP
Copa Claro - Buenos Aires 2011 ,CLAY ,atp ,ATP
Open 13 - Marseille 2011 ,I. HARD ,atp ,ATP
Regions Morgan Keegan Championships - Memphis 2011 ,I. HARD ,atp ,ATP
Meknes Challenger 2011 ,CLAY ,challeger ,ATP
Abierto Mexicano Telcel - Acapulco 2011 ,CLAY ,atp ,ATP
Delray Beach International Tennis Championships - Delray Beach 2011 ,HARD ,atp ,ATP
Dubai Duty Free Tennis Championships - Dubai 2011 ,HARD ,atp ,ATP
Casablanca Challenger 2011 ,CLAY ,challeger ,ATP
Wolfsburg Challenger 2011 ,CARPET ,challeger ,ATP
Cherbourg Challenger 2011 ,I. HARD ,challeger ,ATP
Dallas Challenger 2011 ,I. HARD ,challeger ,ATP
Salinas Challenger 2011 ,CLAY ,challeger ,ATP
"Davis Cup, Group I, 1R, CHN-TPE 3-2 2011 ",I. HARD ,DAVIS ,ITF
"Davis Cup, Group I, 1R, MEX-CAN 1-4 2011 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group I, 1R, PHI-JPN 1-3 2011 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group I, 1R, POR-SVK 4-1 2011 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group I, 1R, SLO-FIN 3-2 2011 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group I, 1R, UKR-NED 2-3 2011 ",I. HARD ,DAVIS ,ITF
"Davis Cup, Group I, 1R, URU-COL 4-1 2011 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group I, 1R, UZB-NZL 3-2 2011 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group I, 2R, ISR-POL 3-1 2011 ",HARD ,DAVIS ,ITF
"Davis Cup, Group II, 1R, BLR-BUL 4-1 2011 ",I. HARD ,DAVIS ,ITF
"Davis Cup, Group II, 1R, CYP-HUN 0-5 2011 ",HARD ,DAVIS ,ITF
"Davis Cup, Group II, 1R, DEN-MON 3-2 2011 ",CARPET ,DAVIS ,ITF
"Davis Cup, Group II, 1R, ESA-DOM 0-5 2011 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group II, 1R, EST-LTU 3-2 2011 ",I. HARD ,DAVIS ,ITF
"Davis Cup, Group II, 1R, GBR-TUN 4-1 2011 ",I. HARD ,DAVIS ,ITF
"Davis Cup, Group II, 1R, GRE-LAT 1-4 2011 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group II, 1R, HKG-PAK 2-3 2011 ",HARD ,DAVIS ,ITF
"Davis Cup, Group II, 1R, IRI-INA 2-3 2011 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group II, 1R, IRL-LUX 2-3 2011 ",I. HARD ,DAVIS ,ITF
"Davis Cup, Group II, 1R, KOR-SYR 4-1 2011 ",HARD ,DAVIS ,ITF
"Davis Cup, Group II, 1R, MAR-BIH 2-3 2011 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group II, 1R, PER-AHO 5-0 2011 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group II, 1R, POC-THA 0-5 2011 ",HARD ,DAVIS ,ITF
"Davis Cup, Group II, 1R, PUR-PAR 1-4 2011 ",HARD ,DAVIS ,ITF
"Davis Cup, Group II, 1R, VEN-HAI 3-2 2011 ",HARD ,DAVIS ,ITF
"Davis Cup, World Group, 1R, ARG-ROU 4-1 2011 ",CLAY ,DAVIS ,ITF
"Davis Cup, World Group, 1R, AUT-FRA 2-3 2011 ",CLAY ,DAVIS ,ITF
"Davis Cup, World Group, 1R, BEL-ESP 1-4 2011 ",I. HARD ,DAVIS ,ITF
"Davis Cup, World Group, 1R, CHI-USA 1-4 2011 ",CLAY ,DAVIS ,ITF
"Davis Cup, World Group, 1R, CRO-GER 2-3 2011 ",I. HARD ,DAVIS ,ITF
"Davis Cup, World Group, 1R, CZE-KAZ 2-3 2011 ",I. HARD ,DAVIS ,ITF
"Davis Cup, World Group, 1R, SRB-IND 4-1 2011 ",I. HARD ,DAVIS ,ITF
"Davis Cup, World Group, 1R, SWE-RUS 3-2 2011 ",I. HARD ,DAVIS ,ITF
Santiago Challenger 2011 ,CLAY ,challeger ,ATP
Sarajevo Challenger 2011 ,I. HARD ,challeger ,ATP
BNP Paribas Open - Indian Wells 2011 ,HARD ,atp ,ATP
Kyoto Challenger 2011 ,CARPET ,challeger ,ATP
Guangzhou Challenger 2011 ,HARD ,challeger ,ATP
Le Gosier Challenger 2011 ,HARD ,challeger ,ATP
Rabat Challenger 2011 ,CLAY ,challeger ,ATP
Rimouski Challenger 2011 ,I. HARD ,challeger ,ATP
San Jose Challenger 2011 ,HARD ,challeger ,ATP
Bath Challenger 2011 ,I. HARD ,challeger ,ATP
Caltanissetta Challenger 2011 ,CLAY ,challeger ,ATP
Marrakech Challenger 2011 ,CLAY ,challeger ,ATP
Pingguo Challenger 2011 ,HARD ,challeger ,ATP
Sony Ericsson Open - Miami 2011 ,HARD ,atp ,ATP
Barletta Challenger 2011 ,CLAY ,challeger ,ATP
St. Brieuc Challenger 2011 ,CLAY ,challeger ,ATP
Barranquilla Challenger 2011 ,CLAY ,challeger ,ATP
Grand Prix Hassan II - Casablanca 2011 ,CLAY ,atp ,ATP
US Men's Clay Court Championship - Houston 2011 ,CLAY ,atp ,ATP
Monza Challenger 2011 ,CLAY ,challeger ,ATP
Pereira Challenger 2011 ,CLAY ,challeger ,ATP
Recife Challenger 2011 ,HARD ,challeger ,ATP
Monte-Carlo Rolex Masters - Monte-Carlo 2011 ,CLAY ,atp ,ATP
Athens Challenger 2011 ,HARD ,challeger ,ATP
Blumenau Challenger 2011 ,CLAY ,challeger ,ATP
Johannesburg Challenger 2011 ,HARD ,challeger ,ATP
Rome Challenger 2011 ,CLAY ,challeger ,ATP
Tallahassee Challenger 2011 ,HARD ,challeger ,ATP
Open Sabadell Atlantico - Barcelona 2011 ,CLAY ,atp ,ATP
Napoli Challenger 2011 ,CLAY ,challeger ,ATP
Santos Challenger 2011 ,CLAY ,challeger ,ATP
BMW Open - Munich 2011 ,CLAY ,atp ,ATP
Estoril Open - Estoril 2011 ,CLAY ,atp ,ATP
Serbia Open - Belgrade 2011 ,CLAY ,atp ,ATP
Leon Challenger 2011 ,HARD ,challeger ,ATP
Ostrava Challenger 2011 ,CLAY ,challeger ,ATP
Sarasota Challenger 2011 ,CLAY ,challeger ,ATP
Mutua Madrilena Madrid Open - Madrid 2011 ,CLAY ,atp ,ATP
Prague Challenger 2011 ,CLAY ,challeger ,ATP
Savannah Challenger 2011 ,CLAY ,challeger ,ATP
Internazionali BNL d'Italia - Rome 2011 ,CLAY ,atp ,ATP
Bordeaux Challenger 2011 ,CLAY ,challeger ,ATP
Busan Challenger 2011 ,HARD ,challeger ,ATP
Zagreb Challenger 2011 ,CLAY ,challeger ,ATP
Open de Nice Cote d'Azur - Nice 2011 ,CLAY ,atp ,ATP
ARAG ATP World Tour Championship - Dusseldorf 2011 ,CLAY ,atp ,ATP
Cremona Challenger 2011 ,HARD ,challeger ,ATP
Fergana Challenger 2011 ,HARD ,challeger ,ATP
French Open - Paris 2011 ,CLAY ,grandSlam ,GS
Alessandria Challenger 2011 ,CLAY ,challeger ,ATP
French Open (juniors) 2011 ,CLAY ,grandSlam ,GS
Prostejov Challenger 2011 ,CLAY ,challeger ,ATP
Furth Challenger 2011 ,CLAY ,challeger ,ATP
Nottingham Challenger 2011 ,GRASS ,challeger ,ATP
Rijeka Challenger 2011 ,CLAY ,challeger ,ATP
AEGON Championships - London 2011 ,GRASS ,atp ,ATP
Gerry Weber Open - Halle 2011 ,GRASS ,atp ,ATP
Kosice Challenger 2011 ,CLAY ,challeger ,ATP
AEGON International - Eastbourne 2011 ,GRASS ,atp ,ATP
UNICEF Open - 's Hertogenbosch 2011 ,GRASS ,atp ,ATP
Milan Challenger 2011 ,CLAY ,challeger ,ATP
Wimbledon - London 2011 ,GRASS ,grandSlam ,GS
Guadalajara Challenger 2011 ,HARD ,challeger ,ATP
Marburg Challenger 2011 ,CLAY ,challeger ,ATP
Wimbledon (juniors) 2011 ,GRASS ,grandSlam ,GS
Winnetka Challenger 2011 ,HARD ,challeger ,ATP
Braunschweig Challenger 2011 ,CLAY ,challeger ,ATP
Turin Challenger 2011 ,CLAY ,challeger ,ATP
Campbell's Hall of Fame Tennis Championships - Newport 2011 ,GRASS ,atp ,ATP
Oberstaufen Challenger 2011 ,CLAY ,challeger ,ATP
Pozoblanco Challenger 2011 ,HARD ,challeger ,ATP
San Benedetto Challenger 2011 ,CLAY ,challeger ,ATP
Scheveningen Challenger 2011 ,CLAY ,challeger ,ATP
"Davis Cup, World Group, QF, ARG-KAZ 5-0 2011 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group I, 2R, CHN-AUS 1-3 2011 ",I. HARD ,DAVIS ,ITF
"Davis Cup, Group I, 2R, ECU-CAN 2-3 2011 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group I, 2R, ITA-SLO 5-0 2011 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group I, 2R, JPN-UZB 4-1 2011 ",I. HARD ,DAVIS ,ITF
"Davis Cup, Group I, 2R, RSA-NED 3-1 2011 ",HARD ,DAVIS ,ITF
"Davis Cup, Group I, 2R, SUI-POR 5-0 2011 ",I. HARD ,DAVIS ,ITF
"Davis Cup, Group I, 2R, URU-BRA 0-5 2011 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group II, 2R, BIH-EST 3-2 2011 ",I. HARD ,DAVIS ,ITF
"Davis Cup, Group II, 2R, DEN-LAT 3-2 2011 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group II, 2R, GBR-LUX 4-1 2011 ",I. HARD ,DAVIS ,ITF
"Davis Cup, Group II, 2R, HUN-BLR 3-2 2011 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group II, PO, BUL-CYP 2-3 2011 ",CARPET ,DAVIS ,ITF
"Davis Cup, Group II, PO, GRE-MON 2-3 2011 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group II, PO, IRL-TUN 3-2 2011 ",I. HARD ,DAVIS ,ITF
"Davis Cup, Group II, PO, LTU-MAR 0-5 2011 ",CLAY ,DAVIS ,ITF
"Davis Cup, World Group, QF, GER-FRA 1-4 2011 ",CLAY ,DAVIS ,ITF
"Davis Cup, World Group, QF, SWE-SRB 1-4 2011 ",I. HARD ,DAVIS ,ITF
"Davis Cup, World Group, QF, USA-ESP 1-3 2011 ",I. HARD ,DAVIS ,ITF
Mercedes Cup - Stuttgart 2011 ,CLAY ,atp ,ATP
SkiStar Swedish Open - Bastad 2011 ,CLAY ,atp ,ATP
Aptos Challenger 2011 ,HARD ,challeger ,ATP
Bogota Challenger 2011 ,CLAY ,challeger ,ATP
Granby Challenger 2011 ,HARD ,challeger ,ATP
Sopot Challenger 2011 ,CLAY ,challeger ,ATP
Atlanta Tennis Championships - Atlanta 2011 ,HARD ,atp ,ATP
German Tennis Championships - Hamburg 2011 ,CLAY ,atp ,ATP
Lexington Challenger 2011 ,HARD ,challeger ,ATP
Manta Challenger 2011 ,HARD ,challeger ,ATP
Orbetello Challenger 2011 ,CLAY ,challeger ,ATP
Penza Challenger 2011 ,HARD ,challeger ,ATP
Poznan Challenger 2011 ,CLAY ,challeger ,ATP
Allianz Suisse Open - Gstaad 2011 ,CLAY ,atp ,ATP
ATP Studena Croatia Open - Umag 2011 ,CLAY ,atp ,ATP
Farmers Classic - Los Angeles 2011 ,HARD ,atp ,ATP
Astana Challenger 2011 ,HARD ,challeger ,ATP
Dortmund Challenger 2011 ,CLAY ,challeger ,ATP
Recanati Challenger 2011 ,HARD ,challeger ,ATP
Tampere Challenger 2011 ,CLAY ,challeger ,ATP
Wuhai Challenger 2011 ,HARD ,challeger ,ATP
Bet-At-Home Austrian Open - Kitzbuhel 2011 ,CLAY ,atp ,ATP
Legg Mason Tennis Classic - Washington 2011 ,HARD ,atp ,ATP
Beijing Challenger 2011 ,HARD ,challeger ,ATP
Campos do Jordao Challenger 2011 ,HARD ,challeger ,ATP
Segovia Challenger 2011 ,HARD ,challeger ,ATP
Trani Challenger 2011 ,CLAY ,challeger ,ATP
Vancouver Challenger 2011 ,HARD ,challeger ,ATP
Rogers Cup - Montreal 2011 ,HARD ,atp ,ATP
Samarkand Challenger 2011 ,CLAY ,challeger ,ATP
San Marino Challenger 2011 ,CLAY ,challeger ,ATP
Binghamton Challenger 2011 ,HARD ,challeger ,ATP
Western & Southern Financial Group Masters - Cincinnati 2011 ,HARD ,atp ,ATP
Cordenons Challenger 2011 ,CLAY ,challeger ,ATP
Karshi Challenger 2011 ,HARD ,challeger ,ATP
San Sebastian Challenger 2011 ,CLAY ,challeger ,ATP
Winston Salem - Winston Salem 2011 ,HARD ,atp ,ATP
Manerbio Challenger 2011 ,CLAY ,challeger ,ATP
U.S. Open - New York 2011 ,HARD ,grandSlam ,GS
Bangkok Challenger 2011 ,HARD ,challeger ,ATP
Como Challenger 2011 ,CLAY ,challeger ,ATP
U.S. Open (juniors) 2011 ,HARD ,grandSlam ,GS
Seville Challenger 2011 ,CLAY ,challeger ,ATP
Shanghai Challenger 2011 ,HARD ,challeger ,ATP
Brasov Challenger 2011 ,CLAY ,challeger ,ATP
Genova Challenger 2011 ,CLAY ,challeger ,ATP
Alphen Challenger 2011 ,CLAY ,challeger ,ATP
St. Remy Challenger 2011 ,HARD ,challeger ,ATP
Banja Luka Challenger 2011 ,CLAY ,challeger ,ATP
Belo Horizonte Challenger 2011 ,CLAY ,challeger ,ATP
Istanbul Challenger 2011 ,HARD ,challeger ,ATP
Ningboo Challenger 2011 ,HARD ,challeger ,ATP
Szczecin Challenger 2011 ,CLAY ,challeger ,ATP
Todi Challenger 2011 ,CLAY ,challeger ,ATP
Tulsa Challenger 2011 ,HARD ,challeger ,ATP
"Davis Cup, Group I, PO, ECU-MEX 3-2 2011 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group I, PO, FIN-POL 3-2 2011 ",I. HARD ,DAVIS ,ITF
"Davis Cup, Group I, PO, PHI-TPE 2-3 2011 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group I, PO, SVK-UKR 4-1 2011 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group II, 3R, DEN-BIH 3-2 2011 ",I. HARD ,DAVIS ,ITF
"Davis Cup, Group II, 3R, GBR-HUN 5-0 2011 ",I. HARD ,DAVIS ,ITF
"Davis Cup, Group II, 3R, KOR-THA 3-0 2011 ",HARD ,DAVIS ,ITF
"Davis Cup, Group II, 3R, PAR-PER 1-3 2011 ",CLAY ,DAVIS ,ITF
"Davis Cup, World Group, PO, AUS-SUI 2-3 2011 ",GRASS ,DAVIS ,ITF
"Davis Cup, World Group, PO, BEL-AUT 1-4 2011 ",I. HARD ,DAVIS ,ITF
"Davis Cup, World Group, PO, CHI-ITA 1-4 2011 ",HARD ,DAVIS ,ITF
"Davis Cup, World Group, PO, ISR-CAN 2-3 2011 ",HARD ,DAVIS ,ITF
"Davis Cup, World Group, PO, JPN-IND 4-1 2011 ",HARD ,DAVIS ,ITF
"Davis Cup, World Group, PO, ROU-CZE 0-5 2011 ",CLAY ,DAVIS ,ITF
"Davis Cup, World Group, PO, RSA-CRO 1-4 2011 ",HARD ,DAVIS ,ITF
"Davis Cup, World Group, PO, RUS-BRA 3-2 2011 ",I. HARD ,DAVIS ,ITF
"Davis Cup, World Group, SF, ESP-FRA 4-1 2011 ",CLAY ,DAVIS ,ITF
"Davis Cup, World Group, SF, SRB-ARG 2-3 2011 ",I. HARD ,DAVIS ,ITF
BCR Open Romania - Bucharest 2011 ,CLAY ,atp ,ATP
Open de Moselle - Metz 2011 ,I. HARD ,atp ,ATP
Cali Challenger 2011 ,CLAY ,challeger ,ATP
Campinas Challenger 2011 ,CLAY ,challeger ,ATP
Izmir Challenger 2011 ,HARD ,challeger ,ATP
Tashkent Challenger 2011 ,HARD ,challeger ,ATP
Trnava Challenger 2011 ,CLAY ,challeger ,ATP
Ljubljana Challenger 2011 ,CLAY ,challeger ,ATP
Malaysian Open - Kuala Lumpur 2011 ,I. HARD ,atp ,ATP
PTT Thailand Open - Bangkok 2011 ,I. HARD ,atp ,ATP
Madrid Challenger 2011 ,CLAY ,challeger ,ATP
Aguascalenties Challenger 2011 ,CLAY ,challeger ,ATP
China Open - Beijing 2011 ,HARD ,atp ,ATP
Rakuten Japan Open - Tokyo 2011 ,HARD ,atp ,ATP
Mons Challenger 2011 ,I. HARD ,challeger ,ATP
Palermo Challenger 2011 ,CLAY ,challeger ,ATP
Sacramento Challenger 2011 ,HARD ,challeger ,ATP
Shanghai ATP Masters - Shanghai 2011 ,HARD ,atp ,ATP
Rennes Challenger 2011 ,I. HARD ,challeger ,ATP
Tiburon Challenger 2011 ,HARD ,challeger ,ATP
If Stockholm Open - Stockholm 2011 ,I. HARD ,atp ,ATP
Kremlin Cup - Moscow 2011 ,I. HARD ,atp ,ATP
Orleans Challenger 2011 ,I. HARD ,challeger ,ATP
Quito Challenger 2011 ,CLAY ,challeger ,ATP
Seoul Challenger 2011 ,HARD ,challeger ,ATP
Erste Bank Open - Vienna 2011 ,I. HARD ,atp ,ATP
St. Petersburg Open - St. Petersburg 2011 ,I. HARD ,atp ,ATP
Sao Jose Do Rio Preto Challenger 2011 ,CLAY ,challeger ,ATP
"Davis Cup, Group I, PO, MEX-COL 0-5 2011 ",CLAY ,DAVIS ,ITF
Open de Tenis Comunidad Valenciana - Valencia 2011 ,I. HARD ,atp ,ATP
Swiss Indoors Basel - Basel 2011 ,I. HARD ,atp ,ATP
Charlottesville Challenger 2011 ,I. HARD ,challeger ,ATP
Eckental Challenger 2011 ,CARPET ,challeger ,ATP
Medellin Challenger 2011 ,CLAY ,challeger ,ATP
Sao Leopoldo Challenger 2011 ,CLAY ,challeger ,ATP
BNP Paribas Masters - Paris 2011 ,I. HARD ,atp ,ATP
Buenos Aires Challenger 2011 ,CLAY ,challeger ,ATP
Geneva Challenger 2011 ,I. HARD ,challeger ,ATP
Loughborough Challenger 2011 ,I. HARD ,challeger ,ATP
Ortisei Challenger 2011 ,CARPET ,challeger ,ATP
Knoxville Challenger 2011 ,I. HARD ,challeger ,ATP
Bratislava Challenger 2011 ,I. HARD ,challeger ,ATP
Champaign Challenger 2011 ,I. HARD ,challeger ,ATP
Montevideo Challenger 2011 ,CLAY ,challeger ,ATP
Salzburg Challenger 2011 ,I. HARD ,challeger ,ATP
Sao Paulo Challenger Tour Finals 2011 ,I. HARD ,challeger ,ATP
Barclays ATP World Tour Finals - London 2011 ,I. HARD ,atp ,ATP
Guayaquil Challenger 2011 ,CLAY ,challeger ,ATP
Helsinki Challenger 2011 ,I. HARD ,challeger ,ATP
Toyota Challenger 2011 ,CARPET ,challeger ,ATP
"Davis Cup, World Group, F, ESP-ARG 3-1 2011 ",CLAY ,DAVIS ,ITF
Aircel Chennai Open - Chennai 2012 ,HARD ,atp ,ATP
Brisbane International - Brisbane 2012 ,HARD ,atp ,ATP
Hopman Cup - Perth 2012 ,I. HARD ,atp ,ATP
Qatar ExxonMobil Open - Doha 2012 ,HARD ,atp ,ATP
Noumea Challenger 2012 ,HARD ,challeger ,ATP
Sao Paulo Challenger 2012 ,HARD ,challeger ,ATP
Apia International - Sydney 2012 ,HARD ,atp ,ATP
Heineken Open - Auckland 2012 ,HARD ,atp ,ATP
AAMI Classic - Kooyong 2012 ,HARD ,atp ,ATP
Australian Open - Melbourne 2012 ,HARD ,grandSlam ,GS
Australian Open (juniors) 2012 ,HARD ,grandSlam ,GS
Heilbronn Challenger 2012 ,I. HARD ,challeger ,ATP
Bucaramanga Challenger 2012 ,CLAY ,challeger ,ATP
Honolulu Challenger 2012 ,HARD ,challeger ,ATP
Open Sud de France - Montpellier 2012 ,I. HARD ,atp ,ATP
PBZ Zagreb Indoors - Zagreb 2012 ,I. HARD ,atp ,ATP
VTR Open - Vina del Mar 2012 ,CLAY ,atp ,ATP
Burnie Challenger 2012 ,HARD ,challeger ,ATP
Kazan Challenger 2012 ,I. HARD ,challeger ,ATP
Caloundra Challenger 2012 ,HARD ,challeger ,ATP
Dallas Challenger 2012 ,I. HARD ,challeger ,ATP
Quimper Challenger 2012 ,I. HARD ,challeger ,ATP
"Davis Cup, Group I, 1R, AUS-CHN 5-0 2012 ",GRASS ,DAVIS ,ITF
"Davis Cup, Group I, 1R, ECU-COL 1-4 2012 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group I, 1R, GBR-SVK 3-2 2012 ",I. HARD ,DAVIS ,ITF
"Davis Cup, Group I, 1R, KOR-TPE 4-1 2012 ",I. HARD ,DAVIS ,ITF
"Davis Cup, Group I, 1R, NED-FIN 5-0 2012 ",I. HARD ,DAVIS ,ITF
"Davis Cup, Group I, 1R, NZL-UZB 2-3 2012 ",I. HARD ,DAVIS ,ITF
"Davis Cup, Group I, 1R, SLO-DEN 5-0 2012 ",I. HARD ,DAVIS ,ITF
"Davis Cup, Group I, 1R, URU-PER 3-1 2012 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group II, 1R, BAR-PAR 3-2 2012 ",HARD ,DAVIS ,ITF
"Davis Cup, Group II, 1R, BLR-MDA 4-1 2012 ",I. HARD ,DAVIS ,ITF
"Davis Cup, Group II, 1R, CYP-MAR 3-2 2012 ",I. HARD ,DAVIS ,ITF
"Davis Cup, Group II, 1R, DOM-BOL 4-1 2012 ",HARD ,DAVIS ,ITF
"Davis Cup, Group II, 1R, EGY-LAT 2-3 2012 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group II, 1R, EST-LUX 5-0 2012 ",I. HARD ,DAVIS ,ITF
"Davis Cup, Group II, 1R, HKG-INA 2-3 2012 ",HARD ,DAVIS ,ITF
"Davis Cup, Group II, 1R, HUN-IRL 3-2 2012 ",CARPET ,DAVIS ,ITF
"Davis Cup, Group II, 1R, LIB-PAK 2-3 2012 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group II, 1R, MEX-ESA 5-0 2012 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group II, 1R, PHI-POC 5-0 2012 ",I. HARD ,DAVIS ,ITF
"Davis Cup, Group II, 1R, POL-MAD 4-1 2012 ",CARPET ,DAVIS ,ITF
"Davis Cup, Group II, 1R, SRI-THA 1-3 2012 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group II, 1R, TUR-BIH 1-3 2012 ",I. HARD ,DAVIS ,ITF
"Davis Cup, Group II, 1R, UKR-MON 5-0 2012 ",I. HARD ,DAVIS ,ITF
"Davis Cup, Group II, 1R, VEN-PUR 5-0 2012 ",HARD ,DAVIS ,ITF
"Davis Cup, World Group, 1R, AUT-RUS 3-2 2012 ",I. HARD ,DAVIS ,ITF
"Davis Cup, World Group, 1R, CAN-FRA 1-4 2012 ",I. HARD ,DAVIS ,ITF
"Davis Cup, World Group, 1R, CZE-ITA 4-1 2012 ",I. HARD ,DAVIS ,ITF
"Davis Cup, World Group, 1R, ESP-KAZ 5-0 2012 ",CLAY ,DAVIS ,ITF
"Davis Cup, World Group, 1R, GER-ARG 1-4 2012 ",CLAY ,DAVIS ,ITF
"Davis Cup, World Group, 1R, JPN-CRO 2-3 2012 ",I. HARD ,DAVIS ,ITF
"Davis Cup, World Group, 1R, SRB-SWE 4-1 2012 ",I. HARD ,DAVIS ,ITF
"Davis Cup, World Group, 1R, SUI-USA 0-5 2012 ",CLAY ,DAVIS ,ITF
ABN AMRO World Tennis Tournament - Rotterdam 2012 ,I. HARD ,atp ,ATP
Brasil Open - Sao Paulo 2012 ,CLAY ,atp ,ATP
SAP Open - San Jose 2012 ,I. HARD ,atp ,ATP
Bergamo Challenger 2012 ,I. HARD ,challeger ,ATP
Copa Claro - Buenos Aires 2012 ,CLAY ,atp ,ATP
Open 13 - Marseille 2012 ,I. HARD ,atp ,ATP
Regions Morgan Keegan Championships - Memphis 2012 ,I. HARD ,atp ,ATP
Meknes Challenger 2012 ,CLAY ,challeger ,ATP
Wolfsburg Challenger 2012 ,CARPET ,challeger ,ATP
Abierto Mexicano Telcel - Acapulco 2012 ,CLAY ,atp ,ATP
Delray Beach International Tennis Championships - Delray Beach 2012 ,HARD ,atp ,ATP
Dubai Duty Free Tennis Championships - Dubai 2012 ,HARD ,atp ,ATP
Casablanca Challenger 2012 ,CLAY ,challeger ,ATP
Cherbourg Challenger 2012 ,I. HARD ,challeger ,ATP
Florianopolis Challenger 2012 ,CLAY ,challeger ,ATP
Salinas Challenger 2012 ,CLAY ,challeger ,ATP
Singapore Challenger 2012 ,HARD ,challeger ,ATP
Kyoto Challenger 2012 ,CARPET ,challeger ,ATP
Santiago Challenger 2012 ,CLAY ,challeger ,ATP
BNP Paribas Open - Indian Wells 2012 ,HARD ,atp ,ATP
Guadalajara Challenger 2012 ,HARD ,challeger ,ATP
Pingguo Challenger 2012 ,HARD ,challeger ,ATP
Rabat Challenger 2012 ,CLAY ,challeger ,ATP
Sarajevo Challenger 2012 ,I. HARD ,challeger ,ATP
Dallas Challenger 2012 ,HARD ,challeger ,ATP
Bath Challenger 2012 ,I. HARD ,challeger ,ATP
Marrakech Challenger 2012 ,CLAY ,challeger ,ATP
Rimouski Challenger 2012 ,I. HARD ,challeger ,ATP
Sony Ericsson Open - Miami 2012 ,HARD ,atp ,ATP
Barranquilla Challenger 2012 ,CLAY ,challeger ,ATP
Le Gosier Challenger 2012 ,HARD ,challeger ,ATP
St. Brieuc Challenger 2012 ,CLAY ,challeger ,ATP
Tallahassee Challenger 2012 ,HARD ,challeger ,ATP
Barletta Challenger 2012 ,CLAY ,challeger ,ATP
San Luis Potosi Challenger 2012 ,CLAY ,challeger ,ATP
"Davis Cup, Group I, 2R, AUS-KOR 5-0 2012 ",HARD ,DAVIS ,ITF
"Davis Cup, Group I, 2R, BRA-COL 3-1 2012 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group I, 2R, GBR-BEL 1-4 2012 ",I. HARD ,DAVIS ,ITF
