tournament, date, aName, bName, aSets, bSets, aS1, aS2, aS3, aS4, aS5, bS1, bS2, bS3, bS4, bS5
"Brisbane International - Brisbane" ,2010-01-03 ,"James Blake/Andy Roddick" ,"Jaroslav Levinsky/Travis Parrott" ,2 ,0 ,6 ,6 , , , ,2 ,3 , , ,
"Brisbane International - Brisbane" ,2010-01-04 ,"Ashley Fisher/Stephen Huss" ,"Kaden Hensel/Bernard Tomic" ,2 ,1 ,4 ,6 ,1 , , ,6 ,3 ,6 , ,
"Brisbane International - Brisbane" ,2010-01-04 ,"Jurgen Melzer/Philipp Petzschner" ,"Martin Damm/Filip Polasek" ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
"Chennai Open - Chennai" ,2010-01-04 ,"Marcel Granollers/Santiago Ventura" ,"Michael Kohlmann/Rainer Schuettler" ,2 ,0 ,7 ,6 , , , ,6 ,3 , , ,
"Chennai Open - Chennai" ,2010-01-04 ,"Somdev Devvarman/Sanam Singh" ,"Rik de Voest/Scott Lipsky" ,2 ,0 ,6 ,7 , , , ,2 ,5 , , ,
"Qatar Exxon Mobil Open - Doha" ,2010-01-04 ,"Frantisek Cermak/Michal Mertinak" ,"Reda El Amrani/Mohammad Ghareeb" ,2 ,0 ,6 ,6 , , , ,0 ,0 , , ,
"Qatar Exxon Mobil Open - Doha" ,2010-01-04 ,"Christopher Kas/Dick Norman" ,"Simone Bolelli/Andreas Seppi" ,2 ,1 ,6 ,3 ,1 , , ,3 ,6 ,6 , ,
"Brisbane International - Brisbane" ,2010-01-05 ,"Tomas Berdych/Radek Stepanek" ,"Thomaz Bellucci/Paul Hanley" ,2 ,0 ,6 ,6 , , , ,1 ,4 , , ,
"Brisbane International - Brisbane" ,2010-01-05 ,"Lukas Dlouhy/Leander Paes" ,"Carsten Ball/Sam Querrey" ,2 ,0 ,7 ,6 , , , ,5 ,3 , , ,
"Brisbane International - Brisbane" ,2010-01-05 ,"Marcelo Melo/Bruno Soares" ,"Ross Hutchins/Jordan Kerr" ,2 ,0 ,6 ,6 , , , ,2 ,4 , , ,
"Brisbane International - Brisbane" ,2010-01-05 ,"Jeremy Chardy/Marc Gicquel" ,"Julian Knowle/Robert Lindstedt" ,2 ,1 ,3 ,7 ,1 , , ,6 ,6 ,4 , ,
"Chennai Open - Chennai" ,2010-01-05 ,"Jeff Coetzee/Rogier Wassen" ,"Igor Kunitsyn/Aisam Qureshi" ,2 ,0 ,6 ,6 , , , ,4 ,0 , , ,
"Qatar Exxon Mobil Open - Doha" ,2010-01-05 ,"Mariusz Fyrstenberg/Marcin Matkowski" ,"Marc Lopez/Rafael Nadal" ,2 ,1 ,4 ,6 ,1 , , ,6 ,2 ,3 , ,
"Qatar Exxon Mobil Open - Doha" ,2010-01-05 ,"Guillermo Garcia Lopez/Albert Montanes" ,"Daniel Nestor/Nenad Zimonjic" ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
"Qatar Exxon Mobil Open - Doha" ,2010-01-05 ,"Wesley Moodie/Mikhail Youzhny" ,"Younes El Aynaoui/Abdulla Al Haji" ,2 ,0 ,6 ,6 , , , ,2 ,0 , , ,
"Qatar Exxon Mobil Open - Doha" ,2010-01-05 ,"Marco Chiudinelli/Viktor Troicki" ,"Benjamin Becker/Olivier Rochus" ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
"Qatar Exxon Mobil Open - Doha" ,2010-01-05 ,"Evgeny Korolev/Sergiy Stakhovsky" ,"Fabio Fognini/Potito Starace" ,2 ,1 ,6 ,6 ,1 , , ,2 ,7 ,7 , ,
"Qatar Exxon Mobil Open - Doha" ,2010-01-05 ,"Steve Darcis/Lukasz Kubot" ,"Frederico Gil/Oscar Hernandez" ,2 ,0 ,6 ,6 , , , ,2 ,0 , , ,
"Brisbane International - Brisbane" ,2010-01-06 ,"James Blake/Andy Roddick" ,"Marcelo Melo/Bruno Soares" ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,
"Brisbane International - Brisbane" ,2010-01-06 ,"Michael Llodra/Andy Ram" ,"Peter Luczak/Joseph Sirianni" ,2 ,1 ,3 ,6 ,1 , , ,6 ,4 ,7 , ,
"Chennai Open - Chennai" ,2010-01-06 ,"Yves Allegro/Stan Wawrinka" ,"Eric Butorac/Rajeev Ram" ,2 ,1 ,3 ,6 ,1 , , ,6 ,4 ,5 , ,
"Chennai Open - Chennai" ,2010-01-06 ,"Colin Fleming/Ken Skupski" ,"Jan Hajek/Lukas Lacko" ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
"Chennai Open - Chennai" ,2010-01-06 ,"Yuki Bhambri/Carlos Moya" ,"Robby Ginepri/Dudi Sela" ,2 ,1 ,6 ,4 ,1 , , ,2 ,6 ,5 , ,
"Qatar Exxon Mobil Open - Doha" ,2010-01-06 ,"Guillermo Garcia Lopez/Albert Montanes" ,"Wesley Moodie/Mikhail Youzhny" ,2 ,1 ,6 ,2 ,1 , , ,2 ,6 ,6 , ,
"Qatar Exxon Mobil Open - Doha" ,2010-01-06 ,"Frantisek Cermak/Michal Mertinak" ,"Steve Darcis/Lukasz Kubot" ,2 ,1 ,4 ,7 ,1 , , ,6 ,6 ,9 , ,
"Qatar Exxon Mobil Open - Doha" ,2010-01-06 ,"Christopher Kas/Dick Norman" ,"Marco Chiudinelli/Viktor Troicki" ,2 ,1 ,6 ,5 ,1 , , ,1 ,7 ,5 , ,
"Qatar Exxon Mobil Open - Doha" ,2010-01-06 ,"Evgeny Korolev/Sergiy Stakhovsky" ,"Mariusz Fyrstenberg/Marcin Matkowski" ,2 ,1 ,6 ,6 ,1 , , ,7 ,2 ,8 , ,
"Brisbane International - Brisbane" ,2010-01-07 ,"Lukas Dlouhy/Leander Paes" ,"Ashley Fisher/Stephen Huss" ,1 ,0 ,w , , , , , , , , ,
"Brisbane International - Brisbane" ,2010-01-07 ,"Jeremy Chardy/Marc Gicquel" ,"Tomas Berdych/Radek Stepanek" ,2 ,0 ,7 ,6 , , , ,5 ,4 , , ,
"Brisbane International - Brisbane" ,2010-01-07 ,"Jurgen Melzer/Philipp Petzschner" ,"Michael Llodra/Andy Ram" ,2 ,1 ,5 ,6 ,1 , , ,7 ,2 ,8 , ,
"Chennai Open - Chennai" ,2010-01-07 ,"Mahesh Bhupathi/Rohan Bopanna" ,"James Cerretani/Travis Rettenmaier" ,2 ,0 ,6 ,7 , , , ,3 ,6 , , ,
"Chennai Open - Chennai" ,2010-01-07 ,"Marcel Granollers/Santiago Ventura" ,"Yuki Bhambri/Carlos Moya" ,2 ,0 ,7 ,6 , , , ,5 ,1 , , ,
"Chennai Open - Chennai" ,2010-01-07 ,"Yen Hsun Lu/Janko Tipsarevic" ,"Michael Berrer/Simon Greul" ,2 ,0 ,6 ,7 , , , ,2 ,5 , , ,
"Chennai Open - Chennai" ,2010-01-07 ,"Somdev Devvarman/Sanam Singh" ,"Jeff Coetzee/Rogier Wassen" ,2 ,0 ,6 ,6 , , , ,2 ,3 , , ,
"Qatar Exxon Mobil Open - Doha" ,2010-01-07 ,"Guillermo Garcia Lopez/Albert Montanes" ,"Christopher Kas/Dick Norman" ,2 ,1 ,6 ,6 ,1 , , ,7 ,3 ,1 , ,
"Qatar Exxon Mobil Open - Doha" ,2010-01-07 ,"Frantisek Cermak/Michal Mertinak" ,"Evgeny Korolev/Sergiy Stakhovsky" ,2 ,1 ,3 ,6 ,1 , , ,6 ,1 ,5 , ,
"Brisbane International - Brisbane" ,2010-01-08 ,"Lukas Dlouhy/Leander Paes" ,"Jurgen Melzer/Philipp Petzschner" ,2 ,1 ,6 ,0 ,1 , , ,4 ,6 ,7 , ,
"Chennai Open - Chennai" ,2010-01-08 ,"Colin Fleming/Ken Skupski" ,"Mahesh Bhupathi/Rohan Bopanna" ,2 ,1 ,4 ,6 ,1 , , ,6 ,3 ,2 , ,
"Chennai Open - Chennai" ,2010-01-08 ,"Yen Hsun Lu/Janko Tipsarevic" ,"Yves Allegro/Stan Wawrinka" ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
"Qatar Exxon Mobil Open - Doha" ,2010-01-08 ,"Guillermo Garcia Lopez/Albert Montanes" ,"Frantisek Cermak/Michal Mertinak" ,2 ,0 ,6 ,7 , , , ,4 ,5 , , ,
"Brisbane International - Brisbane" ,2010-01-09 ,"Jeremy Chardy/Marc Gicquel" ,"James Blake/Andy Roddick" ,2 ,1 ,6 ,3 ,1 , , ,4 ,6 ,1 , ,
"Chennai Open - Chennai" ,2010-01-09 ,"Marcel Granollers/Santiago Ventura" ,"Colin Fleming/Ken Skupski" ,2 ,1 ,3 ,6 ,1 , , ,6 ,3 ,8 , ,
"Chennai Open - Chennai" ,2010-01-09 ,"Yen Hsun Lu/Janko Tipsarevic" ,"Somdev Devvarman/Sanam Singh" ,2 ,1 ,6 ,4 ,1 , , ,3 ,6 ,5 , ,
"Brisbane International - Brisbane" ,2010-01-10 ,"Jeremy Chardy/Marc Gicquel" ,"Lukas Dlouhy/Leander Paes" ,2 ,0 ,6 ,7 , , , ,3 ,6 , , ,
"Chennai Open - Chennai" ,2010-01-10 ,"Marcel Granollers/Santiago Ventura" ,"Yen Hsun Lu/Janko Tipsarevic" ,2 ,0 ,7 ,6 , , , ,5 ,2 , , ,
"Heineken Open - Auckland" ,2010-01-11 ,"Johan Brunstrom/Jean Julien Rojer" ,"Nicolas Almagro/David Ferrer" ,2 ,1 ,4 ,6 ,1 , , ,6 ,3 ,5 , ,
"Heineken Open - Auckland" ,2010-01-11 ,"Marcus Daniell/Horia Tecau" ,"Jose Statham/Mikal Statham" ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,
"Medibank International - Sydney" ,2010-01-11 ,"Ross Hutchins/Jordan Kerr" ,"Eric Butorac/Rajeev Ram" ,2 ,1 ,6 ,2 ,1 , , ,3 ,6 ,6 , ,
"Medibank International - Sydney" ,2010-01-11 ,"Simon Aspelin/Paul Hanley" ,"Peter Luczak/Jarkko Nieminen" ,2 ,1 ,7 ,4 ,1 , , ,6 ,6 ,8 , ,
"Medibank International - Sydney" ,2010-01-11 ,"Carsten Ball/Stephen Huss" ,"Mardy Fish/Mark Knowles" ,1 ,0 ,0 , , , , ,1 , , , ,
"Heineken Open - Auckland" ,2010-01-12 ,"Marcel Granollers/Tommy Robredo" ,"Martin Damm/Filip Polasek" ,2 ,1 ,2 ,6 ,1 , , ,6 ,1 ,3 , ,
"Heineken Open - Auckland" ,2010-01-12 ,"Lukas Dlouhy/Leander Paes" ,"Jaroslav Levinsky/Travis Parrott" ,2 ,0 ,7 ,6 , , , ,5 ,4 , , ,
"Heineken Open - Auckland" ,2010-01-12 ,"Marcelo Melo/Bruno Soares" ,"Jurgen Melzer/Philipp Petzschner" ,2 ,0 ,6 ,6 , , , ,2 ,3 , , ,
"Heineken Open - Auckland" ,2010-01-12 ,"Lucas Arnold Ker/Juan Monaco" ,"Guillermo Garcia Lopez/Albert Montanes" ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
"Heineken Open - Auckland" ,2010-01-12 ,"Rogier Wassen/Horacio Zeballos" ,"Bob Bryan/Mike Bryan" ,2 ,1 ,4 ,6 ,1 , , ,6 ,4 ,6 , ,
"Heineken Open - Auckland" ,2010-01-12 ,"Thomaz Bellucci/Andre Sa" ,"Julian Knowle/Robert Lindstedt" ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
"Medibank International - Sydney" ,2010-01-12 ,"Lukasz Kubot/Oliver Marach" ,"Michael Llodra/Andy Ram" ,2 ,0 ,6 ,7 , , , ,4 ,6 , , ,
"Medibank International - Sydney" ,2010-01-12 ,"Daniel Nestor/Nenad Zimonjic" ,"Mariusz Fyrstenberg/Marcin Matkowski" ,2 ,0 ,6 ,6 , , , ,2 ,4 , , ,
"Medibank International - Sydney" ,2010-01-12 ,"Igor Andreev/Evgeny Korolev" ,"Julien Benneteau/Richard Gasquet" ,2 ,1 ,6 ,5 ,1 , , ,3 ,7 ,3 , ,
"Medibank International - Sydney" ,2010-01-12 ,"Christopher Kas/Dick Norman" ,"Pablo Cuevas/Andreas Seppi" ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
"Heineken Open - Auckland" ,2010-01-13 ,"Johan Brunstrom/Jean Julien Rojer" ,"Lukas Dlouhy/Leander Paes" ,2 ,0 ,6 ,6 , , , ,2 ,3 , , ,
"Heineken Open - Auckland" ,2010-01-13 ,"Marcelo Melo/Bruno Soares" ,"Rogier Wassen/Horacio Zeballos" ,2 ,0 ,6 ,7 , , , ,1 ,5 , , ,
"Heineken Open - Auckland" ,2010-01-13 ,"Thomaz Bellucci/Andre Sa" ,"Lucas Arnold Ker/Juan Monaco" ,2 ,0 ,7 ,6 , , , ,5 ,4 , , ,
"Medibank International - Sydney" ,2010-01-13 ,"Daniel Nestor/Nenad Zimonjic" ,"Christopher Kas/Dick Norman" ,2 ,1 ,6 ,4 ,1 , , ,2 ,6 ,5 , ,
