tournament,date,aName,bName,aSets,bSets,aS1,aS2,aS3,aS4,aS5,bS1,bS2,bS3,bS4,bS5,surface,level,federation
"Brisbane International - Brisbane 2019" ,2019-01-06 00:00:00 ,"Marcus Daniell/Wesley Koolhof" ,"Rajeev Ram/Joe Salisbury" ,2 ,0 ,6 ,7 , , , ,4 ,6 , , , ,HARD ,atp ,ATP
"Playford Challenger 2019" ,2019-01-06 00:00:00 ,"Max Purcell/Luke Saville" ,"Ariel Behar/Enrique Lopez Perez" ,2 ,0 ,6 ,7 , , , ,4 ,5 , , , ,HARD ,challeger ,ATP
"Sydney International - Sydney 2019" ,2019-01-06 00:00:00 ,"Ken Skupski/Neal Skupski" ,"Nikola Mektic/Alexander Peya" ,2 ,0 ,6 ,6 , , , ,3 ,4 , , , ,HARD ,atp ,ATP
"ASB Classic - Auckland 2019" ,2019-01-07 00:00:00 ,"Bob Bryan/Mike Bryan" ,"Jean Julien Rojer/Horia Tecau" ,2 ,1 ,3 ,7 ,1 , , ,6 ,6 ,9 , , ,HARD ,atp ,ATP
"ASB Classic - Auckland 2019" ,2019-01-07 00:00:00 ,"Austin Krajicek/Artem Sitak" ,"Ajeet Rai/George Stoupe" ,2 ,0 ,6 ,6 , , , ,3 ,2 , , , ,HARD ,atp ,ATP
"Canberra Challenger 2019" ,2019-01-07 00:00:00 ,"John Paul Fruttero/Marc Andrea Huesler" ,"Adam Taylor/Jason Taylor" ,2 ,0 ,6 ,6 , , , ,4 ,4 , , , ,HARD ,challeger ,ATP
"Canberra Challenger 2019" ,2019-01-07 00:00:00 ,"Andrew Harris/Zhe Li" ,"Harry Bourchier/Dayne Kelly" ,2 ,1 ,2 ,6 ,1 , , ,6 ,1 ,8 , , ,HARD ,challeger ,ATP
"Da Nang Challenger 2019" ,2019-01-07 00:00:00 ,"Toshihide Matsui/Kaito Uesugi" ,"Corentin Denolly/Alexandre Muller" ,2 ,1 ,6 ,6 ,1 , , ,7 ,4 ,8 , , ,HARD ,challeger ,ATP
"Da Nang Challenger 2019" ,2019-01-07 00:00:00 ,"Alafia Ayeni/Stefan Vujic" ,"Quoc Khanh Le/Nam Hoang Ly" ,2 ,1 ,3 ,7 ,1 , , ,6 ,5 ,1 , , ,HARD ,challeger ,ATP
"ASB Classic - Auckland 2019" ,2019-01-08 00:00:00 ,"Henri Kontinen/Frederik Nielsen" ,"Robin Haase/Matwe Middelkoop" ,2 ,1 ,3 ,6 ,1 , , ,6 ,4 ,8 , , ,HARD ,atp ,ATP
