tournament, date, aName, bName, aSets, bSets, aS1, aS2, aS3, aS4, aS5, bS1, bS2, bS3, bS4, bS5
"Chennai Open - Chennai" ,2005-01-03 ,"Mahesh Bhupathi/Jonas Bjorkman" ,"Christophe Rochus/Tom Vanhoudt" ,2 ,0 ,7 ,6 , , , ,6 ,3 , , ,
"Chennai Open - Chennai" ,2005-01-03 ,"Ashley Fisher/Tripp Phillips" ,"Mustafa Ghouse/Vishal Uppal" ,2 ,0 ,6 ,6 , , , ,1 ,2 , , ,
"Next Generation Hardcourts - Adelaide" ,2005-01-03 ,"Gaston Etlis/Martin Rodriguez" ,"Joachim Johansson/Todd Woodbridge" ,2 ,1 ,1 ,7 ,6 , , ,6 ,6 ,4 , ,
"Next Generation Hardcourts - Adelaide" ,2005-01-03 ,"Jordan Kerr/Jim Thomas" ,"Lleyton Hewitt/Roger Rasheed" ,2 ,1 ,7 ,6 ,6 , , ,6 ,7 ,2 , ,
"Next Generation Hardcourts - Adelaide" ,2005-01-03 ,"Simon Aspelin/Todd Perry" ,"Chris Haggard/Robbie Koenig" ,2 ,0 ,7 ,7 , , , ,6 ,6 , , ,
"Qatar Open - Doha" ,2005-01-03 ,"Gaston Gaudio/Feliciano Lopez" ,"Martin Damm/Jared Palmer" ,2 ,0 ,7 ,7 , , , ,6 ,5 , , ,
"Qatar Open - Doha" ,2005-01-03 ,"Andrei Pavel/Mikhail Youzhny" ,"Yves Allegro/Michael Kohlmann" ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,
"Qatar Open - Doha" ,2005-01-03 ,"Albert Costa/Rafael Nadal" ,"Sebastien Grosjean/Gael Monfils" ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
"Qatar Open - Doha" ,2005-01-03 ,"Alexander Waske/Rogier Wassen" ,"Thomas Johansson/Ivan Ljubicic" ,2 ,0 ,6 ,6 , , , ,3 ,1 , , ,
"Qatar Open - Doha" ,2005-01-03 ,"Nicolas Mahut/Fabrice Santoro" ,"Mohammad Ghareeb/Amir Ebrahim" ,2 ,0 ,6 ,6 , , , ,2 ,3 , , ,
"Chennai Open - Chennai" ,2005-01-04 ,"Leander Paes/Nenad Zimonjic" ,"Jean Francois Bachelot/Gregory Carraz" ,2 ,0 ,6 ,6 , , , ,4 ,2 , , ,
"Chennai Open - Chennai" ,2005-01-04 ,"Michal Tabara/Santiago Ventura" ,"Paul Henri Mathieu/Olivier Patience" ,2 ,1 ,7 ,4 ,6 , , ,6 ,6 ,2 , ,
"Chennai Open - Chennai" ,2005-01-04 ,"Kenneth Carlsen/Jan Michael Gambill" ,"Jonathan Erlich/Andy Ram" ,2 ,0 ,6 ,7 , , , ,4 ,6 , , ,
"Chennai Open - Chennai" ,2005-01-04 ,"Kevin Kim/Jiri Vanek" ,"Lars Burgsmuller/Ivo Heuberger" ,1 ,0 ,6 ,1 ,3 , , ,2 ,6 ,1 , ,
"Chennai Open - Chennai" ,2005-01-04 ,"Yen Hsun Lu/Rainer Schuettler" ,"Justin Gimelstob/Julian Knowle" ,2 ,0 ,6 ,7 , , , ,3 ,5 , , ,
"Next Generation Hardcourts - Adelaide" ,2005-01-04 ,"Xavier Malisse/Olivier Rochus" ,"Paul Baccanello/Nathan Healey" ,2 ,0 ,6 ,7 , , , ,3 ,6 , , ,
"Qatar Open - Doha" ,2005-01-04 ,"Frantisek Cermak/Leos Friedl" ,"Karol Beck/Hyung Taik Lee" ,2 ,0 ,6 ,6 , , , ,0 ,4 , , ,
"Qatar Open - Doha" ,2005-01-04 ,"Igor Andreev/Nikolay Davydenko" ,"Mariusz Fyrstenberg/Marcin Matkowski" ,2 ,0 ,6 ,7 , , , ,0 ,6 , , ,
"Qatar Open - Doha" ,2005-01-04 ,"Cyril Suk/Pavel Vizner" ,"Tomas Cibulec/Jeff Coetzee" ,2 ,0 ,6 ,7 , , , ,4 ,5 , , ,
"Chennai Open - Chennai" ,2005-01-05 ,"Mahesh Bhupathi/Jonas Bjorkman" ,"Michal Tabara/Santiago Ventura" ,2 ,1 ,3 ,6 ,6 , , ,6 ,4 ,4 , ,
"Chennai Open - Chennai" ,2005-01-05 ,"Kevin Kim/Jiri Vanek" ,"Kenneth Carlsen/Jan Michael Gambill" ,2 ,1 ,6 ,6 ,6 , , ,3 ,7 ,4 , ,
"Chennai Open - Chennai" ,2005-01-05 ,"Karsten Braasch/Robert Lindstedt" ,"Prakash Amritraj/Stephen Amritraj" ,2 ,1 ,6 ,5 ,6 , , ,2 ,7 ,4 , ,
"Next Generation Hardcourts - Adelaide" ,2005-01-05 ,"Wayne Arthurs/Paul Hanley" ,"Taylor Dent/Robby Ginepri" ,2 ,0 ,6 ,7 , , , ,4 ,6 , , ,
"Next Generation Hardcourts - Adelaide" ,2005-01-05 ,"Agustin Calleri/Juan Ignacio Chela" ,"Julien Benneteau/Cyril Saulnier" ,2 ,1 ,7 ,3 ,6 , , ,5 ,6 ,3 , ,
"Next Generation Hardcourts - Adelaide" ,2005-01-05 ,"Rick Leach/Brian MacPhie" ,"Tomas Berdych/Jurgen Melzer" ,2 ,1 ,6 ,1 ,7 , , ,4 ,6 ,6 , ,
"Next Generation Hardcourts - Adelaide" ,2005-01-05 ,"Simon Aspelin/Todd Perry" ,"Jordan Kerr/Jim Thomas" ,2 ,1 ,6 ,5 ,7 , , ,4 ,7 ,5 , ,
