tournament, date, aName, bName, aSets, bSets, aS1, aS2, aS3, aS4, aS5, bS1, bS2, bS3, bS4, bS5
"AAPT Championships - Adelaide" ,2004-01-07 ,"Arnaud Clement/Michael Llodra" ,"Robby Ginepri/Todd Perry" ,2 ,1 ,5 ,7 ,6 , , ,7 ,6 ,0 , ,
"Qatar Open - Doha" ,2004-01-07 ,"Mark Knowles/Daniel Nestor" ,"Jan Michael Gambill/Travis Parrott" ,2 ,0 ,6 ,6 , , , ,2 ,4 , , ,
"Qatar Open - Doha" ,2004-01-07 ,"Martin Damm/Cyril Suk" ,"Sargis Sargsian/Nenad Zimonjic" ,2 ,0 ,7 ,6 , , , ,5 ,2 , , ,
"Qatar Open - Doha" ,2004-01-07 ,"Nicolas Escude/Sebastien Grosjean" ,"Frantisek Cermak/Leos Friedl" ,2 ,1 ,4 ,6 ,6 , , ,6 ,2 ,3 , ,
"Qatar Open - Doha" ,2004-01-07 ,"Stefan Koubek/Andy Roddick" ,"Agustin Calleri/Gregory Carraz" ,2 ,0 ,7 ,7 , , , ,6 ,5 , , ,
"Tata Open - Chennai" ,2004-01-07 ,"Jonathan Erlich/Andy Ram" ,"Mahesh Bhupathi/Dmitry Tursunov" ,2 ,0 ,6 ,6 , , , ,3 ,1 , , ,
"Tata Open - Chennai" ,2004-01-07 ,"Mariusz Fyrstenberg/Marcin Matkowski" ,"Devin Bowen/Paul Goldstein" ,2 ,0 ,6 ,7 , , , ,1 ,6 , , ,
"Tata Open - Chennai" ,2004-01-07 ,"Alex Lopez Moron/Albert Portas" ,"Prakash Amritraj/Stephen Amritraj" ,2 ,1 ,6 ,6 ,6 , , ,4 ,7 ,3 , ,
"Tata Open - Chennai" ,2004-01-07 ,"Thierry Ascione/Jean Rene Lisnard" ,"Harel Levy/Tom Vanhoudt" ,2 ,1 ,7 ,0 ,6 , , ,6 ,6 ,3 , ,
"AAPT Championships - Adelaide" ,2004-01-08 ,"Bob Bryan/Mike Bryan" ,"Chris Guccione/Todd Reid" ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
"AAPT Championships - Adelaide" ,2004-01-08 ,"Robbie Koenig/Petr Pala" ,"Gaston Etlis/Martin Rodriguez" ,2 ,1 ,6 ,3 ,7 , , ,3 ,6 ,6 , ,
"AAPT Championships - Adelaide" ,2004-01-08 ,"Mark Merklein/Vince Spadea" ,"Joshua Eagle/Patrick Rafter" ,2 ,1 ,3 ,6 ,6 , , ,6 ,4 ,3 , ,
"AAPT Championships - Adelaide" ,2004-01-08 ,"Arnaud Clement/Michael Llodra" ,"Wayne Arthurs/Paul Hanley" ,1 ,0 ,w , , , , , , , , ,
"Qatar Open - Doha" ,2004-01-08 ,"Martin Damm/Cyril Suk" ,"Mark Knowles/Daniel Nestor" ,2 ,0 ,6 ,7 , , , ,1 ,5 , , ,
"Qatar Open - Doha" ,2004-01-08 ,"Stefan Koubek/Andy Roddick" ,"Nicolas Escude/Sebastien Grosjean" ,2 ,1 ,2 ,6 ,6 , , ,6 ,3 ,4 , ,
"Tata Open - Chennai" ,2004-01-08 ,"Jonathan Erlich/Andy Ram" ,"David Ferrer/Ruben Ramirez Hidalgo" ,2 ,0 ,6 ,6 , , , ,1 ,2 , , ,
"Tata Open - Chennai" ,2004-01-08 ,"Rafael Nadal/Tommy Robredo" ,"Thierry Ascione/Jean Rene Lisnard" ,2 ,1 ,6 ,5 ,6 , , ,1 ,7 ,2 , ,
"Tata Open - Chennai" ,2004-01-08 ,"Alex Lopez Moron/Albert Portas" ,"Petr Luxa/David Skoch" ,2 ,0 ,6 ,6 , , , ,2 ,1 , , ,
"AAPT Championships - Adelaide" ,2004-01-09 ,"Bob Bryan/Mike Bryan" ,"Jarkko Nieminen/Graydon Oliver" ,2 ,0 ,6 ,6 , , , ,4 ,1 , , ,
