tournament, date, aName, bName, aSets, bSets, aS1, aS2, aS3, aS4, aS5, bS1, bS2, bS3, bS4, bS5
"ATP Challenger 2003 Numea - New Caledonia" ,2004-01-01 ,"Guillermo Canas" ,"Luke Bourgeois" ,2 ,0 ,6 ,6 , , , ,3 ,1 , , ,
"ATP Challenger 2003 Numea - New Caledonia" ,2004-01-01 ,"Peter Wessels" ,"Chris Guccione" ,2 ,1 ,6 ,6 ,6 , , ,7 ,3 ,4 , ,
"ATP Challenger 2003 Numea - New Caledonia" ,2004-01-01 ,"Todd Reid" ,"Oliver Marach" ,2 ,1 ,6 ,3 ,7 , , ,1 ,6 ,5 , ,
"ATP Challenger 2003 Numea - New Caledonia" ,2004-01-01 ,"Philipp Kohlschreiber" ,"Joseph Sirianni" ,2 ,0 ,6 ,6 , , , ,2 ,3 , , ,
"ATP Challenger 2003 Numea - New Caledonia" ,2004-01-01 ,"Diego Veronelli" ,"Jerome Golmard" ,2 ,0 ,6 ,6 , , , ,2 ,3 , , ,
"ATP Challenger 2003 Numea - New Caledonia" ,2004-01-01 ,"Fred Hemmes" ,"Petr Kralert" ,2 ,1 ,6 ,5 ,7 , , ,0 ,7 ,5 , ,
"ATP Challenger 2003 Numea - New Caledonia" ,2004-01-01 ,"Florent Serra" ,"Ashley Fisher" ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
"ATP Challenger 2003 Numea - New Caledonia" ,2004-01-01 ,"Florian Mayer" ,"Yen Hsun Lu" ,2 ,0 ,6 ,6 , , , ,4 ,2 , , ,
"ATP Challenger 2003 Numea - New Caledonia" ,2004-01-02 ,"Guillermo Canas" ,"Peter Wessels" ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,
"ATP Challenger 2003 Numea - New Caledonia" ,2004-01-02 ,"Todd Reid" ,"Fred Hemmes" ,2 ,1 ,6 ,6 ,6 , , ,2 ,7 ,4 , ,
"ATP Challenger 2003 Numea - New Caledonia" ,2004-01-02 ,"Florent Serra" ,"Philipp Kohlschreiber" ,2 ,0 ,7 ,6 , , , ,5 ,3 , , ,
"ATP Challenger 2003 Numea - New Caledonia" ,2004-01-02 ,"Florian Mayer" ,"Diego Veronelli" ,2 ,0 ,6 ,7 , , , ,3 ,5 , , ,
"ATP Challenger 2003 Numea - New Caledonia" ,2004-01-03 ,"Guillermo Canas" ,"Florian Mayer" ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
