tournament, date, aName, bName, aSets, bSets, aS1, aS2, aS3, aS4, aS5, bS1, bS2, bS3, bS4, bS5
"Brisbane International - Brisbane" ,2018-01-04 ,"Latisha Chan/Andrea Hlavackova" ,"Nadiya Kichenok/Anastasia Rodionova" ,2 ,0 ,7 ,7 , , , ,6 ,6 , , ,
"ASB Classic - Auckland" ,2018-01-05 ,"Eri Hozumi/Miyu Kato" ,"Madison Brengle/Nicole Melichar" ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
"ASB Classic - Auckland" ,2018-01-05 ,"Madison Brengle/Nicole Melichar" ,"Arantxa Rus/Silvia Soler Espinosa" ,2 ,0 ,7 ,6 , , , ,5 ,3 , , ,
"ASB Classic - Auckland" ,2018-01-05 ,"Sara Errani/Bibiane Schoofs" ,"Nao Hibino/Darija Jurak" ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
"ASB Classic - Auckland" ,2018-01-05 ,"Nao Hibino/Darija Jurak" ,"Magdalena Frech/Prarthana Thombare" ,2 ,1 ,4 ,7 ,1 , , ,6 ,6 ,3 , ,
"Brisbane International - Brisbane" ,2018-01-05 ,"Kiki Bertens/Demi Schuurs" ,"Ashleigh Barty/Casey Dellacqua" ,2 ,1 ,6 ,6 ,1 , , ,7 ,3 ,8 , ,
"Brisbane International - Brisbane" ,2018-01-05 ,"Andreja Klepac/Maria Jose Martinez Sanchez" ,"Latisha Chan/Andrea Hlavackova" ,2 ,1 ,7 ,3 ,1 , , ,6 ,6 ,9 , ,
"Shenzhen Open - Shenzhen" ,2018-01-05 ,"Irina Camelia Begu/Simona Halep" ,"Anna Blinkova/Nicola Geuer" ,2 ,1 ,6 ,6 ,1 , , ,2 ,7 ,6 , ,
"Shenzhen Open - Shenzhen" ,2018-01-05 ,"Barbora Krejcikova/Katerina Siniakova" ,"Lesley Kerkhove/Lidziya Marozava" ,2 ,1 ,7 ,3 ,1 , , ,5 ,6 ,4 , ,
"Brisbane International - Brisbane" ,2018-01-06 ,"Kiki Bertens/Demi Schuurs" ,"Andreja Klepac/Maria Jose Martinez Sanchez" ,2 ,0 ,7 ,6 , , , ,5 ,2 , , ,
"Shenzhen Open - Shenzhen" ,2018-01-06 ,"Irina Camelia Begu/Simona Halep" ,"Barbora Krejcikova/Katerina Siniakova" ,2 ,1 ,1 ,6 ,1 , , ,6 ,1 ,8 , ,
"ASB Classic - Auckland" ,2018-01-07 ,"Sara Errani/Bibiane Schoofs" ,"Eri Hozumi/Miyu Kato" ,2 ,0 ,7 ,6 , , , ,5 ,1 , , ,
"Sydney International - Sydney" ,2018-01-07 ,"Lucie Safarova/Barbora Strycova" ,"Alicja Rosolska/Abigail Spears" ,2 ,1 ,4 ,6 ,1 , , ,6 ,0 ,8 , ,
"Sydney International - Sydney" ,2018-01-07 ,"Gabriela Dabrowski/Yifan Xu" ,"Monique Adamczak/Storm Sanders" ,2 ,0 ,7 ,7 , , , ,6 ,5 , , ,
"Hobart International - Hobart" ,2018-01-08 ,"Raluca Olaru/Olga Savchuk" ,"Mihaela Buzarnescu/Maria Irigoyen" ,2 ,1 ,6 ,2 ,1 , , ,4 ,6 ,5 , ,
"Hobart International - Hobart" ,2018-01-08 ,"Alison Bai/Lizette Cabrera" ,"Michaella Krajicek/Alla Kudryavtseva" ,2 ,1 ,6 ,6 ,1 , , ,7 ,2 ,9 , ,
"Hobart International - Hobart" ,2018-01-08 ,"Lyudmyla Kichenok/Makoto Ninomiya" ,"Kaitlyn Christian/Prarthana Thombare" ,2 ,0 ,6 ,7 , , , ,2 ,5 , , ,
"Sydney International - Sydney" ,2018-01-08 ,"Latisha Chan/Andrea Hlavackova" ,"Arantxa Parra Santonja/Renata Voracova" ,2 ,1 ,6 ,4 ,1 , , ,2 ,6 ,3 , ,
"Sydney International - Sydney" ,2018-01-08 ,"Kateryna Bondarenko/Casey Dellacqua" ,"Jelena Ostapenko/Sloane Stephens" ,2 ,1 ,1 ,6 ,1 , , ,6 ,4 ,8 , ,
"Hobart International - Hobart" ,2018-01-09 ,"Anna Lena Friedsam/Alison Van Uytvanck" ,"Mariana Duque Marino/Oksana Kalashnikova" ,2 ,0 ,6 ,6 , , , ,3 ,0 , , ,
"Hobart International - Hobart" ,2018-01-09 ,"Elise Mertens/Demi Schuurs" ,"Mona Barthel/Magda Linette" ,2 ,0 ,6 ,6 , , , ,2 ,4 , , ,
"Hobart International - Hobart" ,2018-01-09 ,"Veronika Kudermetova/Aryna Sabalenka" ,"Natela Dzalamidze/Xenia Knoll" ,2 ,1 ,6 ,5 ,1 , , ,1 ,7 ,6 , ,
"Hobart International - Hobart" ,2018-01-09 ,"Nao Hibino/Darija Jurak" ,"Lidziya Marozava/Nina Stojanovic" ,2 ,0 ,6 ,6 , , , ,3 ,1 , , ,
"Hobart International - Hobart" ,2018-01-09 ,"Kirsten Flipkens/Nicole Melichar" ,"Jaimee Fourlis/Jessica Moore" ,2 ,0 ,6 ,7 , , , ,3 ,6 , , ,
"Sydney International - Sydney" ,2018-01-09 ,"Kiki Bertens/Johanna Larsson" ,"Hao Ching Chan/Katarina Srebotnik" ,2 ,0 ,6 ,7 , , , ,4 ,5 , , ,
"Sydney International - Sydney" ,2018-01-09 ,"Andreja Klepac/Maria Jose Martinez Sanchez" ,"Anna Lena Groenefeld/Vania King" ,2 ,0 ,6 ,6 , , , ,1 ,1 , , ,
"Sydney International - Sydney" ,2018-01-09 ,"Shuko Aoyama/Zhaoxuan Yang" ,"Su Wei Hsieh/Shuai Peng" ,2 ,0 ,6 ,6 , , , ,4 ,2 , , ,
"Sydney International - Sydney" ,2018-01-09 ,"Lara Arruabarrena/Lauren Davis" ,"Nadiya Kichenok/Anastasia Rodionova" ,2 ,0 ,6 ,7 , , , ,3 ,5 , , ,
"Hobart International - Hobart" ,2018-01-10 ,"Elise Mertens/Demi Schuurs" ,"Anna Lena Friedsam/Alison Van Uytvanck" ,2 ,1 ,6 ,6 ,1 , , ,7 ,2 ,8 , ,
"Hobart International - Hobart" ,2018-01-10 ,"Alison Bai/Lizette Cabrera" ,"Kirsten Flipkens/Nicole Melichar" ,1 ,0 ,w , , , , , , , , ,
"Hobart International - Hobart" ,2018-01-10 ,"Lyudmyla Kichenok/Makoto Ninomiya" ,"Nao Hibino/Darija Jurak" ,2 ,0 ,6 ,6 , , , ,1 ,4 , , ,
"Sydney International - Sydney" ,2018-01-10 ,"Lucie Safarova/Barbora Strycova" ,"Kateryna Bondarenko/Casey Dellacqua" ,2 ,1 ,6 ,3 ,1 , , ,4 ,6 ,7 , ,
"Sydney International - Sydney" ,2018-01-10 ,"Gabriela Dabrowski/Yifan Xu" ,"Shuko Aoyama/Zhaoxuan Yang" ,2 ,0 ,6 ,7 , , , ,4 ,5 , , ,
"Sydney International - Sydney" ,2018-01-10 ,"Latisha Chan/Andrea Hlavackova" ,"Andreja Klepac/Maria Jose Martinez Sanchez" ,2 ,1 ,7 ,1 ,1 , , ,6 ,6 ,6 , ,
"Sydney International - Sydney" ,2018-01-10 ,"Lara Arruabarrena/Lauren Davis" ,"Kiki Bertens/Johanna Larsson" ,2 ,1 ,7 ,2 ,1 , , ,6 ,6 ,7 , ,
"Hobart International - Hobart" ,2018-01-11 ,"Veronika Kudermetova/Aryna Sabalenka" ,"Raluca Olaru/Olga Savchuk" ,2 ,0 ,6 ,7 , , , ,1 ,5 , , ,
"Sydney International - Sydney" ,2018-01-11 ,"Gabriela Dabrowski/Yifan Xu" ,"Lucie Safarova/Barbora Strycova" ,1 ,0 ,w , , , , , , , , ,
"Sydney International - Sydney" ,2018-01-11 ,"Latisha Chan/Andrea Hlavackova" ,"Lara Arruabarrena/Lauren Davis" ,2 ,0 ,6 ,6 , , , ,2 ,4 , , ,
"Hobart International - Hobart" ,2018-01-12 ,"Elise Mertens/Demi Schuurs" ,"Veronika Kudermetova/Aryna Sabalenka" ,2 ,1 ,6 ,5 ,1 , , ,0 ,7 ,7 , ,
"Hobart International - Hobart" ,2018-01-12 ,"Lyudmyla Kichenok/Makoto Ninomiya" ,"Alison Bai/Lizette Cabrera" ,2 ,1 ,3 ,6 ,1 , , ,6 ,3 ,4 , ,
"Sydney International - Sydney" ,2018-01-12 ,"Gabriela Dabrowski/Yifan Xu" ,"Latisha Chan/Andrea Hlavackova" ,2 ,0 ,6 ,6 , , , ,3 ,1 , , ,
"Hobart International - Hobart" ,2018-01-13 ,"Elise Mertens/Demi Schuurs" ,"Lyudmyla Kichenok/Makoto Ninomiya" ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
"Australian Open - Melbourne" ,2018-01-17 ,"Su Wei Hsieh/Shuai Peng" ,"Mihaela Buzarnescu/Maria Irigoyen" ,2 ,0 ,6 ,7 , , , ,3 ,5 , , ,
"Australian Open - Melbourne" ,2018-01-17 ,"Ekaterina Makarova/Elena Vesnina" ,"Eugenie Bouchard/Sloane Stephens" ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
"Australian Open - Melbourne" ,2018-01-17 ,"Raluca Olaru/Olga Savchuk" ,"Kateryna Kozlova/Yulia Putintseva" ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
"Australian Open - Melbourne" ,2018-01-17 ,"Irina Camelia Begu/Monica Niculescu" ,"Mirjana Lucic Baroni/Andrea Petkovic" ,2 ,1 ,6 ,6 ,6 , , ,7 ,3 ,2 , ,
"Australian Open - Melbourne" ,2018-01-17 ,"Hao Ching Chan/Katarina Srebotnik" ,"Laura Robson/Coco Vandeweghe" ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,
"Australian Open - Melbourne" ,2018-01-17 ,"Jessica Moore/Ellen Perez" ,"Nao Hibino/Darija Jurak" ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
"Australian Open - Melbourne" ,2018-01-17 ,"Lucie Safarova/Barbora Strycova" ,"Naomi Broady/Anna Smith" ,2 ,0 ,6 ,6 , , , ,2 ,1 , , ,
"Australian Open - Melbourne" ,2018-01-17 ,"Raquel Atawo/Anna Lena Groenefeld" ,"Astra Sharma/Belinda Woolcock" ,2 ,0 ,7 ,6 , , , ,6 ,3 , , ,
"Australian Open - Melbourne" ,2018-01-17 ,"Lesley Kerkhove/Lidziya Marozava" ,"Lyudmyla Kichenok/Makoto Ninomiya" ,2 ,0 ,7 ,6 , , , ,6 ,2 , , ,
"Australian Open - Melbourne" ,2018-01-17 ,"Kateryna Bondarenko/Aleksandra Krunic" ,"Arina Rodionova/Natalia Vikhlyantseva" ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
"Australian Open - Melbourne" ,2018-01-17 ,"Viktorija Golubic/Nina Stojanovic" ,"Andreja Klepac/Maria Jose Martinez Sanchez" ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
"Australian Open - Melbourne" ,2018-01-17 ,"Michaella Krajicek/Alla Kudryavtseva" ,"Tatjana Maria/Pauline Parmentier" ,2 ,1 ,6 ,1 ,6 , , ,4 ,6 ,3 , ,
"Australian Open - Melbourne" ,2018-01-17 ,"Latisha Chan/Andrea Hlavackova" ,"Xinyun Han/Chen Liang" ,2 ,0 ,6 ,6 , , , ,3 ,0 , , ,
"Australian Open - Melbourne" ,2018-01-17 ,"Oksana Kalashnikova/Varvara Lepchenko" ,"Qiang Wang/Yafan Wang" ,2 ,0 ,6 ,6 , , , ,4 ,2 , , ,
"Australian Open - Melbourne" ,2018-01-17 ,"Sorana Cirstea/Beatriz Haddad Maia" ,"Veronika Kudermetova/Aryna Sabalenka" ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
"Australian Open - Melbourne" ,2018-01-17 ,"Kristyna Pliskova/Donna Vekic" ,"Anna Lena Friedsam/Alison Van Uytvanck" ,1 ,0 ,5 , , , , ,0 , , , ,
"Australian Open - Melbourne" ,2018-01-17 ,"Ekaterina Alexandrova/Anastasija Sevastova" ,"Catherine Cartan Bellis/Marketa Vondrousova" ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,
"Australian Open - Melbourne" ,2018-01-18 ,"Timea Babos/Kristina Mladenovic" ,"Natela Dzalamidze/Xenia Knoll" ,2 ,0 ,7 ,6 , , , ,5 ,3 , , ,
"Australian Open - Melbourne" ,2018-01-18 ,"Eri Hozumi/Miyu Kato" ,"Monique Adamczak/Storm Sanders" ,2 ,0 ,6 ,7 , , , ,3 ,5 , , ,
"Australian Open - Melbourne" ,2018-01-18 ,"Barbora Krejcikova/Katerina Siniakova" ,"Priscilla Hon/Ajla Tomljanovic" ,2 ,0 ,7 ,6 , , , ,5 ,3 , , ,
"Australian Open - Melbourne" ,2018-01-18 ,"Shuko Aoyama/Zhaoxuan Yang" ,"Taylor Townsend/Renata Voracova" ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
"Australian Open - Melbourne" ,2018-01-18 ,"Gabriela Dabrowski/Yifan Xu" ,"Kirsten Flipkens/Francesca Schiavone" ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,
"Australian Open - Melbourne" ,2018-01-18 ,"Lara Arruabarrena/Arantxa Parra Santonja" ,"Jelena Ostapenko/Anastasia Pavlyuchenkova" ,2 ,1 ,6 ,4 ,6 , , ,0 ,6 ,0 , ,
"Australian Open - Melbourne" ,2018-01-18 ,"Mona Barthel/Carina Witthoeft" ,"Xinyu Jiang/Qianhui Tang" ,2 ,0 ,7 ,7 , , , ,6 ,5 , , ,
"Australian Open - Melbourne" ,2018-01-18 ,"Nadiya Kichenok/Anastasia Rodionova" ,"Kiki Bertens/Johanna Larsson" ,2 ,1 ,4 ,7 ,6 , , ,6 ,6 ,1 , ,
"Australian Open - Melbourne" ,2018-01-18 ,"Alicja Rosolska/Abigail Spears" ,"Alize Cornet/Heather Watson" ,2 ,1 ,6 ,5 ,6 , , ,2 ,7 ,4 , ,
"Australian Open - Melbourne" ,2018-01-18 ,"Dalila Jakupovic/Irina Khromacheva" ,"Lauren Davis/Alison Riske" ,2 ,0 ,6 ,6 , , , ,4 ,2 , , ,
"Australian Open - Melbourne" ,2018-01-18 ,"Nicole Melichar/Kveta Peschke" ,"Kimberly Birrell/Jaimee Fourlis" ,2 ,1 ,6 ,6 ,6 , , ,4 ,7 ,1 , ,
"Australian Open - Melbourne" ,2018-01-18 ,"Madison Brengle/Monica Puig" ,"Alison Bai/Zoe Hives" ,2 ,1 ,6 ,1 ,6 , , ,4 ,6 ,4 , ,
"Australian Open - Melbourne" ,2018-01-18 ,"Jennifer Brady/Vania King" ,"Daria Gavrilova/Darya Kasatkina" ,2 ,0 ,6 ,6 , , , ,4 ,1 , , ,
"Australian Open - Melbourne" ,2018-01-18 ,"Zarina Diyas/Magda Linette" ,"Naiktha Bains/Isabelle Wallace" ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,
"Australian Open - Melbourne" ,2018-01-19 ,"Su Wei Hsieh/Shuai Peng" ,"Lesley Kerkhove/Lidziya Marozava" ,2 ,0 ,6 ,6 , , , ,4 ,1 , , ,
"Australian Open - Melbourne" ,2018-01-19 ,"Ekaterina Makarova/Elena Vesnina" ,"Dalila Jakupovic/Irina Khromacheva" ,2 ,0 ,6 ,6 , , , ,2 ,3 , , ,
"Australian Open - Melbourne" ,2018-01-19 ,"Ashleigh Barty/Casey Dellacqua" ,"Elise Mertens/Demi Schuurs" ,2 ,0 ,6 ,7 , , , ,3 ,5 , , ,
"Australian Open - Melbourne" ,2018-01-19 ,"Irina Camelia Begu/Monica Niculescu" ,"Jessica Moore/Ellen Perez" ,2 ,1 ,3 ,6 ,7 , , ,6 ,3 ,5 , ,
