Ranking,Player,Points
231,Tallon Griekspoor,215
232,Guilherme Clezar,214
233,Jay Clarke,213
234,James Duckworth,206
235,Soonwoo Kwon,206
236,Dudi Sela,205
237,Alejandro Davidovich Fokina,203
238,Gleb Sakharov,202
239,Jo-Wilfried Tsonga,200
240,Andy Murray,200
241,Christian Harrison,200
242,Thiemo de Bakker,199
243,Filip Peliwo,198
244,Gerald Melzer,192
245,Nicola Kuhn,190
246,Evgeny Karlovskiy,190
247,Norbert Gombos,189
248,Donald Young,183
249,Cem Ilkel,183
250,Uladzimir Ignatik,183
251,Roberto Cid Subervi,181
252,Attila Balazs,180
253,Santiago Giraldo,178
254,JC Aragone,171
255,Mikael Ymer,170
256,Florian Mayer,168
257,Dennis Novikov,168
258,Daniel Masur,168
259,Saketh Myneni,166
260,Alexandr Dolgopolov,165
261,Benjamin Bonzi,162
262,Kevin King,159
263,Gastao Elias,159
264,Nino Serdarusic,158
265,Mathias Bourgue,158
266,Bernabe Zapata Miralles,153
267,Jose Hernandez-Fernandez,152
268,Pedro Cachin,152
269,Johan Tatlot,151
270,Gianluca Mager,151
271,Mario Vilella Martinez,148
272,Ricardo Ojeda Lara,146
273,Liam Broady,144
274,Yunseong Chung,143
275,Elliot Benchetrit,142
276,Danilo Petrovic,140
277,Zhe Li,140
278,Victor Estrella Burgos,138
279,Federico Coria,138
280,Max Purcell,138
281,Goncalo Oliveira,138
282,Kaichi Uchida,137
283,Carlos Taberner,135
284,Enzo Couacaud,135
285,Lucas Miedler,135
286,Evan King,134
287,Laurynas Grigelis,134
288,Jurgen Melzer,133
289,Akira Santillan,133
290,Roberto Marcora,131
291,Matteo Viola,130
292,Jan Choinski,128
293,Vaclav Safranek,127
294,Scott Griekspoor,127
295,Sasi Kumar Mukund,126
296,Thai-Son Kwiatkowski,126
297,Maverick Banes,125
298,Tsung-Hua Yang,124
299,Ante Pavic,119
300,Andrea Collarini,118
301,Alexander Sarkissian,117
302,Tomislav Brkic,117
303,Joris De Loore,115
304,Aldin Setkic,115
305,Martin Cuevas,106
306,Yibing Wu,105
307,Di Wu,104
308,Marcos Giron,103
309,Tristan Lamasine,102
310,Collin Altamirano,101
311,Mate Valkusz,98
312,Alejandro Gonzalez,98
313,Ulises Blanch,95
314,Jelle Sels,95
315,Carlos Gomez-Herrera,93
316,Stefan Kozlov,93
317,Tim Puetz,90
318,Frank Dancevic,86
319,Roberto Ortega-Olmedo,86
320,Evan Song,85
321,Vincent Millot,85
322,Dragos Dima,84
323,Sebastian Fanselow,81
324,Frederico Ferreira Silva,80
325,Maximilian Neuchrist,79
326,Yusuke Takahashi,78
327,Bradley Mousley,77
328,Roy Smith,76
329,Dimitar Kuzmanov,76
330,Mikael Torpegaard,71
331,Renzo Olivo,71
332,Roman Safiullin,71
333,Tak Khunn Wang,70
334,Andrea Pellegrino,70
335,Borna Gojo,69
336,David Guez,69
337,Renta Tokuda,68
338,Zsombor Piros,67
339,Miljan Zekic,67
340,Sumit Nagal,67
341,Hugo Grenier,66
342,Alexandre Muller,64
343,Andrew Harris,63
344,Pavel Kotov,62
345,Marcelo Tomas Barrios Vera,62
346,Dayne Kelly,62
347,Alex Molcan,60
348,Aleksandar Vukic,60
349,Sergey Betov,60
350,Juan Pablo Varillas,60
351,Dmitry Popko,59
352,Blake Ellis,59
353,Carlos Boluda-Purkiss,59
354,Zihao Xia,58
355,Antoine Escoffier,58
356,Jared Hiltzik,58
357,Franko Skugor,57
358,Makoto Ochi,57
359,Denis Yevseyev,57
360,Zhizhen Zhang,56
361,Ryan Shane,54
362,Luke Saville,54
363,Gonzalo Escobar,53
364,Jeffrey John Wolf,53
365,Tung-Lin Wu,53
366,Ji Sung Nam,51
367,Andrea Basso,51
368,Teymuraz Gabashvili,50
369,Emilio Gomez,49
370,Daniel Altmaier,48
371,Marc-Andrea Huesler,48
372,Jan Satral,48
373,Rubin Statham,48
374,Andrew Whittington,47
375,Benjamin Hassan,47
376,Harri Heliovaara,46
377,Pedro Sakamoto,45
378,Petros Chrysochos,44
379,Jeremy Jahn,43
