tournament,date,date_real,aName,bName,aSets,bSets,aS1,aS2,aS3,aS4,aS5,bS1,bS2,bS3,bS4,bS5,surface,level,federation
Australian Open (juniors) 2019 ,19/01/2019 00:00,2019-01-19 00:00:00,Seon Yong Han ,Francesco Passaro ,2,1,3,6,7, , ,6,3,5, , ,HARD ,grandSlam ,GS
Australian Open (juniors) 2019 ,19/01/2019 00:00,2019-01-19 00:00:00,Peter Makk ,Mann Shah ,2,1,4,6,6, , ,6,0,2, , ,HARD ,grandSlam ,GS
Australian Open (juniors) 2019 ,19/01/2019 00:00,2019-01-19 00:00:00,Otto Virtanen ,Stefan Storch ,2,1,6,6,7, , ,1,7,6, , ,HARD ,grandSlam ,GS
Australian Open (juniors) 2019 ,19/01/2019 00:00,2019-01-19 00:00:00,Filip Cristian Jianu ,Matteo Arnaldi ,2,0,6,6, , , ,3,4, , , ,HARD ,grandSlam ,GS
Australian Open (juniors) 2019 ,19/01/2019 00:00,2019-01-19 00:00:00,Giulio Zeppieri ,Tyler Zink ,2,0,6,6, , , ,4,2, , , ,HARD ,grandSlam ,GS
Australian Open (juniors) 2019 ,19/01/2019 00:00,2019-01-19 00:00:00,Connor Thomson ,Chen Dong ,2,0,6,6, , , ,3,4, , , ,HARD ,grandSlam ,GS
Australian Open (juniors) 2019 ,19/01/2019 00:00,2019-01-19 00:00:00,Harold Mayot ,Admir Kalender ,2,1,6,4,6, , ,3,6,4, , ,HARD ,grandSlam ,GS
Australian Open (juniors) 2019 ,19/01/2019 00:00,2019-01-19 00:00:00,Valentin Royer ,Eric Vanshelboim ,2,0,6,6, , , ,2,1, , , ,HARD ,grandSlam ,GS
Australian Open (juniors) 2019 ,19/01/2019 00:00,2019-01-19 00:00:00,Cannon Kingsley ,Tom Evans ,2,0,6,6, , , ,1,4, , , ,HARD ,grandSlam ,GS
Australian Open (juniors) 2019 ,19/01/2019 00:00,2019-01-19 00:00:00,Wojciech Marek ,Joubert Klopper ,2,0,6,6, , , ,1,4, , , ,HARD ,grandSlam ,GS
Australian Open (juniors) 2019 ,19/01/2019 00:00,2019-01-19 00:00:00,Dalibor Svrcina ,Natan Rodrigues ,2,0,6,7, , , ,0,6, , , ,HARD ,grandSlam ,GS
Australian Open (juniors) 2019 ,19/01/2019 00:00,2019-01-19 00:00:00,Gustaf Strom ,Ryoma Matsushita ,2,0,6,6, , , ,3,1, , , ,HARD ,grandSlam ,GS
Australian Open (juniors) 2019 ,19/01/2019 00:00,2019-01-19 00:00:00,Jonas Forejtek ,Dane Sweeny ,2,0,6,6, , , ,3,0, , , ,HARD ,grandSlam ,GS
Australian Open (juniors) 2019 ,19/01/2019 00:00,2019-01-19 00:00:00,Lodewijk Weststrate ,Cooper White ,2,0,6,6, , , ,2,2, , , ,HARD ,grandSlam ,GS
Australian Open (juniors) 2019 ,19/01/2019 00:00,2019-01-19 00:00:00,Eliot Spizzirri ,James Story ,2,0,6,6, , , ,2,2, , , ,HARD ,grandSlam ,GS
Australian Open (juniors) 2019 ,19/01/2019 00:00,2019-01-19 00:00:00,Toby Alex Kodat ,Ryuhei Azuma ,2,1,6,1,6, , ,4,6,1, , ,HARD ,grandSlam ,GS
Australian Open - Melbourne 2019 ,19/01/2019 00:00,2019-01-19 00:00:00,Novak Djokovic ,Denis Shapovalov ,3,1,6,6,4,6, ,3,4,6,0, ,HARD ,grandSlam ,GS
Australian Open - Melbourne 2019 ,19/01/2019 00:00,2019-01-19 00:00:00,Kei Nishikori ,Joao Sousa ,3,0,7,6,6, , ,6,1,2, , ,HARD ,grandSlam ,GS
Australian Open - Melbourne 2019 ,19/01/2019 00:00,2019-01-19 00:00:00,Milos Raonic ,Pierre Hugues Herbert ,3,0,6,6,7, , ,4,4,6, , ,HARD ,grandSlam ,GS
Australian Open - Melbourne 2019 ,19/01/2019 00:00,2019-01-19 00:00:00,Pablo Carreno Busta ,Fabio Fognini ,3,1,6,6,2,6, ,2,4,6,4, ,HARD ,grandSlam ,GS
Australian Open - Melbourne 2019 ,19/01/2019 00:00,2019-01-19 00:00:00,Lucas Pouille ,Alexei Popyrin ,3,2,7,6,6,4,6,6,3,7,6,3,HARD ,grandSlam ,GS
Australian Open - Melbourne 2019 ,19/01/2019 00:00,2019-01-19 00:00:00,Daniil Medvedev ,David Goffin ,3,0,6,7,6, , ,2,6,3, , ,HARD ,grandSlam ,GS
Australian Open - Melbourne 2019 ,19/01/2019 00:00,2019-01-19 00:00:00,Alexander Zverev ,Alex Bolt ,3,0,6,6,6, , ,3,3,2, , ,HARD ,grandSlam ,GS
Australian Open - Melbourne 2019 ,19/01/2019 00:00,2019-01-19 00:00:00,Borna Coric ,Filip Krajinovic ,3,1,2,6,6,6, ,6,3,4,3, ,HARD ,grandSlam ,GS
Koblenz Challenger 2019 ,19/01/2019 00:00,2019-01-19 00:00:00,Roberto Ortega Olmedo ,Pavel Kotov ,2,1,7,3,6, , ,5,6,3, , ,I. HARD ,challeger ,ATP
Koblenz Challenger 2019 ,19/01/2019 00:00,2019-01-19 00:00:00,Gianluca Mager ,Tallon Griekspoor ,2,1,6,2,6, , ,3,6,4, , ,I. HARD ,challeger ,ATP
M15 Anning 2019 ,19/01/2019 00:00,2019-01-19 00:00:00,Agustin Velotti ,Naoki Takeda ,2,1,3,6,6, , ,6,1,0, , ,CLAY ,futures ,ITF
M15 Anning 2019 ,19/01/2019 00:00,2019-01-19 00:00:00,Ray Ho ,Yan Bai ,2,0,6,6, , , ,0,0, , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,19/01/2019 00:00,2019-01-19 00:00:00,Riccardo Bellotti ,Alexander Shevchenko ,2,0,6,6, , , ,2,2, , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,19/01/2019 00:00,2019-01-19 00:00:00,Davide Galoppini ,Dejan Katic ,2,0,7,6, , , ,6,4, , , ,CLAY ,futures ,ITF
M15 Manacor 2019 ,19/01/2019 00:00,2019-01-19 00:00:00,Ivan Gakhov ,Markus Eriksson ,2,0,6,6, , , ,3,3, , , ,CLAY ,futures ,ITF
M15 Manacor 2019 ,19/01/2019 00:00,2019-01-19 00:00:00,Francisco Cerundolo ,Jeroen Vanneste ,2,1,6,1,6, , ,4,6,3, , ,CLAY ,futures ,ITF
M15 Monastir 2019 ,19/01/2019 00:00,2019-01-19 00:00:00,Skander Mansouri ,Adelchi Virgili ,2,0,6,6, , , ,4,4, , , ,HARD ,futures ,ITF
M15 Monastir 2019 ,19/01/2019 00:00,2019-01-19 00:00:00,Riccardo Balzerani ,Maxime Pauwels ,2,0,6,6, , , ,1,3, , , ,HARD ,futures ,ITF
M15 Naples 2019 ,19/01/2019 00:00,2019-01-19 00:00:00,Sekou Bangoura ,Pietro Rondoni ,2,0,7,6, , , ,6,1, , , ,CLAY ,futures ,ITF
M15 Naples 2019 ,19/01/2019 00:00,2019-01-19 00:00:00,Pedro Sakamoto ,Nicolas Mejia ,2,1,4,6,6, , ,6,4,2, , ,CLAY ,futures ,ITF
M15+H Bressuire 2019 ,19/01/2019 00:00,2019-01-19 00:00:00,Leny Mitjana ,Niels Lootsma ,2,0,6,6, , , ,1,4, , , ,I. HARD ,futures ,ITF
M15+H Bressuire 2019 ,19/01/2019 00:00,2019-01-19 00:00:00,Artem Dubrivnyy ,Matteo Martineau ,2,0,7,6, , , ,5,4, , , ,I. HARD ,futures ,ITF
Australian Open (juniors) 2019 ,20/01/2019 00:00,2019-01-20 00:00:00,Mateus Alves (2001) ,Hikaru Takeda ,2,0,6,6, , , ,2,3, , , ,HARD ,grandSlam ,GS
Australian Open (juniors) 2019 ,20/01/2019 00:00,2019-01-20 00:00:00,Nicolas Alvarez Varona ,Louis Herman ,2,0,6,6, , , ,4,2, , , ,HARD ,grandSlam ,GS
