tournament, date, aName, bName, aSets, bSets, aS1, aS2, aS3, aS4, aS5, bS1, bS2, bS3, bS4, bS5
"Aircel Chennai Open - Chennai" ,2013-01-01 ,"Prakash Amritraj" ,"Guillaume Rufin" ,2 ,1 ,6 ,6 ,6 , , ,7 ,2 ,3 , ,
"Aircel Chennai Open - Chennai" ,2013-01-01 ,"Sergiy Stakhovsky" ,"Ruben Bemelmans" ,2 ,0 ,7 ,7 , , , ,6 ,6 , , ,
"Aircel Chennai Open - Chennai" ,2013-01-01 ,"Dudi Sela" ,"Rajeev Ram" ,2 ,0 ,6 ,6 , , , ,4 ,1 , , ,
"Aircel Chennai Open - Chennai" ,2013-01-01 ,"Roberto Bautista Agut" ,"Blaz Kavcic" ,2 ,0 ,7 ,6 , , , ,6 ,2 , , ,
"Aircel Chennai Open - Chennai" ,2013-01-01 ,"Somdev Devvarman" ,"Jan Hajek" ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
"Aircel Chennai Open - Chennai" ,2013-01-01 ,"Matthias Bachinger" ,"Yen Hsun Lu" ,2 ,1 ,6 ,3 ,6 , , ,4 ,6 ,4 , ,
"Aircel Chennai Open - Chennai" ,2013-01-01 ,"Benoit Paire" ,"Flavio Cipolla" ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
"Aircel Chennai Open - Chennai" ,2013-01-01 ,"Cedrik Marcel Stebe" ,"Igor Sijsling" ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
"Brisbane International - Brisbane" ,2013-01-01 ,"Lleyton Hewitt" ,"Igor Kunitsyn" ,2 ,1 ,6 ,4 ,6 , , ,3 ,6 ,2 , ,
"Brisbane International - Brisbane" ,2013-01-01 ,"Tommy Robredo" ,"Ryan Harrison" ,2 ,0 ,6 ,7 , , , ,4 ,6 , , ,
"Brisbane International - Brisbane" ,2013-01-01 ,"Jurgen Melzer" ,"Denis Kudla" ,2 ,1 ,2 ,6 ,6 , , ,6 ,4 ,4 , ,
"Brisbane International - Brisbane" ,2013-01-01 ,"Alejandro Falla" ,"Jesse Levine" ,2 ,0 ,6 ,7 , , , ,1 ,6 , , ,
"Brisbane International - Brisbane" ,2013-01-01 ,"Denis Istomin" ,"Martin Klizan" ,2 ,0 ,6 ,6 , , , ,1 ,2 , , ,
"Brisbane International - Brisbane" ,2013-01-01 ,"John Millman" ,"Tatsuma Ito" ,2 ,0 ,6 ,6 , , , ,4 ,1 , , ,
"Brisbane International - Brisbane" ,2013-01-01 ,"David Goffin" ,"Matthew Ebden" ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
"Brisbane International - Brisbane" ,2013-01-01 ,"Grigor Dimitrov" ,"Brian Baker" ,2 ,0 ,6 ,7 , , , ,3 ,6 , , ,
"Hopman Cup - Perth" ,2013-01-01 ,"Jo Wilfried Tsonga" ,"John Isner" ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,
"Qatar ExxonMobil Open - Doha" ,2013-01-01 ,"Mikhail Youzhny" ,"Benjamin Becker" ,2 ,1 ,4 ,7 ,6 , , ,6 ,6 ,1 , ,
"Qatar ExxonMobil Open - Doha" ,2013-01-01 ,"David Ferrer" ,"Dustin Brown" ,2 ,1 ,5 ,6 ,6 , , ,7 ,3 ,2 , ,
"Qatar ExxonMobil Open - Doha" ,2013-01-01 ,"Richard Gasquet" ,"Jan Hernych" ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
"Qatar ExxonMobil Open - Doha" ,2013-01-01 ,"Lukasz Kubot" ,"Feliciano Lopez" ,2 ,0 ,6 ,6 , , , ,4 ,2 , , ,
"Qatar ExxonMobil Open - Doha" ,2013-01-01 ,"Tobias Kamke" ,"Ruben Ramirez Hidalgo" ,2 ,0 ,6 ,6 , , , ,1 ,2 , , ,
"Qatar ExxonMobil Open - Doha" ,2013-01-01 ,"Lukas Rosol" ,"Pablo Andujar" ,2 ,0 ,6 ,7 , , , ,2 ,6 , , ,
"Qatar ExxonMobil Open - Doha" ,2013-01-01 ,"Lukas Lacko" ,"Guillermo Garcia Lopez" ,2 ,1 ,6 ,2 ,6 , , ,1 ,6 ,4 , ,
"Qatar ExxonMobil Open - Doha" ,2013-01-01 ,"Gael Monfils" ,"Mousa Zayed" ,2 ,0 ,6 ,6 , , , ,0 ,3 , , ,
"Qatar ExxonMobil Open - Doha" ,2013-01-01 ,"Daniel Brands" ,"Jeremy Chardy" ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
"Qatar ExxonMobil Open - Doha" ,2013-01-01 ,"Mohamed Safwat" ,"Jabor Mohammed Ali Mutawa" ,2 ,0 ,6 ,6 , , , ,0 ,0 , , ,
"Sao Paulo Challenger" ,2013-01-01 ,"Julio Cesar Campozano" ,"Renzo Olivo" ,2 ,0 ,6 ,6 , , , ,2 ,0 , , ,
"Sao Paulo Challenger" ,2013-01-01 ,"Andre Ghem" ,"Tiago Lopes" ,2 ,0 ,7 ,6 , , , ,5 ,2 , , ,
"Sao Paulo Challenger" ,2013-01-01 ,"Rogerio Dutra Da Silva" ,"Rik de Voest" ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,
"Sao Paulo Challenger" ,2013-01-01 ,"Horacio Zeballos" ,"Austin Krajicek" ,2 ,0 ,7 ,7 , , , ,5 ,6 , , ,
"Sao Paulo Challenger" ,2013-01-01 ,"Franko Skugor" ,"Leonardo Kirche" ,2 ,1 ,6 ,3 ,6 , , ,3 ,6 ,4 , ,
"Sao Paulo Challenger" ,2013-01-01 ,"Devin Britton" ,"Jorge Aguilar" ,2 ,0 ,7 ,6 , , , ,5 ,3 , , ,
"Sao Paulo Challenger" ,2013-01-01 ,"Federico Delbonis" ,"Ricardo Hocevar" ,2 ,0 ,6 ,6 , , , ,3 ,1 , , ,
"Sao Paulo Challenger" ,2013-01-01 ,"Guido Andreozzi" ,"Rafael Camilo" ,2 ,0 ,6 ,6 , , , ,1 ,2 , , ,
"Aircel Chennai Open - Chennai" ,2013-01-02 ,"Janko Tipsarevic" ,"Edouard Roger Vasselin" ,2 ,0 ,6 ,6 , , , ,2 ,3 , , ,
