tournament, date, aName, bName, aSets, bSets, aS1, aS2, aS3, aS4, aS5, bS1, bS2, bS3, bS4, bS5
"Brisbane International - Brisbane" ,2016-01-03 ,"Grigor Dimitrov/Kei Nishikori" ,"Lukas Dlouhy/Dominic Thiem" ,2 ,0 ,7 ,6 , , , ,6 ,2 , , ,
"Brisbane International - Brisbane" ,2016-01-03 ,"James Duckworth/Chris Guccione" ,"Lucas Pouille/Gilles Simon" ,2 ,1 ,2 ,6 ,1 , , ,6 ,2 ,2 , ,
"Aircel Chennai Open - Chennai" ,2016-01-04 ,"Lukas Rosol/Igor Zelenay" ,"Philipp Oswald/Adil Shamasdin" ,2 ,0 ,6 ,7 , , , ,3 ,5 , , ,
"Aircel Chennai Open - Chennai" ,2016-01-04 ,"Raven Klaasen/Rajeev Ram" ,"Mahesh Bhupathi/Gilles Muller" ,2 ,1 ,6 ,6 ,1 , , ,3 ,7 ,7 , ,
"Bangkok Challenger" ,2016-01-04 ,"Tatsuma Ito/Adam Pavlasek" ,"Sanchai Ratiwatana/Sonchat Ratiwatana" ,2 ,0 ,6 ,7 , , , ,4 ,5 , , ,
"Brisbane International - Brisbane" ,2016-01-04 ,"Lukasz Kubot/Marcin Matkowski" ,"Jonathan Marray/Aisam Qureshi" ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
"Brisbane International - Brisbane" ,2016-01-04 ,"Pierre Hugues Herbert/Nicolas Mahut" ,"Thomaz Bellucci/Steve Johnson" ,2 ,1 ,6 ,3 ,1 , , ,4 ,6 ,1 , ,
"Brisbane International - Brisbane" ,2016-01-04 ,"Henri Kontinen/John Peers" ,"Daniel Nestor/Radek Stepanek" ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
"Happy Valley Challenger" ,2016-01-04 ,"Steven De Waard/Marc Polmans" ,"Zhe Li/Frances Tiafoe" ,2 ,0 ,6 ,6 , , , ,4 ,1 , , ,
"Happy Valley Challenger" ,2016-01-04 ,"Uladzimir Ignatik/Jan Satral" ,"Hiroki Moriya/Aldin Setkic" ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
"Happy Valley Challenger" ,2016-01-04 ,"Denys Molchanov/Aleksandr Nedovesov" ,"Bjorn Fratangelo/Taylor Harry Fritz" ,2 ,1 ,6 ,4 ,1 , , ,2 ,6 ,1 , ,
"Noumea Challenger" ,2016-01-04 ,"Julien Benneteau/Edouard Roger Vasselin" ,"Jan Mertl/Bastian Trinker" ,2 ,0 ,6 ,6 , , , ,4 ,2 , , ,
"Noumea Challenger" ,2016-01-04 ,"Maxime Janvier/Maximilian Marterer" ,"Maxime Chazal/Florian Reynet" ,2 ,0 ,7 ,6 , , , ,6 ,2 , , ,
"Noumea Challenger" ,2016-01-04 ,"Henri Laaksonen/Loic Perret" ,"James Cerretani/Max Jacob Schnur" ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
"Noumea Challenger" ,2016-01-04 ,"Gregoire Barrere/Tristan Lamasine" ,"Isaac Frost/Leon Frost" ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,
"Noumea Challenger" ,2016-01-04 ,"Jordi Samper Montana/Marco Trungelliti" ,"Enrico Becuzzi/Adrian Menendez Maceiras" ,2 ,0 ,6 ,6 , , , ,1 ,2 , , ,
"Qatar ExxonMobil Open - Doha" ,2016-01-04 ,"Jeremy Chardy/Paul Henri Mathieu" ,"Jabor Mohammed Ali Mutawa/Malek Jaziri" ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
"Qatar ExxonMobil Open - Doha" ,2016-01-04 ,"David Marrero/Andreas Seppi" ,"Pablo Andujar/Leonardo Mayer" ,2 ,0 ,7 ,6 , , , ,6 ,3 , , ,
"Qatar ExxonMobil Open - Doha" ,2016-01-04 ,"Teimuraz Gabashvili/Albert Ramos Vinolas" ,"Rafael Nadal/Fernando Verdasco" ,2 ,1 ,6 ,6 ,1 , , ,7 ,4 ,9 , ,
