tournament,date,aName,bName,aSets,bSets,aS1,aS2,aS3,aS4,aS5,bS1,bS2,bS3,bS4,bS5,surface,level,federation
ABN AMRO World Tennis Tournament - Rotterdam 2019 ,2019-02-16 00:00:00 ,Stan Wawrinka ,Kei Nishikori ,2 ,1 ,6 ,4 ,6 , , ,2 ,6 ,4 , , ,I. HARD ,atp ,ATP
ABN AMRO World Tennis Tournament - Rotterdam 2019 ,2019-02-16 00:00:00 ,Gael Monfils ,Daniil Medvedev ,2 ,1 ,4 ,6 ,6 , , ,6 ,3 ,4 , , ,I. HARD ,atp ,ATP
Argentina Open - Buenos Aires 2019 ,2019-02-16 00:00:00 ,Diego Sebastian Schwartzman ,Dominic Thiem ,2 ,1 ,2 ,6 ,7 , , ,6 ,4 ,6 , , ,CLAY ,atp ,ATP
Argentina Open - Buenos Aires 2019 ,2019-02-16 00:00:00 ,Marco Cecchinato ,Guido Pella ,2 ,0 ,6 ,6 , , , ,4 ,2 , , , ,CLAY ,atp ,ATP
Bangkok Challenger 2019 ,2019-02-16 00:00:00 ,Dudi Sela ,Tatsuma Ito ,1 ,0 ,4 , , , , ,2 , , , , ,HARD ,challeger ,ATP
Bangkok Challenger 2019 ,2019-02-16 00:00:00 ,Henri Laaksonen ,James Duckworth ,2 ,1 ,7 ,5 ,6 , , ,6 ,7 ,4 , , ,HARD ,challeger ,ATP
Cherbourg Challenger 2019 ,2019-02-16 00:00:00 ,Steve Darcis ,Stefano Travaglia ,2 ,1 ,6 ,6 ,6 , , ,7 ,3 ,3 , , ,I. HARD ,challeger ,ATP
Cherbourg Challenger 2019 ,2019-02-16 00:00:00 ,Ugo Humbert ,Mats Moraing ,2 ,1 ,6 ,6 ,6 , , ,7 ,4 ,2 , , ,I. HARD ,challeger ,ATP
Delray Beach Open - Delray Beach 2019 ,2019-02-16 00:00:00 ,Adrian Menendez Maceiras ,Andrea Arnaboldi ,2 ,1 ,6 ,5 ,6 , , ,4 ,7 ,4 , , ,HARD ,atp ,ATP
Delray Beach Open - Delray Beach 2019 ,2019-02-16 00:00:00 ,Donald Young ,Bjorn Fratangelo ,2 ,0 ,6 ,7 , , , ,2 ,6 , , , ,HARD ,atp ,ATP
Delray Beach Open - Delray Beach 2019 ,2019-02-16 00:00:00 ,Tim Smyczek ,Yasutaka Uchiyama ,2 ,0 ,6 ,6 , , , ,4 ,2 , , , ,HARD ,atp ,ATP
Delray Beach Open - Delray Beach 2019 ,2019-02-16 00:00:00 ,Daniel Evans ,Dominik Koepfer ,2 ,1 ,3 ,6 ,6 , , ,6 ,3 ,4 , , ,HARD ,atp ,ATP
Delray Beach Open - Delray Beach 2019 ,2019-02-16 00:00:00 ,Marcelo Arevalo ,Ramkumar Ramanathan ,2 ,1 ,6 ,3 ,7 , , ,2 ,6 ,6 , , ,HARD ,atp ,ATP
Delray Beach Open - Delray Beach 2019 ,2019-02-16 00:00:00 ,Darian King ,John Patrick Smith ,2 ,0 ,6 ,7 , , , ,4 ,6 , , , ,HARD ,atp ,ATP
Delray Beach Open - Delray Beach 2019 ,2019-02-16 00:00:00 ,Yosuke Watanuki ,Alex Bolt ,2 ,0 ,6 ,6 , , , ,1 ,1 , , , ,HARD ,atp ,ATP
Delray Beach Open - Delray Beach 2019 ,2019-02-16 00:00:00 ,Alexei Popyrin ,Preston Brown ,2 ,0 ,6 ,6 , , , ,4 ,3 , , , ,HARD ,atp ,ATP
M15 Antalya 2019 ,2019-02-16 00:00:00 ,Cristian Rodriguez ,Adrian Andreev ,2 ,1 ,6 ,2 ,7 , , ,3 ,6 ,5 , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,2019-02-16 00:00:00 ,Hernan Casanova ,Pavel Nejedly ,2 ,1 ,7 ,4 ,6 , , ,5 ,6 ,3 , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,2019-02-16 00:00:00 ,Dmitry Popko ,Juan Manuel Cerundolo ,2 ,0 ,6 ,7 , , , ,2 ,5 , , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,2019-02-16 00:00:00 ,Dmitry Popko ,Hernan Casanova ,1 ,0 ,6 ,4 , , , ,2 ,0 , , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,2019-02-16 00:00:00 ,Sebastian Korda ,Cristian Rodriguez ,2 ,1 ,5 ,6 ,6 , , ,7 ,0 ,0 , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,2019-02-16 00:00:00 ,Sebastian Korda ,Riccardo Bellotti ,2 ,0 ,6 ,7 , , , ,0 ,5 , , , ,CLAY ,futures ,ITF
M15 Monastir 2019 ,2019-02-16 00:00:00 ,Skander Mansouri ,Lukas Klein ,1 ,0 ,7 ,4 , , , ,5 ,2 , , , ,HARD ,futures ,ITF
M15 Monastir 2019 ,2019-02-16 00:00:00 ,Christopher Heyman ,Alvaro Lopez San Martin ,2 ,1 ,7 ,3 ,6 , , ,6 ,6 ,4 , , ,HARD ,futures ,ITF
M15 Sharm El Sheikh 2019 ,2019-02-16 00:00:00 ,Tung Lin Wu ,Cheong Eui Kim ,2 ,1 ,6 ,4 ,6 , , ,4 ,6 ,4 , , ,HARD ,futures ,ITF
M15 Sharm El Sheikh 2019 ,2019-02-16 00:00:00 ,Vit Kopriva ,Youssef Hossam ,2 ,0 ,6 ,6 , , , ,4 ,1 , , , ,HARD ,futures ,ITF
M15 Tucson 2019 ,2019-02-16 00:00:00 ,Karue Sell ,Isaiah Strode ,2 ,0 ,6 ,6 , , , ,4 ,4 , , , ,HARD ,futures ,ITF
M15 Tucson 2019 ,2019-02-16 00:00:00 ,Martin Redlicki ,Jose Olivares ,2 ,0 ,7 ,6 , , , ,6 ,1 , , , ,HARD ,futures ,ITF
M25 Aktobe 2019 ,2019-02-16 00:00:00 ,Niels Lootsma ,Jannik Sinner ,2 ,1 ,3 ,6 ,7 , , ,6 ,3 ,5 , , ,I. HARD ,futures ,ITF
M25 Aktobe 2019 ,2019-02-16 00:00:00 ,Alejandro Tabilo ,Teimuraz Gabashvili ,2 ,0 ,7 ,6 , , , ,6 ,3 , , , ,I. HARD ,futures ,ITF
M25 Barnstaple 2019 ,2019-02-16 00:00:00 ,Tim Van Rijthoven ,Danylo Kalenichenko ,2 ,1 ,7 ,3 ,6 , , ,6 ,6 ,1 , , ,I. HARD ,futures ,ITF
New York Open - New York 2019 ,2019-02-16 00:00:00 ,Brayden Schnur ,Sam Querrey ,2 ,1 ,7 ,4 ,6 , , ,6 ,6 ,3 , , ,I. HARD ,atp ,ATP
New York Open - New York 2019 ,2019-02-16 00:00:00 ,Reilly Opelka ,John Isner ,2 ,1 ,6 ,7 ,7 , , ,7 ,6 ,6 , , ,I. HARD ,atp ,ATP
Rio Open - Rio de Janeiro 2019 ,2019-02-16 00:00:00 ,Carlos Berlocq ,Natan Rodrigues ,2 ,0 ,6 ,6 , , , ,3 ,1 , , , ,CLAY ,atp ,ATP
Rio Open - Rio de Janeiro 2019 ,2019-02-16 00:00:00 ,Rogerio Dutra Da Silva ,Matteo Donati ,2 ,1 ,6 ,3 ,6 , , ,2 ,6 ,1 , , ,CLAY ,atp ,ATP
Rio Open - Rio de Janeiro 2019 ,2019-02-16 00:00:00 ,Facundo Bagnis ,Kimmer Coppejans ,2 ,0 ,6 ,7 , , , ,4 ,5 , , , ,CLAY ,atp ,ATP
Rio Open - Rio de Janeiro 2019 ,2019-02-16 00:00:00 ,Hugo Dellien ,Rafael Matos ,2 ,1 ,6 ,1 ,6 , , ,4 ,6 ,0 , , ,CLAY ,atp ,ATP
Rio Open - Rio de Janeiro 2019 ,2019-02-16 00:00:00 ,Juan Ignacio Londero ,Alessandro Giannessi ,2 ,0 ,7 ,6 , , , ,6 ,1 , , , ,CLAY ,atp ,ATP
Rio Open - Rio de Janeiro 2019 ,2019-02-16 00:00:00 ,Elias Ymer ,Joao Domingues ,2 ,1 ,3 ,7 ,6 , , ,6 ,5 ,3 , , ,CLAY ,atp ,ATP
Rio Open - Rio de Janeiro 2019 ,2019-02-16 00:00:00 ,Pedro Martinez Portero ,Mateus Alves (2001) ,2 ,1 ,6 ,3 ,7 , , ,4 ,6 ,5 , , ,CLAY ,atp ,ATP
Rio Open - Rio de Janeiro 2019 ,2019-02-16 00:00:00 ,Casper Ruud ,Thomaz Bellucci ,2 ,0 ,7 ,7 , , , ,6 ,6 , , , ,CLAY ,atp ,ATP
ABN AMRO World Tennis Tournament - Rotterdam 2019 ,2019-02-17 00:00:00 ,Gael Monfils ,Stan Wawrinka ,2 ,1 ,6 ,1 ,6 , , ,3 ,6 ,2 , , ,I. HARD ,atp ,ATP
Argentina Open - Buenos Aires 2019 ,2019-02-17 00:00:00 ,Marco Cecchinato ,Diego Sebastian Schwartzman ,2 ,0 ,6 ,6 , , , ,1 ,2 , , , ,CLAY ,atp ,ATP
Bangkok Challenger 2019 ,2019-02-17 00:00:00 ,Henri Laaksonen ,Dudi Sela ,2 ,0 ,6 ,6 , , , ,2 ,4 , , , ,HARD ,challeger ,ATP
Cherbourg Challenger 2019 ,2019-02-17 00:00:00 ,Ugo Humbert ,Steve Darcis ,2 ,1 ,6 ,6 ,6 , , ,7 ,3 ,3 , , ,I. HARD ,challeger ,ATP
Delray Beach Open - Delray Beach 2019 ,2019-02-17 00:00:00 ,Tim Smyczek ,Adrian Menendez Maceiras ,2 ,0 ,6 ,6 , , , ,3 ,4 , , , ,HARD ,atp ,ATP
Delray Beach Open - Delray Beach 2019 ,2019-02-17 00:00:00 ,Daniel Evans ,Donald Young ,2 ,0 ,6 ,7 , , , ,2 ,6 , , , ,HARD ,atp ,ATP
Delray Beach Open - Delray Beach 2019 ,2019-02-17 00:00:00 ,Darian King ,Alexei Popyrin ,2 ,0 ,7 ,6 , , , ,6 ,3 , , , ,HARD ,atp ,ATP
Delray Beach Open - Delray Beach 2019 ,2019-02-17 00:00:00 ,Yosuke Watanuki ,Marcelo Arevalo ,2 ,0 ,6 ,6 , , , ,4 ,4 , , , ,HARD ,atp ,ATP
M15 Antalya 2019 ,2019-02-17 00:00:00 ,Dmitry Popko ,Sebastian Korda ,2 ,1 ,6 ,3 ,6 , , ,4 ,6 ,3 , , ,CLAY ,futures ,ITF
M15 Monastir 2019 ,2019-02-17 00:00:00 ,Skander Mansouri ,Christopher Heyman ,1 ,0 ,6 ,4 , , , ,4 ,1 , , , ,HARD ,futures ,ITF
M15 Sharm El Sheikh 2019 ,2019-02-17 00:00:00 ,Tung Lin Wu ,Vit Kopriva ,2 ,0 ,6 ,6 , , , ,3 ,3 , , , ,HARD ,futures ,ITF
M15 Tucson 2019 ,2019-02-17 00:00:00 ,Martin Redlicki ,Karue Sell ,2 ,0 ,6 ,6 , , , ,4 ,4 , , , ,HARD ,futures ,ITF
M25 Aktobe 2019 ,2019-02-17 00:00:00 ,Niels Lootsma ,Alejandro Tabilo ,2 ,0 ,6 ,6 , , , ,4 ,4 , , , ,I. HARD ,futures ,ITF
New York Open - New York 2019 ,2019-02-17 00:00:00 ,Reilly Opelka ,Brayden Schnur ,2 ,1 ,6 ,6 ,7 , , ,1 ,7 ,6 , , ,I. HARD ,atp ,ATP
Open 13 Provence - Marseille 2019 ,2019-02-17 00:00:00 ,Sergiy Stakhovsky ,Mirza Basic ,2 ,1 ,4 ,6 ,6 , , ,6 ,1 ,3 , , ,I. HARD ,atp ,ATP
Open 13 Provence - Marseille 2019 ,2019-02-17 00:00:00 ,Simone Bolelli ,Alexandre Muller ,2 ,0 ,6 ,6 , , , ,4 ,4 , , , ,I. HARD ,atp ,ATP
Open 13 Provence - Marseille 2019 ,2019-02-17 00:00:00 ,Matthias Bachinger ,Oscar Otte ,1 ,0 ,6 ,4 , , , ,3 ,3 , , , ,I. HARD ,atp ,ATP
Open 13 Provence - Marseille 2019 ,2019-02-17 00:00:00 ,Alexey Vatutin ,Ruben Bemelmans ,2 ,0 ,7 ,6 , , , ,5 ,4 , , , ,I. HARD ,atp ,ATP
Open 13 Provence - Marseille 2019 ,2019-02-17 00:00:00 ,Egor Gerasimov ,Lukas Rosol ,2 ,1 ,6 ,4 ,6 , , ,4 ,6 ,3 , , ,I. HARD ,atp ,ATP
Open 13 Provence - Marseille 2019 ,2019-02-17 00:00:00 ,Constant Lestienne ,Mats Moraing ,2 ,1 ,7 ,4 ,6 , , ,5 ,6 ,3 , , ,I. HARD ,atp ,ATP
Open 13 Provence - Marseille 2019 ,2019-02-17 00:00:00 ,Gregoire Barrere ,Sebastian Ofner ,2 ,0 ,6 ,6 , , , ,4 ,4 , , , ,I. HARD ,atp ,ATP
Open 13 Provence - Marseille 2019 ,2019-02-17 00:00:00 ,Maxime Janvier ,Ilya Ivashka ,2 ,0 ,6 ,6 , , , ,2 ,4 , , , ,I. HARD ,atp ,ATP
Rio Open - Rio de Janeiro 2019 ,2019-02-17 00:00:00 ,Hugo Dellien ,Carlos Berlocq ,2 ,0 ,6 ,7 , , , ,3 ,6 , , , ,CLAY ,atp ,ATP
Rio Open - Rio de Janeiro 2019 ,2019-02-17 00:00:00 ,Juan Ignacio Londero ,Rogerio Dutra Da Silva ,2 ,0 ,7 ,6 , , , ,6 ,2 , , , ,CLAY ,atp ,ATP
Rio Open - Rio de Janeiro 2019 ,2019-02-17 00:00:00 ,Elias Ymer ,Pedro Martinez Portero ,2 ,1 ,6 ,1 ,6 , , ,4 ,6 ,4 , , ,CLAY ,atp ,ATP
Rio Open - Rio de Janeiro 2019 ,2019-02-17 00:00:00 ,Casper Ruud ,Facundo Bagnis ,2 ,0 ,7 ,6 , , , ,5 ,4 , , , ,CLAY ,atp ,ATP
Bangkok Challenger 2019 ,2019-02-18 00:00:00 ,Stephane Robert ,Pruchya Isarow ,2 ,1 ,3 ,6 ,6 , , ,6 ,1 ,3 , , ,HARD ,challeger ,ATP
Bangkok Challenger 2019 ,2019-02-18 00:00:00 ,Zhe Li ,Wishaya Trongcharoenchaikul ,2 ,1 ,4 ,6 ,6 , , ,6 ,1 ,4 , , ,HARD ,challeger ,ATP
Bangkok Challenger 2019 ,2019-02-18 00:00:00 ,Saketh Sai Myneni ,Tsung Hua Yang ,2 ,0 ,6 ,7 , , , ,3 ,5 , , , ,HARD ,challeger ,ATP
Bangkok Challenger 2019 ,2019-02-18 00:00:00 ,Yan Bai ,Moez Echargui ,2 ,1 ,6 ,2 ,6 , , ,3 ,6 ,3 , , ,HARD ,challeger ,ATP
Bangkok Challenger 2019 ,2019-02-18 00:00:00 ,Di Wu ,Palaphoom Kovapitukted ,2 ,0 ,6 ,6 , , , ,4 ,2 , , , ,HARD ,challeger ,ATP
Bangkok Challenger 2019 ,2019-02-18 00:00:00 ,Oriol Roca Batalla ,David Perez Sanz ,1 ,0 ,6 ,4 ,6 , , ,7 , ,2 , , ,HARD ,challeger ,ATP
Bangkok Challenger 2019 ,2019-02-18 00:00:00 ,Kaichi Uchida ,Max Purcell ,2 ,0 ,6 ,6 , , , ,3 ,1 , , , ,HARD ,challeger ,ATP
Bangkok Challenger 2019 ,2019-02-18 00:00:00 ,Enzo Couacaud ,Jose Hernandez Fernandez ,2 ,0 ,7 ,6 , , , ,5 ,2 , , , ,HARD ,challeger ,ATP
Bangkok Challenger 2019 ,2019-02-18 00:00:00 ,Jc Aragone ,Enrique Lopez Perez ,2 ,0 ,6 ,6 , , , ,2 ,2 , , , ,HARD ,challeger ,ATP
Bangkok Challenger 2019 ,2019-02-18 00:00:00 ,Ivan Gakhov ,Congsup Congcar ,2 ,0 ,7 ,6 , , , ,6 ,1 , , , ,HARD ,challeger ,ATP
Bangkok Challenger 2019 ,2019-02-18 00:00:00 ,Goncalo Oliveira ,Maverick Banes ,2 ,1 ,6 ,3 ,7 , , ,2 ,6 ,6 , , ,HARD ,challeger ,ATP
Bangkok Challenger 2019 ,2019-02-18 00:00:00 ,Duckhee Lee ,Thanapet Chanta ,2 ,0 ,6 ,7 , , , ,2 ,6 , , , ,HARD ,challeger ,ATP
Bangkok Challenger 2019 ,2019-02-18 00:00:00 ,Yunseong Chung ,Pedro Cachin ,2 ,0 ,6 ,6 , , , ,2 ,1 , , , ,HARD ,challeger ,ATP
Bergamo Challenger 2019 ,2019-02-18 00:00:00 ,Uladzimir Ignatik ,Matteo Viola ,2 ,0 ,6 ,6 , , , ,4 ,4 , , , ,I. HARD ,challeger ,ATP
