tournament,date,aName,bName,aSets,bSets,aS1,aS2,aS3,aS4,aS5,bS1,bS2,bS3,bS4,bS5,surface,level,federation
Bergamo Challenger 2019 ,2019-02-18 00:00:00 ,Roberto Marcora ,Laurynas Grigelis ,2 ,0 ,6 ,6 , , , ,0 ,3 , , , ,I. HARD ,challeger ,ATP
Bergamo Challenger 2019 ,2019-02-18 00:00:00 ,Danilo Petrovic ,Peter Heller ,2 ,1 ,3 ,7 ,6 , , ,6 ,5 ,3 , , ,I. HARD ,challeger ,ATP
Bergamo Challenger 2019 ,2019-02-18 00:00:00 ,Viktor Galovic ,Giulio Zeppieri ,2 ,1 ,4 ,6 ,6 , , ,6 ,3 ,4 , , ,I. HARD ,challeger ,ATP
Bergamo Challenger 2019 ,2019-02-18 00:00:00 ,Riccardo Bonadio ,Federico Arnaboldi ,2 ,1 ,7 ,5 ,6 , , ,6 ,7 ,3 , , ,I. HARD ,challeger ,ATP
Bergamo Challenger 2019 ,2019-02-18 00:00:00 ,Tristan Lamasine ,Julian Ocleppo ,2 ,0 ,6 ,6 , , , ,3 ,4 , , , ,I. HARD ,challeger ,ATP
Bergamo Challenger 2019 ,2019-02-18 00:00:00 ,Jan Choinski ,Benjamin Bonzi ,1 ,0 ,6 ,4 , , , ,0 ,2 , , , ,I. HARD ,challeger ,ATP
Bergamo Challenger 2019 ,2019-02-18 00:00:00 ,Roman Safiullin ,Lorenzo Musetti ,2 ,0 ,7 ,6 , , , ,5 ,4 , , , ,I. HARD ,challeger ,ATP
Bergamo Challenger 2019 ,2019-02-18 00:00:00 ,Bernabe Zapata Miralles ,Daniel Masur ,2 ,1 ,6 ,3 ,6 , , ,3 ,6 ,2 , , ,I. HARD ,challeger ,ATP
Bergamo Challenger 2019 ,2019-02-18 00:00:00 ,Carlos Taberner ,Scott Griekspoor ,2 ,0 ,7 ,6 , , , ,6 ,3 , , , ,I. HARD ,challeger ,ATP
Bergamo Challenger 2019 ,2019-02-18 00:00:00 ,Zdenek Kolar ,Liam Caruana ,2 ,0 ,7 ,6 , , , ,6 ,3 , , , ,I. HARD ,challeger ,ATP
Bergamo Challenger 2019 ,2019-02-18 00:00:00 ,Elliot Benchetrit ,Mario Vilella Martinez ,2 ,1 ,6 ,3 ,6 , , ,4 ,6 ,4 , , ,I. HARD ,challeger ,ATP
Bergamo Challenger 2019 ,2019-02-18 00:00:00 ,Baptiste Crepatte ,Ivan Nedelko ,2 ,0 ,6 ,7 , , , ,3 ,6 , , , ,I. HARD ,challeger ,ATP
Bergamo Challenger 2019 ,2019-02-18 00:00:00 ,Jannik Sinner ,Lucas Miedler ,2 ,0 ,7 ,6 , , , ,6 ,1 , , , ,I. HARD ,challeger ,ATP
Delray Beach Open - Delray Beach 2019 ,2019-02-18 00:00:00 ,Denis Istomin ,Feliciano Lopez ,2 ,0 ,7 ,6 , , , ,6 ,2 , , , ,HARD ,atp ,ATP
Delray Beach Open - Delray Beach 2019 ,2019-02-18 00:00:00 ,Lukas Lacko ,Yosuke Watanuki ,2 ,0 ,6 ,6 , , , ,4 ,4 , , , ,HARD ,atp ,ATP
Delray Beach Open - Delray Beach 2019 ,2019-02-18 00:00:00 ,Nick Kyrgios ,John Millman ,2 ,1 ,6 ,6 ,7 , , ,4 ,7 ,6 , , ,HARD ,atp ,ATP
Delray Beach Open - Delray Beach 2019 ,2019-02-18 00:00:00 ,Lloyd Harris ,Darian King ,2 ,0 ,7 ,6 , , , ,6 ,3 , , , ,HARD ,atp ,ATP
M15 Antalya 2019 ,2019-02-18 00:00:00 ,Jose Pereira ,Runhao Hua ,2 ,0 ,6 ,6 , , , ,2 ,3 , , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,2019-02-18 00:00:00 ,Jose Pereira ,Mike Urbanija ,2 ,0 ,6 ,6 , , , ,0 ,4 , , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,2019-02-18 00:00:00 ,Mike Urbanija ,Kaya Arinc ,2 ,0 ,6 ,6 , , , ,1 ,1 , , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,2019-02-18 00:00:00 ,Alessandro Petrone ,Gabriele Bosio ,2 ,0 ,6 ,7 , , , ,3 ,5 , , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,2019-02-18 00:00:00 ,Florent Diep ,Nikoloz Davlianidze ,2 ,0 ,6 ,6 , , , ,2 ,3 , , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,2019-02-18 00:00:00 ,Nerman Fatic ,Juan Pablo Paz ,2 ,0 ,6 ,6 , , , ,2 ,2 , , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,2019-02-18 00:00:00 ,Nerman Fatic ,Domagoj Biljesko ,2 ,0 ,6 ,6 , , , ,2 ,3 , , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,2019-02-18 00:00:00 ,Ronald Slobodchikov ,Filippo Speziali ,2 ,0 ,6 ,6 , , , ,4 ,1 , , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,2019-02-18 00:00:00 ,Ronald Slobodchikov ,Arklon Huertas Del Pino ,2 ,0 ,6 ,6 , , , ,1 ,1 , , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,2019-02-18 00:00:00 ,Juan Pablo Paz ,Giuseppe La Vela ,2 ,0 ,6 ,6 , , , ,0 ,3 , , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,2019-02-18 00:00:00 ,Matias Zukas ,Florent Diep ,2 ,0 ,6 ,6 , , , ,2 ,1 , , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,2019-02-18 00:00:00 ,Matias Zukas ,Conner Huertas Del Pino ,2 ,0 ,6 ,6 , , , ,4 ,4 , , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,2019-02-18 00:00:00 ,Alexander Weis ,Gabriel Donev ,2 ,0 ,6 ,6 , , , ,2 ,0 , , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,2019-02-18 00:00:00 ,Alexander Weis ,Andrey Chepelev ,2 ,1 ,6 ,2 ,1 , , ,1 ,6 ,5 , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,2019-02-18 00:00:00 ,Rayane Roumane ,Alessandro Petrone ,2 ,1 ,2 ,6 ,1 , , ,6 ,1 ,6 , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,2019-02-18 00:00:00 ,Rayane Roumane ,Nikita Alosha Ushakov ,2 ,0 ,6 ,6 , , , ,2 ,2 , , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,2019-02-18 00:00:00 ,Andrey Chepelev ,Zura Tkemaladze ,2 ,0 ,6 ,6 , , , ,2 ,4 , , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,2019-02-18 00:00:00 ,Arklon Huertas Del Pino ,Alexander Shevchenko ,2 ,0 ,7 ,6 , , , ,6 ,0 , , , ,CLAY ,futures ,ITF
M15 Monastir 2019 ,2019-02-18 00:00:00 ,Anas Fattar ,Pierre Faivre ,2 ,1 ,6 ,4 ,1 , , ,2 ,6 ,9 , , ,HARD ,futures ,ITF
M15 Monastir 2019 ,2019-02-18 00:00:00 ,Erik Crepaldi ,Yan Bondarevskiy ,2 ,1 ,1 ,6 ,1 , , ,6 ,3 ,0 , , ,HARD ,futures ,ITF
M15 Monastir 2019 ,2019-02-18 00:00:00 ,Maksim Tikhomirov ,Christian Hirschmueller ,1 ,0 ,4 , , , , ,0 , , , , ,HARD ,futures ,ITF
M15 Monastir 2019 ,2019-02-18 00:00:00 ,Maksim Tikhomirov ,Yanais Laurent ,2 ,1 ,2 ,6 ,1 , , ,6 ,3 ,1 , , ,HARD ,futures ,ITF
M15 Monastir 2019 ,2019-02-18 00:00:00 ,Yanais Laurent ,Giacomo Dambrosi ,2 ,0 ,6 ,6 , , , ,0 ,1 , , , ,HARD ,futures ,ITF
M15 Monastir 2019 ,2019-02-18 00:00:00 ,Damien Bayard ,Mikhail Korovin ,2 ,0 ,6 ,6 , , , ,0 ,1 , , , ,HARD ,futures ,ITF
M15 Monastir 2019 ,2019-02-18 00:00:00 ,Ivan Davydov ,Ronan Joncour ,2 ,1 ,7 ,6 ,1 , , ,6 ,7 ,9 , , ,HARD ,futures ,ITF
M15 Monastir 2019 ,2019-02-18 00:00:00 ,Ivan Davydov ,Erik Crepaldi ,2 ,1 ,3 ,7 ,1 , , ,6 ,6 ,8 , , ,HARD ,futures ,ITF
M15 Monastir 2019 ,2019-02-18 00:00:00 ,Ivan Marrero Curbelo ,Mirko Martinez ,2 ,0 ,7 ,6 , , , ,6 ,4 , , , ,HARD ,futures ,ITF
M15 Monastir 2019 ,2019-02-18 00:00:00 ,Petr Nouza ,Boris Pokotilov ,2 ,1 ,6 ,1 ,1 , , ,3 ,6 ,9 , , ,HARD ,futures ,ITF
M15 Monastir 2019 ,2019-02-18 00:00:00 ,Petr Nouza ,Federico Iannaccone ,2 ,0 ,6 ,6 , , , ,2 ,2 , , , ,HARD ,futures ,ITF
M15 Monastir 2019 ,2019-02-18 00:00:00 ,Maxime Pauwels ,Ivan Marrero Curbelo ,2 ,0 ,6 ,6 , , , ,3 ,3 , , , ,HARD ,futures ,ITF
M15 Monastir 2019 ,2019-02-18 00:00:00 ,Maxime Pauwels ,Vasko Mladenov ,2 ,0 ,6 ,6 , , , ,4 ,4 , , , ,HARD ,futures ,ITF
M15 Monastir 2019 ,2019-02-18 00:00:00 ,Federico Iannaccone ,Lance Pierre Du Toit ,2 ,1 ,3 ,6 ,1 , , ,6 ,3 ,8 , , ,HARD ,futures ,ITF
M15 Monastir 2019 ,2019-02-18 00:00:00 ,Kyrian Jacquet ,Damien Bayard ,2 ,0 ,6 ,6 , , , ,0 ,4 , , , ,HARD ,futures ,ITF
M15 Monastir 2019 ,2019-02-18 00:00:00 ,Kyrian Jacquet ,Marek Gengel ,2 ,0 ,7 ,7 , , , ,5 ,6 , , , ,HARD ,futures ,ITF
M15 Monastir 2019 ,2019-02-18 00:00:00 ,Emiliano Maggioli ,Anas Fattar ,2 ,0 ,7 ,6 , , , ,6 ,1 , , , ,HARD ,futures ,ITF
M15 Monastir 2019 ,2019-02-18 00:00:00 ,Emiliano Maggioli ,Dan Added ,1 ,0 ,6 ,3 , , , ,1 ,1 , , , ,HARD ,futures ,ITF
M15 Sharm El Sheikh 2019 ,2019-02-18 00:00:00 ,Riccardo Maiga ,Omar Elkadi ,2 ,0 ,6 ,6 , , , ,4 ,0 , , , ,HARD ,futures ,ITF
M15 Sharm El Sheikh 2019 ,2019-02-18 00:00:00 ,Oleg Khotkov ,Martin Van Der Meerschen ,2 ,0 ,6 ,7 , , , ,2 ,5 , , , ,HARD ,futures ,ITF
M15 Sharm El Sheikh 2019 ,2019-02-18 00:00:00 ,Oleg Khotkov ,Loic Perret ,2 ,0 ,7 ,6 , , , ,5 ,4 , , , ,HARD ,futures ,ITF
M15 Sharm El Sheikh 2019 ,2019-02-18 00:00:00 ,Giorgio Ricca ,Issam Haitham Taweel ,2 ,0 ,7 ,6 , , , ,6 ,2 , , , ,HARD ,futures ,ITF
M15 Sharm El Sheikh 2019 ,2019-02-18 00:00:00 ,Giorgio Ricca ,Kazuki Nishiwaki ,2 ,1 ,5 ,7 ,1 , , ,7 ,6 ,6 , , ,HARD ,futures ,ITF
M15 Sharm El Sheikh 2019 ,2019-02-18 00:00:00 ,Florian Lakat ,Riccardo Maiga ,2 ,0 ,6 ,6 , , , ,2 ,4 , , , ,HARD ,futures ,ITF
