tournament, date, aName, bName, aSets, bSets, aS1, aS2, aS3, aS4, aS5, bS1, bS2, bS3, bS4, bS5
"Aircel Chennai Open - Chennai" ,2012-01-01 ,"Rik de Voest" ,"Treat Conrad Huey" ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
"Aircel Chennai Open - Chennai" ,2012-01-01 ,"Rajeev Ram" ,"Prajnesh Gunneswaran" ,2 ,0 ,6 ,7 , , , ,3 ,6 , , ,
"Aircel Chennai Open - Chennai" ,2012-01-01 ,"Go Soeda" ,"Rohan Bopanna" ,2 ,0 ,7 ,7 , , , ,6 ,6 , , ,
"Aircel Chennai Open - Chennai" ,2012-01-01 ,"Edouard Roger Vasselin" ,"Dusan Lajovic" ,2 ,0 ,7 ,6 , , , ,6 ,2 , , ,
"Aircel Chennai Open - Chennai" ,2012-01-01 ,"Yuichi Sugita" ,"Joao Sousa" ,2 ,0 ,6 ,6 , , , ,4 ,1 , , ,
"Aircel Chennai Open - Chennai" ,2012-01-01 ,"Thiemo de Bakker" ,"Juan Sebastian Cabal" ,2 ,0 ,6 ,6 , , , ,1 ,3 , , ,
"Aircel Chennai Open - Chennai" ,2012-01-01 ,"Izak van der Merwe" ,"Inigo Cervantes" ,2 ,0 ,6 ,7 , , , ,4 ,5 , , ,
"Aircel Chennai Open - Chennai" ,2012-01-01 ,"Vasek Pospisil" ,"Mohit Mayur Jayaprakash" ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,
"Brisbane International - Brisbane" ,2012-01-01 ,"Chris Guccione" ,"Jan Hernych" ,2 ,0 ,6 ,7 , , , ,3 ,6 , , ,
"Brisbane International - Brisbane" ,2012-01-01 ,"Igor Andreev" ,"Matt Reid" ,2 ,1 ,6 ,6 ,6 , , ,7 ,3 ,4 , ,
"Brisbane International - Brisbane" ,2012-01-01 ,"Tobias Kamke" ,"Greg Jones" ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
"Brisbane International - Brisbane" ,2012-01-01 ,"Alexandr Dolgopolov" ,"Alejandro Falla" ,2 ,0 ,7 ,6 , , , ,6 ,2 , , ,
"Brisbane International - Brisbane" ,2012-01-01 ,"Jesse Levine" ,"Maverick Banes" ,2 ,0 ,6 ,6 , , , ,2 ,3 , , ,
"Brisbane International - Brisbane" ,2012-01-01 ,"Michael Look" ,"Colin Ebelthite" ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
"Brisbane International - Brisbane" ,2012-01-01 ,"Tatsuma Ito" ,"Luke Saville" ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
"Brisbane International - Brisbane" ,2012-01-01 ,"John Millman" ,"Laurynas Grigelis" ,2 ,1 ,4 ,6 ,6 , , ,6 ,2 ,2 , ,
"Brisbane International - Brisbane" ,2012-01-01 ,"Jurgen Zopp" ,"Gavin Van Peperzeel" ,2 ,1 ,4 ,6 ,6 , , ,6 ,1 ,3 , ,
"Brisbane International - Brisbane" ,2012-01-01 ,"James Duckworth" ,"Nicolas Mahut" ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
"Hopman Cup - Perth" ,2012-01-01 ,"Fernando Verdasco" ,"Lleyton Hewitt" ,2 ,1 ,6 ,3 ,7 , , ,3 ,6 ,5 , ,
"Qatar ExxonMobil Open - Doha" ,2012-01-01 ,"Rainer Schuettler" ,"Antonio Veic" ,2 ,0 ,6 ,7 , , , ,3 ,6 , , ,
"Qatar ExxonMobil Open - Doha" ,2012-01-01 ,"Denis Gremelmayr" ,"Marsel Ilhan" ,2 ,1 ,6 ,3 ,6 , , ,1 ,6 ,4 , ,
"Qatar ExxonMobil Open - Doha" ,2012-01-01 ,"Roberto Bautista Agut" ,"Bjorn Phau" ,2 ,0 ,6 ,7 , , , ,1 ,5 , , ,
"Qatar ExxonMobil Open - Doha" ,2012-01-01 ,"Grega Zemlja" ,"Dominik Meffert" ,2 ,0 ,6 ,7 , , , ,3 ,5 , , ,
"Qatar ExxonMobil Open - Doha" ,2012-01-01 ,"Andrey Golubev" ,"Mohammad Ghareeb" ,2 ,0 ,6 ,7 , , , ,2 ,5 , , ,
"Qatar ExxonMobil Open - Doha" ,2012-01-01 ,"Matthias Bachinger" ,"Aljaz Bedene" ,2 ,1 ,6 ,1 ,6 , , ,3 ,6 ,3 , ,
"Qatar ExxonMobil Open - Doha" ,2012-01-01 ,"Jesse Huta Galung" ,"James Ward" ,2 ,0 ,7 ,6 , , , ,6 ,3 , , ,
