tournament, date, aName, bName, aSets, bSets, aS1, aS2, aS3, aS4, aS5, bS1, bS2, bS3, bS4, bS5
"Aircel Chennai Open - Chennai" ,2011-01-03 ,"Mahesh Bhupathi/Leander Paes" ,"Frank Dancevic/Stan Wawrinka" ,2 ,1 ,3 ,7 ,1 , , ,6 ,6 ,4 , ,
"Aircel Chennai Open - Chennai" ,2011-01-03 ,"Philipp Marx/Ken Skupski" ,"Xavier Malisse/Jamie Murray" ,2 ,0 ,6 ,6 , , , ,3 ,1 , , ,
"Aircel Chennai Open - Chennai" ,2011-01-03 ,"Robin Haase/David Martin" ,"Somdev Devvarman/Sanam Singh" ,2 ,1 ,5 ,6 ,1 , , ,7 ,2 ,8 , ,
"Brisbane International - Brisbane" ,2011-01-03 ,"Benjamin Becker/Michael Kohlmann" ,"Rameez Junaid/Tobias Kamke" ,2 ,1 ,6 ,1 ,1 , , ,4 ,6 ,1 , ,
"Brisbane International - Brisbane" ,2011-01-03 ,"Robert Lindstedt/Horia Tecau" ,"Eric Butorac/Jean Julien Rojer" ,2 ,1 ,6 ,7 ,1 , , ,7 ,6 ,2 , ,
"Qatar ExxonMobil Open - Doha" ,2011-01-03 ,"Filip Polasek/Sergiy Stakhovsky" ,"Johan Brunstrom/Jarkko Nieminen" ,2 ,0 ,6 ,7 , , , ,3 ,6 , , ,
"Qatar ExxonMobil Open - Doha" ,2011-01-03 ,"Teimuraz Gabashvili/Philipp Kohlschreiber" ,"Viktor Troicki/Nenad Zimonjic" ,2 ,1 ,6 ,6 ,1 , , ,4 ,7 ,5 , ,
"Qatar ExxonMobil Open - Doha" ,2011-01-03 ,"Mohammad Ghareeb/Mubarak Shannan Zayid" ,"Reda El Amrani/Abdulrahman Al Harib" ,2 ,1 ,4 ,7 ,1 , , ,6 ,6 ,9 , ,
"Aircel Chennai Open - Chennai" ,2011-01-04 ,"Marin Cilic/Ivan Dodig" ,"Leos Friedl/Jordan Kerr" ,2 ,0 ,6 ,7 , , , ,0 ,5 , , ,
"Aircel Chennai Open - Chennai" ,2011-01-04 ,"Simone Bolelli/Janko Tipsarevic" ,"Divij Sharan/Vishnu Vardhan" ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
"Brisbane International - Brisbane" ,2011-01-04 ,"Philipp Petzschner/Alexander Peya" ,"Mardy Fish/Andy Roddick" ,2 ,1 ,7 ,3 ,1 , , ,5 ,6 ,9 , ,
"Brisbane International - Brisbane" ,2011-01-04 ,"Carsten Ball/Chris Guccione" ,"Lukasz Kubot/Oliver Marach" ,2 ,1 ,7 ,4 ,1 , , ,5 ,6 ,8 , ,
"Brisbane International - Brisbane" ,2011-01-04 ,"Max Mirnyi/Daniel Nestor" ,"Thiemo de Bakker/Dmitry Tursunov" ,2 ,1 ,3 ,6 ,1 , , ,6 ,3 ,5 , ,
"Brisbane International - Brisbane" ,2011-01-04 ,"Arnaud Clement/Michal Mertinak" ,"Alexandr Dolgopolov/Denis Istomin" ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
"Qatar ExxonMobil Open - Doha" ,2011-01-04 ,"Daniele Bracciali/Andreas Seppi" ,"Daniel Gimeno Traver/Ruben Ramirez Hidalgo" ,2 ,0 ,6 ,6 , , , ,2 ,3 , , ,
"Qatar ExxonMobil Open - Doha" ,2011-01-04 ,"Marc Lopez/Rafael Nadal" ,"David Marrero/Pere Riba" ,2 ,0 ,6 ,7 , , , ,3 ,5 , , ,
"Qatar ExxonMobil Open - Doha" ,2011-01-04 ,"Marco Chiudinelli/Jo Wilfried Tsonga" ,"Guillermo Garcia Lopez/Rainer Schuettler" ,2 ,0 ,6 ,6 , , , ,1 ,2 , , ,
"Qatar ExxonMobil Open - Doha" ,2011-01-04 ,"Fabio Fognini/Igor Zelenay" ,"Ernests Gulbis/Mischa Zverev" ,2 ,1 ,7 ,3 ,1 , , ,5 ,6 ,5 , ,
"Qatar ExxonMobil Open - Doha" ,2011-01-04 ,"Frantisek Cermak/Christopher Kas" ,"Mariusz Fyrstenberg/Victor Hanescu" ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
"Aircel Chennai Open - Chennai" ,2011-01-05 ,"Sanchai Ratiwatana/Sonchat Ratiwatana" ,"Colin Fleming/Ross Hutchins" ,2 ,0 ,7 ,6 , , , ,6 ,1 , , ,
"Aircel Chennai Open - Chennai" ,2011-01-05 ,"Rohan Bopanna/Aisam Qureshi" ,"Marcos Daniel/Eduardo Schwank" ,2 ,0 ,6 ,7 , , , ,3 ,6 , , ,
"Aircel Chennai Open - Chennai" ,2011-01-05 ,"Scott Lipsky/Rajeev Ram" ,"Dustin Brown/Rogier Wassen" ,2 ,0 ,6 ,6 , , , ,1 ,2 , , ,
"Brisbane International - Brisbane" ,2011-01-05 ,"Max Mirnyi/Daniel Nestor" ,"Benjamin Becker/Michael Kohlmann" ,2 ,0 ,6 ,6 , , , ,1 ,2 , , ,
"Brisbane International - Brisbane" ,2011-01-05 ,"Lukas Dlouhy/Paul Hanley" ,"Jonathan Erlich/Andy Ram" ,2 ,0 ,7 ,6 , , , ,6 ,2 , , ,
"Brisbane International - Brisbane" ,2011-01-05 ,"Matthew Ebden/Peter Luczak" ,"Florent Serra/Gilles Simon" ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,
"Qatar ExxonMobil Open - Doha" ,2011-01-05 ,"Daniele Bracciali/Andreas Seppi" ,"Frantisek Cermak/Christopher Kas" ,2 ,0 ,6 ,6 , , , ,1 ,4 , , ,
"Qatar ExxonMobil Open - Doha" ,2011-01-05 ,"Marc Lopez/Rafael Nadal" ,"Mohammad Ghareeb/Mubarak Shannan Zayid" ,2 ,0 ,6 ,6 , , , ,2 ,0 , , ,
"Qatar ExxonMobil Open - Doha" ,2011-01-05 ,"Teimuraz Gabashvili/Philipp Kohlschreiber" ,"Marco Chiudinelli/Jo Wilfried Tsonga" ,2 ,0 ,7 ,7 , , , ,6 ,5 , , ,
"Qatar ExxonMobil Open - Doha" ,2011-01-05 ,"Fabio Fognini/Igor Zelenay" ,"Filip Polasek/Sergiy Stakhovsky" ,2 ,0 ,6 ,6 , , , ,2 ,4 , , ,
"Aircel Chennai Open - Chennai" ,2011-01-06 ,"Marin Cilic/Ivan Dodig" ,"Sanchai Ratiwatana/Sonchat Ratiwatana" ,2 ,0 ,6 ,6 , , , ,2 ,4 , , ,
"Aircel Chennai Open - Chennai" ,2011-01-06 ,"Simone Bolelli/Janko Tipsarevic" ,"Scott Lipsky/Rajeev Ram" ,2 ,0 ,6 ,6 , , , ,4 ,2 , , ,
"Aircel Chennai Open - Chennai" ,2011-01-06 ,"Robin Haase/David Martin" ,"Rohan Bopanna/Aisam Qureshi" ,2 ,0 ,6 ,7 , , , ,4 ,5 , , ,
"Brisbane International - Brisbane" ,2011-01-06 ,"Philipp Petzschner/Alexander Peya" ,"Carsten Ball/Chris Guccione" ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
"Brisbane International - Brisbane" ,2011-01-06 ,"Robert Lindstedt/Horia Tecau" ,"Matthew Ebden/Peter Luczak" ,2 ,1 ,6 ,6 ,1 , , ,3 ,7 ,1 , ,
"Brisbane International - Brisbane" ,2011-01-06 ,"Lukas Dlouhy/Paul Hanley" ,"Arnaud Clement/Michal Mertinak" ,2 ,0 ,6 ,7 , , , ,4 ,6 , , ,
"Qatar ExxonMobil Open - Doha" ,2011-01-06 ,"Daniele Bracciali/Andreas Seppi" ,"Fabio Fognini/Igor Zelenay" ,2 ,1 ,6 ,4 ,1 , , ,1 ,6 ,9 , ,
"Qatar ExxonMobil Open - Doha" ,2011-01-06 ,"Marc Lopez/Rafael Nadal" ,"Teimuraz Gabashvili/Philipp Kohlschreiber" ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
"Aircel Chennai Open - Chennai" ,2011-01-07 ,"Mahesh Bhupathi/Leander Paes" ,"Philipp Marx/Ken Skupski" ,2 ,0 ,6 ,7 , , , ,4 ,6 , , ,
"Brisbane International - Brisbane" ,2011-01-07 ,"Lukas Dlouhy/Paul Hanley" ,"Max Mirnyi/Daniel Nestor" ,2 ,0 ,6 ,6 , , , ,4 ,2 , , ,
