tournament, date, aName, bName, aSets, bSets, aS1, aS2, aS3, aS4, aS5, bS1, bS2, bS3, bS4, bS5
"Aircel Chennai Open - Chennai" ,2013-01-01 ,"Sanchai Ratiwatana/Sonchat Ratiwatana" ,"Leander Paes/Edouard Roger Vasselin" ,2 ,0 ,7 ,6 , , , ,6 ,1 , , ,
"Aircel Chennai Open - Chennai" ,2013-01-01 ,"Aljaz Bedene/Blaz Kavcic" ,"Evgeny Donskoy/Andrey Kuznetsov" ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
"Brisbane International - Brisbane" ,2013-01-01 ,"Marcos Baghdatis/Jarkko Nieminen" ,"Juan Sebastian Cabal/Robert Farah" ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
"Brisbane International - Brisbane" ,2013-01-01 ,"Alejandro Falla/Santiago Giraldo" ,"Florian Mayer/Frank Moser" ,2 ,0 ,6 ,7 , , , ,3 ,6 , , ,
"Brisbane International - Brisbane" ,2013-01-01 ,"Marcelo Melo/Tommy Robredo" ,"Matthew Ebden/Marinko Matosevic" ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
"Qatar ExxonMobil Open - Doha" ,2013-01-01 ,"Christopher Kas/Philipp Kohlschreiber" ,"Viktor Troicki/Grega Zemlja" ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
"Qatar ExxonMobil Open - Doha" ,2013-01-01 ,"Fabio Fognini/David Marrero" ,"Abdulrahman Al Harib/Mousa Zayed" ,2 ,0 ,6 ,6 , , , ,1 ,1 , , ,
"Qatar ExxonMobil Open - Doha" ,2013-01-01 ,"Dustin Brown/Jonathan Marray" ,"Lukas Lacko/Albert Ramos Vinolas" ,2 ,0 ,6 ,7 , , , ,2 ,5 , , ,
"Qatar ExxonMobil Open - Doha" ,2013-01-01 ,"Julian Knowle/Filip Polasek" ,"Benjamin Becker/Ivan Dodig" ,2 ,1 ,6 ,6 ,1 , , ,7 ,3 ,8 , ,
"Sao Paulo Challenger" ,2013-01-01 ,"James Cerretani/Adil Shamasdin" ,"Thiago Alves/Julio Silva" ,2 ,1 ,6 ,4 ,1 , , ,4 ,6 ,7 , ,
"Sao Paulo Challenger" ,2013-01-01 ,"Rameez Junaid/Simon Stadler" ,"Facundo Bagnis/Alejandro Gonzalez" ,2 ,0 ,7 ,7 , , , ,6 ,6 , , ,
"Sao Paulo Challenger" ,2013-01-01 ,"Rik de Voest/Marcelo Demoliner" ,"Ariel Behar/Marco Trungelliti" ,2 ,0 ,7 ,6 , , , ,5 ,3 , , ,
"Aircel Chennai Open - Chennai" ,2013-01-02 ,"Rohan Bopanna/Rajeev Ram" ,"Yen Hsun Lu/Go Soeda" ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
"Aircel Chennai Open - Chennai" ,2013-01-02 ,"Andre Begemann/Martin Emmrich" ,"Jamie Delgado/Ken Skupski" ,2 ,0 ,7 ,6 , , , ,6 ,2 , , ,
