tournament, date, aName, bName, aSets, bSets, aS1, aS2, aS3, aS4, aS5, bS1, bS2, bS3, bS4, bS5
"Mubadala World Tennis Championship" ,2016-01-01 ,"Feliciano Lopez" ,"Kevin Anderson" ,2 ,0 ,7 ,7 , , , ,6 ,6 , , ,
"Mubadala World Tennis Championship" ,2016-01-01 ,"Rafael Nadal" ,"David Ferrer" ,2 ,1 ,6 ,6 ,6 , , ,3 ,7 ,3 , ,
"Mubadala World Tennis Championship" ,2016-01-01 ,"Milos Raonic" ,"Stan Wawrinka" ,2 ,0 ,7 ,7 , , , ,5 ,5 , , ,
"Aircel Chennai Open - Chennai" ,2016-01-02 ,"Alexander Kudryavtsev" ,"Frederik Nielsen" ,2 ,1 ,6 ,3 ,6 , , ,4 ,6 ,0 , ,
"Aircel Chennai Open - Chennai" ,2016-01-02 ,"Somdev Devvarman" ,"N. Vijay Sundar Prashanth" ,2 ,0 ,6 ,6 , , , ,2 ,3 , , ,
"Aircel Chennai Open - Chennai" ,2016-01-02 ,"Thomas Fabbiano" ,"Mikhail Elgin" ,1 ,0 ,6 ,3 , , , ,4 ,1 , , ,
"Aircel Chennai Open - Chennai" ,2016-01-02 ,"James Ward" ,"Jeevan Nedunchezhiyan" ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
"Aircel Chennai Open - Chennai" ,2016-01-02 ,"Saketh Sai Myneni" ,"Sanam Singh" ,2 ,0 ,6 ,6 , , , ,2 ,4 , , ,
"Aircel Chennai Open - Chennai" ,2016-01-02 ,"N.Sriram Balaji" ,"Hans Podlipnik Castillo" ,2 ,0 ,6 ,6 , , , ,2 ,4 , , ,
"Aircel Chennai Open - Chennai" ,2016-01-02 ,"Ante Pavic" ,"Elias Ymer" ,2 ,0 ,7 ,6 , , , ,5 ,2 , , ,
"Aircel Chennai Open - Chennai" ,2016-01-02 ,"Jozef Kovalik" ,"Prajnesh Gunneswaran" ,2 ,0 ,6 ,6 , , , ,3 ,0 , , ,
"Bangkok Challenger" ,2016-01-02 ,"Alex Kuznetsov" ,"Gerard Granollers" ,2 ,1 ,5 ,7 ,6 , , ,7 ,5 ,3 , ,
"Bangkok Challenger" ,2016-01-02 ,"Nikola Mektic" ,"Chayanon Kaewsuto" ,2 ,0 ,6 ,6 , , , ,3 ,1 , , ,
"Bangkok Challenger" ,2016-01-02 ,"Kento Takeuchi" ,"Kirill Dmitriev" ,2 ,0 ,6 ,7 , , , ,3 ,6 , , ,
"Bangkok Challenger" ,2016-01-02 ,"Jason Jung" ,"Shuichi Sekiguchi" ,2 ,0 ,7 ,6 , , , ,6 ,1 , , ,
"Bangkok Challenger" ,2016-01-02 ,"Dzmitry Zhyrmont" ,"Wishaya Trongcharoenchaikul" ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
"Bangkok Challenger" ,2016-01-02 ,"Maxime Teixeira" ,"Warit Sornbutnark" ,2 ,0 ,6 ,6 , , , ,2 ,4 , , ,
"Bangkok Challenger" ,2016-01-02 ,"Maximilian Neuchrist" ,"Frederico Ferreira Silva" ,2 ,1 ,4 ,6 ,7 , , ,6 ,1 ,6 , ,
"Bangkok Challenger" ,2016-01-02 ,"Alexey Vatutin" ,"Chaleechan Tanasugarn" ,2 ,0 ,7 ,6 , , , ,5 ,2 , , ,
"Bangkok Challenger" ,2016-01-02 ,"Filip Peliwo" ,"Aleksandre Metreveli" ,2 ,0 ,6 ,6 , , , ,1 ,4 , , ,
"Bangkok Challenger" ,2016-01-02 ,"Daniil Medvedev" ,"Liam Broady" ,2 ,0 ,6 ,6 , , , ,2 ,3 , , ,
"Bangkok Challenger" ,2016-01-02 ,"Robin Stanek" ,"Punnakrit Kritakara" ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
"Bangkok Challenger" ,2016-01-02 ,"Dmitry Popko" ,"Takanyi Garanganga" ,2 ,0 ,6 ,7 , , , ,3 ,5 , , ,
"Bangkok Challenger" ,2016-01-02 ,"Lucas Miedler" ,"Congsup Congcar" ,2 ,0 ,6 ,6 , , , ,0 ,0 , , ,
"Bangkok Challenger" ,2016-01-02 ,"Ilya Ivashka" ,"Lorenzo Giustino" ,2 ,1 ,6 ,4 ,6 , , ,0 ,6 ,2 , ,
"Brisbane International - Brisbane" ,2016-01-02 ,"Tobias Kamke" ,"Norbert Gombos" ,2 ,0 ,6 ,7 , , , ,2 ,5 , , ,
"Brisbane International - Brisbane" ,2016-01-02 ,"Ivan Dodig" ,"Omar Jasika" ,2 ,0 ,6 ,6 , , , ,1 ,3 , , ,
"Brisbane International - Brisbane" ,2016-01-02 ,"Tim Smyczek" ,"Matt Reid" ,2 ,1 ,6 ,6 ,6 , , ,3 ,7 ,3 , ,
"Brisbane International - Brisbane" ,2016-01-02 ,"Ernests Gulbis" ,"Marius Copil" ,2 ,0 ,6 ,6 , , , ,4 ,2 , , ,
"Brisbane International - Brisbane" ,2016-01-02 ,"Jurgen Zopp" ,"Thiemo de Bakker" ,2 ,0 ,6 ,7 , , , ,4 ,6 , , ,
"Brisbane International - Brisbane" ,2016-01-02 ,"Yoshihito Nishioka" ,"Lukasz Kubot" ,2 ,0 ,6 ,6 , , , ,2 ,0 , , ,
"Brisbane International - Brisbane" ,2016-01-02 ,"Jared Donaldson" ,"Pierre Hugues Herbert" ,2 ,1 ,3 ,6 ,6 , , ,6 ,3 ,4 , ,
"Brisbane International - Brisbane" ,2016-01-02 ,"Oliver Anderson" ,"Dennis Novikov" ,2 ,1 ,3 ,6 ,6 , , ,6 ,4 ,4 , ,
"Happy Valley Challenger" ,2016-01-02 ,"Peter Polansky" ,"Gian Marco Moroni" ,2 ,0 ,6 ,6 , , , ,3 ,1 , , ,
"Happy Valley Challenger" ,2016-01-02 ,"Steven De Waard" ,"Mislav Bosnjak" ,2 ,1 ,6 ,6 ,6 , , ,7 ,4 ,2 , ,
"Happy Valley Challenger" ,2016-01-02 ,"Blake Mott" ,"Brian Tran" ,2 ,0 ,6 ,6 , , , ,2 ,1 , , ,
"Happy Valley Challenger" ,2016-01-02 ,"Xin Gao" ,"Jake Delaney" ,2 ,0 ,6 ,7 , , , ,2 ,6 , , ,
"Happy Valley Challenger" ,2016-01-02 ,"Aleksandar Vukic" ,"Lawrence Bataljin" ,2 ,0 ,6 ,6 , , , ,1 ,1 , , ,
