tournament, date, aName, bName, aSets, bSets, aS1, aS2, aS3, aS4, aS5, bS1, bS2, bS3, bS4, bS5
"Hong Kong F3 (Hong Kong)" ,2018-12-21 ,"Agustin Velotti" ,"Marvin Mang Hin Lee" ,2 ,0 ,6 ,6 , , , ,0 ,1 , , ,
"Hong Kong F3 (Hong Kong)" ,2018-12-21 ,"Xin Gao" ,"Wai Yu Kai" ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,
"Hong Kong F3 (Hong Kong)" ,2018-12-21 ,"Issei Okamura" ,"Kyle Lok Yin Tang" ,2 ,0 ,6 ,6 , , , ,1 ,1 , , ,
"Hong Kong F3 (Hong Kong)" ,2018-12-21 ,"Aoran Wang" ,"Charles Hui" ,2 ,0 ,6 ,6 , , , ,0 ,0 , , ,
"Hong Kong F3 (Hong Kong)" ,2018-12-21 ,"Aleksei Khomich" ,"Yili Zheng" ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
"Hong Kong F3 (Hong Kong)" ,2018-12-21 ,"Runhao Hua" ,"Chun Lam" ,2 ,0 ,6 ,6 , , , ,2 ,0 , , ,
"Hong Kong F3 (Hong Kong)" ,2018-12-21 ,"Congsup Congcar" ,"William Poma" ,2 ,0 ,6 ,6 , , , ,0 ,0 , , ,
"Hong Kong F3 (Hong Kong)" ,2018-12-21 ,"Cing Yang Meng" ,"Douglas Geiwald" ,2 ,0 ,7 ,7 , , , ,6 ,5 , , ,
"Hong Kong F3 (Hong Kong)" ,2018-12-21 ,"Natthasith Kunsuwan" ,"Ching Yeung Michael Tam" ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
"Hong Kong F3 (Hong Kong)" ,2018-12-21 ,"Tsung Hao Huang" ,"Ki Lung Ng" ,1 ,0 ,6 ,3 , , , ,4 ,1 , , ,
"Hong Kong F3 (Hong Kong)" ,2018-12-21 ,"Hanyi Liu" ,"Marcus Kallioniemi" ,2 ,0 ,6 ,6 , , , ,0 ,1 , , ,
"Hong Kong F3 (Hong Kong)" ,2018-12-21 ,"Bang Shuo Yin" ,"Denton Ho" ,2 ,1 ,4 ,7 ,7 , , ,6 ,6 ,5 , ,
"Hong Kong F3 (Hong Kong)" ,2018-12-21 ,"Taisei Ichikawa" ,"Chak Lam Coleman Wong" ,2 ,0 ,6 ,6 , , , ,2 ,3 , , ,
"Pakistan F3 (Islamabad)" ,2018-12-21 ,"Kai Wehnelt" ,"Saida'Lo Saidkarimov" ,2 ,0 ,6 ,7 , , , ,0 ,5 , , ,
"Pakistan F3 (Islamabad)" ,2018-12-21 ,"Rio Noguchi" ,"Hamid Reza Nadaf" ,2 ,1 ,6 ,3 ,6 , , ,0 ,6 ,3 , ,
"Qatar F6 (Doha)" ,2018-12-21 ,"Aslan Karatsev" ,"Jesper De Jong" ,2 ,0 ,7 ,7 , , , ,5 ,5 , , ,
"Qatar F6 (Doha)" ,2018-12-21 ,"Lorenzo Frigerio" ,"Zizou Bergs" ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
