tournament,date,aName,bName,aSets,bSets,aS1,aS2,aS3,aS4,aS5,bS1,bS2,bS3,bS4,bS5,level,surface,federation
"Orlando Challenger" ,2019-01-01 00:00:00 ,"Gijs Brouwer" ,"Ricardo Ojeda Lara" ,2 ,1 ,5 ,6 ,6 , , ,7 ,0 ,2 , ,,Hard,challeger,ATP
"Orlando Challenger" ,2019-01-01 00:00:00 ,"Darian King" ,"Evan King" ,2 ,0 ,6 ,6 , , , ,0 ,2 , , ,,Hard,challeger,ATP
"Orlando Challenger" ,2019-01-01 00:00:00 ,"Lucas Miedler" ,"Jeff Wolf" ,2 ,1 ,5 ,6 ,6 , , ,7 ,3 ,4 , ,,Hard,challeger,ATP
"Orlando Challenger" ,2019-01-01 00:00:00 ,"Norbert Gombos" ,"Liam Broady" ,2 ,0 ,7 ,6 , , , ,5 ,2 , , ,,Hard,challeger,ATP
"Orlando Challenger" ,2019-01-01 00:00:00 ,"Evan Song" ,"Benjamin Bonzi" ,2 ,0 ,6 ,6 , , , ,2 ,4 , , ,,Hard,challeger,ATP
"Orlando Challenger" ,2019-01-01 00:00:00 ,"Johan Sebastien Tatlot" ,"Alexander Sarkissian" ,2 ,0 ,7 ,6 , , , ,5 ,0 , , ,,Hard,challeger,ATP
"Playford Challenger" ,2019-01-01 00:00:00 ,"Zhe Li" ,"Andrew Harris" ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,,Hard,challeger,ATP
"Playford Challenger" ,2019-01-01 00:00:00 ,"Tommy Paul" ,"Alexander Bublik" ,2 ,1 ,1 ,6 ,7 , , ,6 ,4 ,5 , ,,Hard,challeger,ATP
"Playford Challenger" ,2019-01-01 00:00:00 ,"Lloyd Harris" ,"Mohamed Safwat" ,2 ,1 ,6 ,6 ,7 , , ,4 ,7 ,6 , ,,Hard,challeger,ATP
"Playford Challenger" ,2019-01-01 00:00:00 ,"Enrique Lopez Perez" ,"Rinky Hijikata" ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,,Hard,challeger,ATP
"Playford Challenger" ,2019-01-01 00:00:00 ,"Aleksandar Vukic" ,"Chun Hsin Tseng" ,2 ,0 ,6 ,6 , , , ,4 ,0 , , ,,Hard,challeger,ATP
"Playford Challenger" ,2019-01-01 00:00:00 ,"Aleksandr Nedovesov" ,"Tatsuma Ito" ,2 ,0 ,7 ,6 , , , ,5 ,4 , , ,,Hard,challeger,ATP
"Playford Challenger" ,2019-01-01 00:00:00 ,"Ernesto Escobedo" ,"Matteo Donati" ,2 ,0 ,7 ,7 , , , ,6 ,6 , , ,,Hard,challeger,ATP
"Playford Challenger" ,2019-01-01 00:00:00 ,"Hiroki Moriya" ,"Corentin Moutet" ,2 ,0 ,6 ,6 , , , ,1 ,4 , , ,,Hard,challeger,ATP
"Playford Challenger" ,2019-01-01 00:00:00 ,"Rogerio Dutra Da Silva" ,"Sadio Doumbia" ,2 ,0 ,6 ,7 , , , ,1 ,6 , , ,,Hard,challeger,ATP
"Playford Challenger" ,2019-01-01 00:00:00 ,"Henri Laaksonen" ,"Calvin Hemery" ,2 ,1 ,2 ,6 ,6 , , ,6 ,4 ,4 , ,,Hard,challeger,ATP
"Playford Challenger" ,2019-01-01 00:00:00 ,"Tobias Kamke" ,"Pedja Krstin" ,2 ,0 ,7 ,6 , , , ,5 ,4 , , ,,Hard,challeger,ATP
"Qatar ExxonMobil Open - Doha" ,2019-01-01 00:00:00 ,"Guido Pella" ,"Cem Ilkel" ,2 ,0 ,7 ,6 , , , ,6 ,3 , , ,,Hard,atp,ATP
"Qatar ExxonMobil Open - Doha" ,2019-01-01 00:00:00 ,"Richard Berankis" ,"David Goffin" ,2 ,1 ,3 ,6 ,7 , , ,6 ,4 ,6 , ,,Hard,atp,ATP
"Qatar ExxonMobil Open - Doha" ,2019-01-01 00:00:00 ,"Marco Cecchinato" ,"Sergiy Stakhovsky" ,2 ,0 ,6 ,6 , , , ,4 ,2 , , ,,Hard,atp,ATP
"Qatar ExxonMobil Open - Doha" ,2019-01-01 00:00:00 ,"Dusan Lajovic" ,"Adrian Mannarino" ,2 ,0 ,6 ,7 , , , ,3 ,6 , , ,,Hard,atp,ATP
"Qatar ExxonMobil Open - Doha" ,2019-01-01 00:00:00 ,"Guillermo Garcia Lopez" ,"Mubarak Shannan Zayid" ,2 ,0 ,6 ,6 , , , ,1 ,3 , , ,,Hard,atp,ATP
"Qatar ExxonMobil Open - Doha" ,2019-01-01 00:00:00 ,"Stan Wawrinka" ,"Karen Khachanov" ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,,Hard,atp,ATP
"Qatar ExxonMobil Open - Doha" ,2019-01-01 00:00:00 ,"Marton Fucsovics" ,"Marius Copil" ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,,Hard,atp,ATP
"Qatar ExxonMobil Open - Doha" ,2019-01-01 00:00:00 ,"Novak Djokovic" ,"Damir Dzumhur" ,2 ,0 ,6 ,6 , , , ,1 ,2 , , ,,Hard,atp,ATP
"Qatar ExxonMobil Open - Doha" ,2019-01-01 00:00:00 ,"Pierre Hugues Herbert" ,"Dominic Thiem" ,2 ,0 ,6 ,7 , , , ,3 ,5 , , ,,Hard,atp,ATP
"Tata Open Maharashtra - Pune" ,2019-01-01 00:00:00 ,"Ivo Karlovic" ,"Felix Auger Aliassime" ,2 ,0 ,6 ,7 , , , ,4 ,5 , , ,,Hard,atp,ATP
"Tata Open Maharashtra - Pune" ,2019-01-01 00:00:00 ,"Simone Bolelli" ,"Denis Istomin" ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,,Hard,atp,ATP
"Tata Open Maharashtra - Pune" ,2019-01-01 00:00:00 ,"Ilya Ivashka" ,"Hubert Hurkacz" ,2 ,1 ,6 ,6 ,6 , , ,7 ,2 ,3 , ,,Hard,atp,ATP
"Tata Open Maharashtra - Pune" ,2019-01-01 00:00:00 ,"Jiri Vesely" ,"Antoine Hoang" ,2 ,1 ,4 ,6 ,6 , , ,6 ,4 ,4 , ,,Hard,atp,ATP
"Tata Open Maharashtra - Pune" ,2019-01-01 00:00:00 ,"Benoit Paire" ,"Thiago Moura Monteiro" ,2 ,0 ,7 ,6 , , , ,6 ,3 , , ,,Hard,atp,ATP
"Tata Open Maharashtra - Pune" ,2019-01-01 00:00:00 ,"Ramkumar Ramanathan" ,"Marcel Granollers" ,2 ,1 ,4 ,6 ,6 , , ,6 ,4 ,3 , ,,Hard,atp,ATP
"Tata Open Maharashtra - Pune" ,2019-01-01 00:00:00 ,"Laslo Djere" ,"Arjun Kadhe" ,2 ,0 ,7 ,7 , , , ,5 ,6 , , ,,Hard,atp,ATP
"Brisbane International - Brisbane" ,2019-01-02 00:00:00 ,"Grigor Dimitrov" ,"John Millman" ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,,Hard,atp,ATP
"Brisbane International - Brisbane" ,2019-01-02 00:00:00 ,"Yasutaka Uchiyama" ,"Kyle Edmund" ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,,Hard,atp,ATP
"Brisbane International - Brisbane" ,2019-01-02 00:00:00 ,"Kei Nishikori" ,"Denis Kudla" ,2 ,0 ,7 ,6 , , , ,5 ,2 , , ,,Hard,atp,ATP
