tournament,date,aName,bName,aSets,bSets,aS1,aS2,aS3,aS4,aS5,bS1,bS2,bS3,bS4,bS5,surface,level,federation
"Davis Cup, World Group, QF, SUI-FRA 3-2 2003" ,2003-04-05 00:00:00 ,"Roger Federer/Marc Rosset" ,"Nicolas Escude/Fabrice Santoro" ,3 ,1 ,6 ,3 ,6 ,7 , ,4 ,6 ,3 ,6 , ,I. HARD ,DAVIS ,ITF
"Davis Cup, World Group, F, AUS-ESP 3-1 2003" ,2003-11-29 00:00:00 ,"Wayne Arthurs/Todd Woodbridge" ,"Alex Corretja/Feliciano Lopez" ,3 ,0 ,6 ,6 ,6 , , ,3 ,1 ,3 , , ,GRASS ,DAVIS ,ITF
"ATP Challenger 2003 Numea - New Caledonia 2004" ,2004-01-01 00:00:00 ,"Vincent Baudat/Michael Staniak" ,"Ulf Fischer/Florian Mayer" ,2 ,0 ,6 ,7 , , , ,2 ,6 , , , ,HARD ,challeger ,ATP
"ATP Challenger 2003 Numea - New Caledonia 2004" ,2004-01-01 00:00:00 ,"Philipp Kohlschreiber/Oliver Marach" ,"Anthony Ross/Joseph Sirianni" ,2 ,0 ,7 ,7 , , , ,6 ,6 , , , ,HARD ,challeger ,ATP
"ATP Challenger 2003 Numea - New Caledonia 2004" ,2004-01-01 00:00:00 ,"Fred Hemmes/Tom Nijssen" ,"Ryan Azougga/Aurelien David" ,2 ,0 ,6 ,6 , , , ,0 ,0 , , , ,HARD ,challeger ,ATP
"ATP Challenger 2003 Numea - New Caledonia 2004" ,2004-01-01 00:00:00 ,"Pierre Henri Guillaume/Philippe Poignon" ,"Nicolas Frayssinoux/Philippe Frayssinoux" ,2 ,1 ,6 ,6 ,6 , , ,7 ,3 ,1 , , ,HARD ,challeger ,ATP
"ATP Challenger 2003 Numea - New Caledonia 2004" ,2004-01-01 00:00:00 ,"Guillermo Canas/Diego Veronelli" ,"Jean Francois Bachelot/Jerome Golmard" ,2 ,0 ,6 ,6 , , , ,4 ,3 , , , ,HARD ,challeger ,ATP
"ATP Challenger 2003 Numea - New Caledonia 2004" ,2004-01-01 00:00:00 ,"Luke Bourgeois/Vince Mellino" ,"Tomas Cakl/Petr Kralert" ,2 ,0 ,6 ,6 , , , ,2 ,2 , , , ,HARD ,challeger ,ATP
"ATP Challenger 2003 Numea - New Caledonia 2004" ,2004-01-02 00:00:00 ,"Ashley Fisher/Stephen Huss" ,"Vincent Baudat/Michael Staniak" ,2 ,0 ,7 ,6 , , , ,5 ,2 , , , ,HARD ,challeger ,ATP
"ATP Challenger 2003 Numea - New Caledonia 2004" ,2004-01-02 00:00:00 ,"Philipp Kohlschreiber/Oliver Marach" ,"Fred Hemmes/Tom Nijssen" ,1 ,0 ,w , , , , , , , , , ,HARD ,challeger ,ATP
"ATP Challenger 2003 Numea - New Caledonia 2004" ,2004-01-02 00:00:00 ,"Pierre Henri Guillaume/Philippe Poignon" ,"Guillermo Canas/Diego Veronelli" ,1 ,0 ,w , , , , , , , , , ,HARD ,challeger ,ATP
"ATP Challenger 2003 Numea - New Caledonia 2004" ,2004-01-02 00:00:00 ,"Luke Bourgeois/Vince Mellino" ,"Yves Allegro/Lars Burgsmuller" ,2 ,0 ,6 ,6 , , , ,4 ,4 , , , ,HARD ,challeger ,ATP
"ATP Challenger 2003 Numea - New Caledonia 2004" ,2004-01-03 00:00:00 ,"Ashley Fisher/Stephen Huss" ,"Philipp Kohlschreiber/Oliver Marach" ,2 ,0 ,6 ,6 , , , ,3 ,3 , , , ,HARD ,challeger ,ATP
"ATP Challenger 2003 Numea - New Caledonia 2004" ,2004-01-03 00:00:00 ,"Luke Bourgeois/Vince Mellino" ,"Pierre Henri Guillaume/Philippe Poignon" ,2 ,0 ,6 ,6 , , , ,1 ,2 , , , ,HARD ,challeger ,ATP
"ATP Challenger 2003 Numea - New Caledonia 2004" ,2004-01-04 00:00:00 ,"Ashley Fisher/Stephen Huss" ,"Luke Bourgeois/Vince Mellino" ,2 ,1 ,3 ,6 ,6 , , ,6 ,4 ,4 , , ,HARD ,challeger ,ATP
"AAPT Championships - Adelaide 2004" ,2004-01-05 00:00:00 ,"Simon Aspelin/Massimo Bertolini" ,"Wayne Black/Kevin Ullyett" ,2 ,0 ,7 ,6 , , , ,6 ,4 , , , ,HARD ,atp ,ATP
"Qatar Open - Doha 2004" ,2004-01-05 00:00:00 ,"Frantisek Cermak/Leos Friedl" ,"Jonas Bjorkman/Todd Woodbridge" ,2 ,1 ,6 ,6 ,6 , , ,7 ,2 ,4 , , ,HARD ,atp ,ATP
"Qatar Open - Doha 2004" ,2004-01-05 00:00:00 ,"Martin Damm/Cyril Suk" ,"Tomas Cibulec/Radek Stepanek" ,2 ,0 ,6 ,6 , , , ,4 ,4 , , , ,HARD ,atp ,ATP
"Qatar Open - Doha 2004" ,2004-01-05 00:00:00 ,"Jan Michael Gambill/Travis Parrott" ,"Juan Ignacio Chela/Nicolas Massu" ,2 ,1 ,4 ,6 ,6 , , ,6 ,4 ,2 , , ,HARD ,atp ,ATP
"Qatar Open - Doha 2004" ,2004-01-05 00:00:00 ,"Nicolas Escude/Sebastien Grosjean" ,"Ivan Ljubicic/Filippo Volandri" ,2 ,0 ,7 ,6 , , , ,5 ,4 , , , ,HARD ,atp ,ATP
"Qatar Open - Doha 2004" ,2004-01-05 00:00:00 ,"Agustin Calleri/Gregory Carraz" ,"Jared Palmer/Pavel Vizner" ,2 ,1 ,6 ,1 ,6 , , ,4 ,6 ,3 , , ,HARD ,atp ,ATP
"Qatar Open - Doha 2004" ,2004-01-05 00:00:00 ,"Stefan Koubek/Andy Roddick" ,"Hicham Arazi/Younes El Aynaoui" ,1 ,0 ,5 , , , , ,2 , , , , ,HARD ,atp ,ATP
"Tata Open - Chennai 2004" ,2004-01-05 00:00:00 ,"Rafael Nadal/Tommy Robredo" ,"Jordan Kerr/Jim Thomas" ,2 ,1 ,6 ,6 ,6 , , ,2 ,7 ,3 , , ,HARD ,atp ,ATP
"Qatar Open - Doha 2004" ,2004-01-06 00:00:00 ,"Mark Knowles/Daniel Nestor" ,"Jeff Coetzee/Chris Haggard" ,2 ,0 ,6 ,6 , , , ,1 ,1 , , , ,HARD ,atp ,ATP
"Qatar Open - Doha 2004" ,2004-01-06 00:00:00 ,"Sargis Sargsian/Nenad Zimonjic" ,"Rainer Schuettler/Mikhail Youzhny" ,2 ,0 ,6 ,6 , , , ,2 ,1 , , , ,HARD ,atp ,ATP
