tournament,date,aName,bName,aSets,bSets,aS1,aS2,aS3,aS4,aS5,bS1,bS2,bS3,bS4,bS5,surface,level,federation
"Burnie Challenger 2019" ,2019-01-26 00:00:00 ,"Mirza Basic/Tomislav Brkic" ,"John Paul Fruttero/David Perez Sanz" ,2 ,0 ,7 ,6 , , , ,5 ,2 , , , ,HARD ,challeger ,ATP
"Burnie Challenger 2019" ,2019-01-26 00:00:00 ,"Lloyd Harris/Dudi Sela" ,"Max Purcell/Luke Saville" ,2 ,0 ,7 ,7 , , , ,6 ,6 , , , ,HARD ,challeger ,ATP
"Newport Beach Challenger 2019" ,2019-01-26 00:00:00 ,"Romain Arneodo/Andrei Vasilevski" ,"Miomir Kecmanovic/Darian King" ,2 ,0 ,6 ,6 , , , ,1 ,3 , , , ,HARD ,challeger ,ATP
"Punta Del Este Challenger 2019" ,2019-01-26 00:00:00 ,"Guido Andreozzi/Guillermo Duran" ,"Sander Gille/Joran Vliegen" ,2 ,1 ,6 ,6 ,1 , , ,2 ,7 ,8 , , ,CLAY ,challeger ,ATP
"Rennes Challenger 2019" ,2019-01-26 00:00:00 ,"David Pel/Antonio Sancic" ,"Fabricio Neis/Purav Raja" ,2 ,0 ,6 ,6 , , , ,3 ,4 , , , ,I. HARD ,challeger ,ATP
"Australian Open - Melbourne 2019" ,2019-01-27 00:00:00 ,"Pierre Hugues Herbert/Nicolas Mahut" ,"Henri Kontinen/John Peers" ,2 ,0 ,6 ,7 , , , ,4 ,6 , , , ,HARD ,grandSlam ,GS
"Burnie Challenger 2019" ,2019-01-27 00:00:00 ,"Lloyd Harris/Dudi Sela" ,"Mirza Basic/Tomislav Brkic" ,2 ,1 ,6 ,6 ,1 , , ,3 ,7 ,8 , , ,HARD ,challeger ,ATP
"Newport Beach Challenger 2019" ,2019-01-27 00:00:00 ,"Robert Galloway/Nathaniel Lammons" ,"Romain Arneodo/Andrei Vasilevski" ,2 ,0 ,7 ,7 , , , ,5 ,6 , , , ,HARD ,challeger ,ATP
"Rennes Challenger 2019" ,2019-01-27 00:00:00 ,"Sander Arends/Tristan Samuel Weissborn" ,"David Pel/Antonio Sancic" ,2 ,0 ,6 ,6 , , , ,4 ,4 , , , ,I. HARD ,challeger ,ATP
"Cleveland Challenger 2019" ,2019-01-29 00:00:00 ,"Ian Dempster/Robert Kelly" ,"Paul Gota/Nico Mostardi" ,2 ,0 ,6 ,6 , , , ,4 ,2 , , , ,I. HARD ,challeger ,ATP
"Cleveland Challenger 2019" ,2019-01-29 00:00:00 ,"N.Sriram Balaji/Hans Hach Verdugo" ,"Gonzalo Escobar/Roberto Maytin" ,2 ,0 ,7 ,6 , , , ,5 ,1 , , , ,I. HARD ,challeger ,ATP
