tournament,date,date_real,aName,bName,aSets,bSets,aS1,aS2,aS3,aS4,aS5,bS1,bS2,bS3,bS4,bS5,surface,level,federation
M25 Nussloch 2019 ,26/01/2019 00:00,2019-01-26 00:00:00,Peter Heller ,Tim Van Rijthoven ,2,1,6,3,7, , ,4,6,6, , ,CARPET ,futures ,ITF
M25 Nussloch 2019 ,26/01/2019 00:00,2019-01-26 00:00:00,Botic Van De Zandschulp ,Alexander Erler ,2,0,6,6, , , ,3,3, , , ,CARPET ,futures ,ITF
M25 Palm Coast 2019 ,26/01/2019 00:00,2019-01-26 00:00:00,Sekou Bangoura ,Or Ram Harel ,2,1,6,6,7, , ,7,1,5, , ,CLAY ,futures ,ITF
M25 Palm Coast 2019 ,26/01/2019 00:00,2019-01-26 00:00:00,Nicolas Alvarez ,Alessandro Petrone ,2,0,6,6, , , ,1,4, , , ,CLAY ,futures ,ITF
Newport Beach Challenger 2019 ,26/01/2019 00:00,2019-01-26 00:00:00,Brayden Schnur ,Donald Young ,2,1,6,3,7, , ,2,6,6, , ,HARD ,challeger ,ATP
Newport Beach Challenger 2019 ,26/01/2019 00:00,2019-01-26 00:00:00,Taylor Harry Fritz ,Enzo Couacaud ,2,0,6,6, , , ,1,4, , , ,HARD ,challeger ,ATP
Punta Del Este Challenger 2019 ,26/01/2019 00:00,2019-01-26 00:00:00,Facundo Arguello ,Facundo Bagnis ,2,0,6,6, , , ,2,2, , , ,CLAY ,challeger ,ATP
Punta Del Este Challenger 2019 ,26/01/2019 00:00,2019-01-26 00:00:00,Thiago Moura Monteiro ,Emilio Gomez ,2,0,7,6, , , ,6,3, , , ,CLAY ,challeger ,ATP
Rennes Challenger 2019 ,26/01/2019 00:00,2019-01-26 00:00:00,Richard Berankis ,Yannick Maden ,2,0,6,6, , , ,4,4, , , ,I. HARD ,challeger ,ATP
Rennes Challenger 2019 ,26/01/2019 00:00,2019-01-26 00:00:00,Antoine Hoang ,Corentin Moutet ,2,1,4,7,6, , ,6,6,4, , ,I. HARD ,challeger ,ATP
Australian Open - Melbourne 2019 ,27/01/2019 00:00,2019-01-27 00:00:00,Novak Djokovic ,Rafael Nadal ,3,0,6,6,6, , ,3,2,3, , ,HARD ,grandSlam ,GS
Burnie Challenger 2019 ,27/01/2019 00:00,2019-01-27 00:00:00,Steven Diez ,Maverick Banes ,2,0,7,6, , , ,5,1, , , ,HARD ,challeger ,ATP
M15 Antalya 2019 ,27/01/2019 00:00,2019-01-27 00:00:00,Matej Sabanov ,Dejan Katic ,2,1,6,0,1, , ,3,6,5, , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,27/01/2019 00:00,2019-01-27 00:00:00,Ivan Sabanov ,Simone Roncalli ,1,0,6,3, , , ,2,1, , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,27/01/2019 00:00,2019-01-27 00:00:00,Tom Fawcett ,Georg Winkler ,2,1,7,6,1, , ,6,7,2, , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,27/01/2019 00:00,2019-01-27 00:00:00,Simon Freund ,Wilson Leite ,2,0,6,6, , , ,2,2, , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,27/01/2019 00:00,2019-01-27 00:00:00,Simon Freund ,Matyas Fuele ,2,1,6,4,1, , ,2,6,6, , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,27/01/2019 00:00,2019-01-27 00:00:00,Ergi Kirkin ,Gokberk Ergeneman ,2,0,6,6, , , ,0,1, , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,27/01/2019 00:00,2019-01-27 00:00:00,Luis Gomar Monio ,Alexander Ovcharov ,2,0,6,6, , , ,2,4, , , ,CLAY ,futures ,ITF
M15 Monastir 2019 ,27/01/2019 00:00,2019-01-27 00:00:00,Skander Mansouri ,Gilbert Soares Klier Junior ,2,0,7,6, , , ,5,1, , , ,HARD ,futures ,ITF
M15 Palmanova 2019 ,27/01/2019 00:00,2019-01-27 00:00:00,Francisco Cerundolo ,Sandro Ehrat ,2,1,2,6,6, , ,6,2,3, , ,CLAY ,futures ,ITF
M15 Veigy-Foncenex 2019 ,27/01/2019 00:00,2019-01-27 00:00:00,Christopher Heyman ,Maxime Tchoutakian ,2,1,7,6,6, , ,5,7,0, , ,CARPET ,futures ,ITF
M25 Kazan 2019 ,27/01/2019 00:00,2019-01-27 00:00:00,Sanjar Fayziev ,Teimuraz Gabashvili ,2,0,6,7, , , ,3,5, , , ,I. HARD ,futures ,ITF
M25 Nussloch 2019 ,27/01/2019 00:00,2019-01-27 00:00:00,Botic Van De Zandschulp ,Peter Heller ,2,0,6,6, , , ,2,2, , , ,CARPET ,futures ,ITF
Newport Beach Challenger 2019 ,27/01/2019 00:00,2019-01-27 00:00:00,Taylor Harry Fritz ,Brayden Schnur ,2,0,7,6, , , ,6,4, , , ,HARD ,challeger ,ATP
Punta Del Este Challenger 2019 ,27/01/2019 00:00,2019-01-27 00:00:00,Thiago Moura Monteiro ,Facundo Arguello ,2,1,3,6,6, , ,6,2,3, , ,CLAY ,challeger ,ATP
Rennes Challenger 2019 ,27/01/2019 00:00,2019-01-27 00:00:00,Richard Berankis ,Antoine Hoang ,2,0,6,6, , , ,4,2, , , ,I. HARD ,challeger ,ATP
Cleveland Challenger 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Roberto Marcora ,Dennis Novikov ,2,1,6,4,7, , ,3,6,5, , ,I. HARD ,challeger ,ATP
Cleveland Challenger 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Danilo Petrovic ,Ante Pavic ,2,1,7,4,7, , ,6,6,6, , ,I. HARD ,challeger ,ATP
Cleveland Challenger 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Mikael Torpegaard ,Vincent Millot ,2,0,6,6, , , ,3,3, , , ,I. HARD ,challeger ,ATP
Cleveland Challenger 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Kevin King ,Felix Corwin ,2,0,6,6, , , ,1,3, , , ,I. HARD ,challeger ,ATP
Cleveland Challenger 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Mario Vilella Martinez ,Evgeny Karlovskiy ,2,0,6,6, , , ,4,3, , , ,I. HARD ,challeger ,ATP
Cleveland Challenger 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Stefan Kozlov ,Louis Wessels ,2,1,6,5,7, , ,4,7,5, , ,I. HARD ,challeger ,ATP
Cleveland Challenger 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Jared Hiltzik ,Justin Boulais ,2,0,6,7, , , ,3,6, , , ,I. HARD ,challeger ,ATP
Cleveland Challenger 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Jan Choinski ,Tom Jomby ,1,0,6,2, , , ,2,1, , , ,I. HARD ,challeger ,ATP
Cleveland Challenger 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Benjamin Bonzi ,Alexander Sarkissian ,2,0,6,6, , , ,2,3, , , ,I. HARD ,challeger ,ATP
Cleveland Challenger 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Borna Gojo ,Michael Redlicki ,2,1,6,6,6, , ,3,7,4, , ,I. HARD ,challeger ,ATP
Cleveland Challenger 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Ulises Blanch ,Evan Song ,2,0,7,7, , , ,6,5, , , ,I. HARD ,challeger ,ATP
Cleveland Challenger 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Roy Smith ,Gijs Brouwer ,2,0,7,6, , , ,6,3, , , ,I. HARD ,challeger ,ATP
Cleveland Challenger 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Jeff Wolf ,Ryan Shane ,2,0,6,6, , , ,1,2, , , ,I. HARD ,challeger ,ATP
Cleveland Challenger 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Maxime Cressy ,Gonzalo Escobar ,2,1,6,4,6, , ,3,6,3, , ,I. HARD ,challeger ,ATP
Launceston Challenger 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Tsung Hua Yang ,Aleksandar Vukic ,2,0,6,6, , , ,3,2, , , ,HARD ,challeger ,ATP
Launceston Challenger 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Alessandro Bega ,Thomas Fancutt ,2,0,6,6, , , ,2,3, , , ,HARD ,challeger ,ATP
Launceston Challenger 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Enrique Lopez Perez ,Sebastian Fanselow ,2,0,6,6, , , ,4,2, , , ,HARD ,challeger ,ATP
Launceston Challenger 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Luke Saville ,Alexander Zhurbin ,2,0,6,6, , , ,2,2, , , ,HARD ,challeger ,ATP
Launceston Challenger 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Daniel Nguyen ,Dayne Kelly ,2,1,6,2,7, , ,3,6,5, , ,HARD ,challeger ,ATP
Launceston Challenger 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Harry Bourchier ,Bradley Mousley ,1,0,7,3,1, , ,6, ,0, , ,HARD ,challeger ,ATP
Launceston Challenger 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Tristan Lamasine ,Renta Tokuda ,2,0,6,6, , , ,4,1, , , ,HARD ,challeger ,ATP
Launceston Challenger 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,David Perez Sanz ,Jordi Samper Montana ,2,0,6,6, , , ,3,3, , , ,HARD ,challeger ,ATP
Launceston Challenger 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Andrew Harris ,Rinky Hijikata ,2,1,1,7,6, , ,6,6,3, , ,HARD ,challeger ,ATP
Launceston Challenger 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Yunseong Chung ,Jose Statham ,2,0,6,6, , , ,4,3, , , ,HARD ,challeger ,ATP
Launceston Challenger 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Yusuke Takahashi ,Daniel Altmaier ,2,1,4,6,6, , ,6,4,4, , ,HARD ,challeger ,ATP
Launceston Challenger 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Blake Ellis ,Christopher O'Connell ,2,0,7,6, , , ,6,4, , , ,HARD ,challeger ,ATP
Launceston Challenger 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Nicola Kuhn ,Andrew Whittington ,2,0,6,7, , , ,1,5, , , ,HARD ,challeger ,ATP
Launceston Challenger 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Yuta Shimizu ,Sadio Doumbia ,2,1,6,5,6, , ,3,7,3, , ,HARD ,challeger ,ATP
M15 Antalya 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Sagadat Ayap ,Pavel Nejedly ,1,0,4,1, , , ,6,3, , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Matej Sabanov ,Sheil Kotecha ,2,0,6,6, , , ,0,0, , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Ivan Sabanov ,Alexandros Skorilas ,2,1,6,5,1, , ,0,7,8, , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Ivan Sabanov ,Tom Fawcett ,1,0,w , , , , , , , , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Pavle Daljev ,Kaan Cepel ,2,0,6,6, , , ,3,1, , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Ioannis Stergiou ,Mikolaj Lorens ,2,0,6,6, , , ,0,1, , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Ioannis Stergiou ,Kayra Kargin ,2,0,6,6, , , ,0,0, , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Razvan Marius Codescu ,Tomas Vanko ,2,1,6,4,1, , ,2,6,7, , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Ergi Kirkin ,Andres Fernandez Canovas ,2,0,6,6, , , ,3,1, , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Sho Shimabukuro ,Pavle Daljev ,2,0,6,6, , , ,4,4, , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Louroi Martinez ,Razvan Marius Codescu ,2,0,7,6, , , ,5,4, , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Juan Manuel Cerundolo ,Mikolaj Lorens ,2,0,6,6, , , ,1,2, , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Alexandros Skorilas ,Stefanos Sakellaridis ,2,0,6,6, , , ,3,1, , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Bulat Galiev ,Hanyi Liu ,2,1,2,6,1, , ,6,3,1, , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Bulat Galiev ,Michalis Sakellaridis ,2,1,2,6,1, , ,6,4,3, , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Sheil Kotecha ,Chattarin Wareesri ,2,0,6,6, , , ,0,1, , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Samuel Brosset ,Maciej Rajski ,2,0,7,6, , , ,6,4, , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Mikolaj Lorens ,Mihnea Lorin Stefan Turcu ,2,1,1,6,1, , ,6,3,1, , ,CLAY ,futures ,ITF
M15 Monastir 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Erik Crepaldi ,Masi Sarpola ,2,0,6,6, , , ,3,1, , , ,HARD ,futures ,ITF
M15 Monastir 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Alban Meuffels ,Mousa Zayed ,2,0,6,6, , , ,0,0, , , ,HARD ,futures ,ITF
M15 Monastir 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Lucas Bouquet ,Lorenzo Seroddi ,2,0,6,6, , , ,0,1, , , ,HARD ,futures ,ITF
M15 Monastir 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Skyler Butts ,Mykyta Rassolov ,2,0,6,6, , , ,1,2, , , ,HARD ,futures ,ITF
M15 Monastir 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Valentin Guenther ,Domen Gostincar ,2,1,6,3,1, , ,4,6,6, , ,HARD ,futures ,ITF
M15 Monastir 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Loic Ratsaratany ,Philipp Schroll ,2,0,6,6, , , ,3,3, , , ,HARD ,futures ,ITF
M15 Monastir 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Luis Faria ,Joseph W. Van Meter ,2,0,6,6, , , ,1,3, , , ,HARD ,futures ,ITF
M15 Monastir 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Clement Larriere ,Alessandro Procopio ,2,1,3,6,1, , ,6,3,8, , ,HARD ,futures ,ITF
M15 Monastir 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Aaron Schmid ,Anton Desyatnik ,2,0,6,6, , , ,4,3, , , ,HARD ,futures ,ITF
M15 Monastir 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Clement Tabur ,Gianmarco Amatiste ,2,0,6,6, , , ,0,2, , , ,HARD ,futures ,ITF
M15 Monastir 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Clement Tabur ,Loic Ratsaratany ,2,0,6,7, , , ,0,5, , , ,HARD ,futures ,ITF
M15 Monastir 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Buvaysar Gadamauri ,Darko Bojanovic ,1,0,6,3, , , ,4,0, , , ,HARD ,futures ,ITF
M15 Monastir 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Samuel Philp ,Buvaysar Gadamauri ,2,0,6,6, , , ,3,2, , , ,HARD ,futures ,ITF
M15 Monastir 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Samuel Philp ,Brian Bencic ,2,1,4,6,1, , ,6,2,6, , ,HARD ,futures ,ITF
M15 Palmanova 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Jakob Sude ,Joan B Borras Isern ,2,0,6,6, , , ,4,1, , , ,CLAY ,futures ,ITF
M15 Palmanova 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Sergio Martos Gornes ,Vasisht Cheruku ,2,1,4,7,1, , ,6,6,7, , ,CLAY ,futures ,ITF
M15 Palmanova 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Peter Goldsteiner ,Gregorio Cordonnier ,2,1,6,3,1, , ,3,6,8, , ,CLAY ,futures ,ITF
M15 Palmanova 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Dennis Uspensky ,Paul Valsecchi ,2,0,6,6, , , ,2,1, , , ,CLAY ,futures ,ITF
M15 Palmanova 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Quentin Folliot ,Matias Montanes Tutzo ,2,0,7,6, , , ,6,2, , , ,CLAY ,futures ,ITF
M15 Palmanova 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Ivan Marrero Curbelo ,Alex Sanchez Gonzalez Alejandro ,2,1,5,6,1, , ,7,4,5, , ,CLAY ,futures ,ITF
M15 Palmanova 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Carlos Sanchez Jover ,Cayetano March ,2,1,6,5,1, , ,4,7,3, , ,CLAY ,futures ,ITF
M15 Palmanova 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Simon Carr ,Pablo Irigaray Guarne ,2,0,7,6, , , ,6,3, , , ,CLAY ,futures ,ITF
M15 Palmanova 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Imanol Lopez Morillo ,Zakhar Trapeznikov ,2,0,6,7, , , ,2,6, , , ,CLAY ,futures ,ITF
M15 Palmanova 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Adil Kalyanpur ,Boyao Huang ,2,0,6,6, , , ,2,2, , , ,CLAY ,futures ,ITF
M15 Palmanova 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Alex Marti Pujolras ,Matvey Khomentovskiy ,2,0,6,6, , , ,4,3, , , ,CLAY ,futures ,ITF
M15 Palmanova 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Benjamin Winter Lopez ,Juan Pablo Canas Garcia ,2,0,6,6, , , ,3,1, , , ,CLAY ,futures ,ITF
M15 Sharm El Sheikh 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Karim Mohamed Maamoun ,Pablo Vivero Gonzalez ,2,1,6,6,6, , ,7,3,4, , ,HARD ,futures ,ITF
M15 Sharm El Sheikh 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Toby Martin ,Stefan Cizelj Zivkovic ,2,0,6,6, , , ,1,1, , , ,HARD ,futures ,ITF
M15 Sharm El Sheikh 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Toby Martin ,Christian Langmo ,2,0,6,6, , , ,4,2, , , ,HARD ,futures ,ITF
M15 Sharm El Sheikh 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Connor Farren ,Oleg Khotkov ,2,0,6,6, , , ,2,4, , , ,HARD ,futures ,ITF
M15 Sharm El Sheikh 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Jose Fco. Vidal Azorin ,Bart Van Den Berg ,2,0,6,7, , , ,1,6, , , ,HARD ,futures ,ITF
M15 Sharm El Sheikh 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Jose Fco. Vidal Azorin ,Federico Iannaccone ,2,0,6,6, , , ,2,2, , , ,HARD ,futures ,ITF
M15 Sharm El Sheikh 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Christian Langmo ,Neil Oberleitner ,2,1,6,6,1, , ,3,7,1, , ,HARD ,futures ,ITF
M15 Sharm El Sheikh 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Olexiy Kolisnyk ,Bjorn Nareyka ,2,0,7,6, , , ,6,4, , , ,HARD ,futures ,ITF
M15 Sharm El Sheikh 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Olexiy Kolisnyk ,Connor Farren ,2,0,6,7, , , ,4,6, , , ,HARD ,futures ,ITF
M15 Sharm El Sheikh 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Mats Rosenkranz ,Gnana Bhaskar Paramatmuni Venkata ,2,0,6,6, , , ,4,0, , , ,HARD ,futures ,ITF
M15 Sharm El Sheikh 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Alen Rogic Hadzalic ,Vladyslav Orlov ,2,0,7,7, , , ,5,6, , , ,HARD ,futures ,ITF
M15 Sharm El Sheikh 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Petr Hajek ,Igor Sao Thiago ,2,0,6,6, , , ,3,3, , , ,HARD ,futures ,ITF
M15 Sharm El Sheikh 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Petr Hajek ,Valeriy Martishev ,2,0,6,6, , , ,4,0, , , ,HARD ,futures ,ITF
M15 Sharm El Sheikh 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Michiel De Krom ,Niklas Johansson ,2,0,6,6, , , ,4,4, , , ,HARD ,futures ,ITF
M15 Sharm El Sheikh 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Michiel De Krom ,Mats Rosenkranz ,2,0,6,6, , , ,2,4, , , ,HARD ,futures ,ITF
M15 Sharm El Sheikh 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Igor Sao Thiago ,Roman Boychuk ,2,0,7,6, , , ,5,4, , , ,HARD ,futures ,ITF
M15 Sharm El Sheikh 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Federico Iannaccone ,Daniel Batista ,2,0,6,6, , , ,1,1, , , ,HARD ,futures ,ITF
M15 Sharm El Sheikh 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Oleksii Krutykh ,Alessandro Ingarao ,2,0,7,6, , , ,6,1, , , ,HARD ,futures ,ITF
M15 Sharm El Sheikh 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Oleksii Krutykh ,Alen Rogic Hadzalic ,2,0,6,6, , , ,3,1, , , ,HARD ,futures ,ITF
M25 Palm Coast 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Nicolas Alvarez ,Sekou Bangoura ,2,1,7,1,6, , ,6,6,4, , ,CLAY ,futures ,ITF
M25 Weston 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Joao Pedro Sorgi ,Dragos Constantin Ignat ,3,0,7,5,d , , ,5,0, , , ,CLAY ,futures ,ITF
M25 Weston 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Junior A. Ore ,Juan Hernandez Serrano ,2,0,7,6, , , ,6,2, , , ,CLAY ,futures ,ITF
M25 Weston 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Christian Lindell ,Aron Hiltzik ,2,1,1,6,1, , ,6,2,8, , ,CLAY ,futures ,ITF
M25 Weston 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Lucas Renard ,Alessandro Ceppellini ,2,0,7,6, , , ,6,3, , , ,CLAY ,futures ,ITF
M25 Weston 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Naoki Nakagawa ,Rowland Phillips ,2,0,6,6, , , ,1,3, , , ,CLAY ,futures ,ITF
M25 Weston 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Alan Kohen ,Blaise Bicknell ,2,0,7,6, , , ,6,4, , , ,CLAY ,futures ,ITF
M25 Weston 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Adrian Obert ,Jacob Dunbar ,2,0,6,6, , , ,4,2, , , ,CLAY ,futures ,ITF
M25 Weston 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Matic Spec ,Tyler Mercier ,2,0,6,6, , , ,2,1, , , ,CLAY ,futures ,ITF
M25 Weston 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Paul Oosterbaan ,Boris Arias ,2,0,6,6, , , ,2,4, , , ,CLAY ,futures ,ITF
M25 Weston 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Jose Olivares ,Janmagnus Johnson ,2,0,6,6, , , ,2,3, , , ,CLAY ,futures ,ITF
M25 Weston 2019 ,28/01/2019 00:00,2019-01-28 00:00:00,Nick Hardt ,Neel Rajesh ,2,0,6,6, , , ,2,2, , , ,CLAY ,futures ,ITF
