tournament,date,date_real,aName,bName,aSets,bSets,aS1,aS2,aS3,aS4,aS5,bS1,bS2,bS3,bS4,bS5,surface,level,federation
Australian Open (juniors) 2019 ,26/01/2019 00:00,2019-01-26 00:00:00,Lorenzo Musetti ,Emilio Nava ,2,1,4,6,7, , ,6,2,6, , ,HARD ,grandSlam ,GS
Burnie Challenger 2019 ,26/01/2019 00:00,2019-01-26 00:00:00,Steven Diez ,Jay Clarke ,2,0,6,6, , , ,4,4, , , ,HARD ,challeger ,ATP
Burnie Challenger 2019 ,26/01/2019 00:00,2019-01-26 00:00:00,Maverick Banes ,Kamil Majchrzak ,2,1,6,7,6, , ,7,6,3, , ,HARD ,challeger ,ATP
M15 Antalya 2019 ,26/01/2019 00:00,2019-01-26 00:00:00,Juan Manuel Cerundolo ,Mathieu Perchicot ,1,0,w , , , , , , , , , ,CLAY ,futures ,ITF
M15 Antalya 2019 ,26/01/2019 00:00,2019-01-26 00:00:00,Tomas Vanko ,Maxime Hamou ,1,0,w , , , , , , , , , ,CLAY ,futures ,ITF
M15 Monastir 2019 ,26/01/2019 00:00,2019-01-26 00:00:00,Skander Mansouri ,Riccardo Balzerani ,2,0,7,6, , , ,6,4, , , ,HARD ,futures ,ITF
M15 Monastir 2019 ,26/01/2019 00:00,2019-01-26 00:00:00,Gilbert Soares Klier Junior ,Altug Celikbilek ,2,0,6,7, , , ,3,6, , , ,HARD ,futures ,ITF
M15 Palmanova 2019 ,26/01/2019 00:00,2019-01-26 00:00:00,Sandro Ehrat ,Pol Martin Tiffon ,2,0,7,6, , , ,5,0, , , ,CLAY ,futures ,ITF
M15 Palmanova 2019 ,26/01/2019 00:00,2019-01-26 00:00:00,Francisco Cerundolo ,Carlos Alcaraz Garfia ,2,0,6,6, , , ,2,4, , , ,CLAY ,futures ,ITF
M15 Sharm El Sheikh 2019 ,26/01/2019 00:00,2019-01-26 00:00:00,Karim Mohamed Maamoun ,Lukas Klein ,2,0,7,7, , , ,5,5, , , ,HARD ,futures ,ITF
M15 Sharm El Sheikh 2019 ,26/01/2019 00:00,2019-01-26 00:00:00,Pablo Vivero Gonzalez ,Chun Hsin Tseng ,2,0,6,6, , , ,2,3, , , ,HARD ,futures ,ITF
M15 Veigy-Foncenex 2019 ,26/01/2019 00:00,2019-01-26 00:00:00,Maxime Tchoutakian ,Raphael Baltensperger ,2,0,7,6, , , ,6,3, , , ,CARPET ,futures ,ITF
M15 Veigy-Foncenex 2019 ,26/01/2019 00:00,2019-01-26 00:00:00,Christopher Heyman ,Hugo Grenier ,2,0,2,d , , , ,0, , , , ,CARPET ,futures ,ITF
M25 Kazan 2019 ,26/01/2019 00:00,2019-01-26 00:00:00,Teimuraz Gabashvili ,Konstantin Kravchuk ,2,1,7,4,6, , ,5,6,1, , ,I. HARD ,futures ,ITF
M25 Kazan 2019 ,26/01/2019 00:00,2019-01-26 00:00:00,Sanjar Fayziev ,Evgeny Tyurnev ,2,1,6,6,7, , ,3,7,6, , ,I. HARD ,futures ,ITF
