tournament,date,aName,bName,aSets,bSets,aS1,aS2,aS3,aS4,aS5,bS1,bS2,bS3,bS4,bS5,surface,level,federation
"ABN AMRO World Tennis Tournament - Rotterdam 2019" ,2019-02-16 00:00:00 ,"Jean Julien Rojer/Horia Tecau" ,"Rajeev Ram/Joe Salisbury" ,2 ,1 ,3 ,6 ,1 , , ,6 ,2 ,7 , , ,I. HARD ,atp ,ATP
"ABN AMRO World Tennis Tournament - Rotterdam 2019" ,2019-02-16 00:00:00 ,"Jeremy Chardy/Henri Kontinen" ,"Marcel Granollers/Nikola Mektic" ,2 ,1 ,6 ,6 ,1 , , ,7 ,4 ,6 , , ,I. HARD ,atp ,ATP
"Argentina Open - Buenos Aires 2019" ,2019-02-16 00:00:00 ,"Diego Sebastian Schwartzman/Dominic Thiem" ,"Jaume Antoni Munar Clar/Albert Ramos Vinolas" ,2 ,1 ,6 ,3 ,1 , , ,4 ,6 ,6 , , ,CLAY ,atp ,ATP
"Bangkok Challenger 2019" ,2019-02-16 00:00:00 ,"Mao Xin Gong/Ze Zhang" ,"Max Purcell/Matt Reid" ,2 ,0 ,7 ,6 , , , ,5 ,3 , , , ,HARD ,challeger ,ATP
"Bangkok Challenger 2019" ,2019-02-16 00:00:00 ,"Cheng Peng Hsieh/Christopher Rungkat" ,"N.Sriram Balaji/Arjun Kadhe" ,2 ,0 ,7 ,7 , , , ,5 ,6 , , , ,HARD ,challeger ,ATP
"Cherbourg Challenger 2019" ,2019-02-16 00:00:00 ,"Javier Barranco Cosano/Raul Brancaccio" ,"Jeevan Nedunchezhiyan/Purav Raja" ,2 ,1 ,6 ,3 ,1 , , ,4 ,6 ,6 , , ,I. HARD ,challeger ,ATP
"Cherbourg Challenger 2019" ,2019-02-16 00:00:00 ,"Robert Galloway/Nathaniel Lammons" ,"Benjamin Bonzi/Ugo Humbert" ,2 ,0 ,6 ,6 , , , ,4 ,4 , , , ,I. HARD ,challeger ,ATP
"New York Open - New York 2019" ,2019-02-16 00:00:00 ,"Santiago Gonzalez/Aisam Qureshi" ,"Adrian Mannarino/Hugo Nys" ,2 ,1 ,6 ,3 ,1 , , ,4 ,6 ,1 , , ,I. HARD ,atp ,ATP
"New York Open - New York 2019" ,2019-02-16 00:00:00 ,"Kevin Krawietz/Andreas Mies" ,"Robert Lindstedt/Tim Puetz" ,2 ,0 ,6 ,6 , , , ,2 ,4 , , , ,I. HARD ,atp ,ATP
"ABN AMRO World Tennis Tournament - Rotterdam 2019" ,2019-02-17 00:00:00 ,"Jeremy Chardy/Henri Kontinen" ,"Jean Julien Rojer/Horia Tecau" ,2 ,0 ,7 ,7 , , , ,6 ,6 , , , ,I. HARD ,atp ,ATP
"Argentina Open - Buenos Aires 2019" ,2019-02-17 00:00:00 ,"Maximo Gonzalez/Horacio Zeballos" ,"Diego Sebastian Schwartzman/Dominic Thiem" ,2 ,0 ,6 ,6 , , , ,1 ,1 , , , ,CLAY ,atp ,ATP
"Bangkok Challenger 2019" ,2019-02-17 00:00:00 ,"Mao Xin Gong/Ze Zhang" ,"Cheng Peng Hsieh/Christopher Rungkat" ,2 ,0 ,6 ,6 , , , ,4 ,4 , , , ,HARD ,challeger ,ATP
"Cherbourg Challenger 2019" ,2019-02-17 00:00:00 ,"Robert Galloway/Nathaniel Lammons" ,"Javier Barranco Cosano/Raul Brancaccio" ,2 ,1 ,4 ,7 ,1 , , ,6 ,6 ,8 , , ,I. HARD ,challeger ,ATP
"New York Open - New York 2019" ,2019-02-17 00:00:00 ,"Kevin Krawietz/Andreas Mies" ,"Santiago Gonzalez/Aisam Qureshi" ,2 ,0 ,6 ,7 , , , ,4 ,5 , , , ,I. HARD ,atp ,ATP
"Delray Beach Open - Delray Beach 2019" ,2019-02-18 00:00:00 ,"Paolo Lorenzi/Andreas Seppi" ,"John Patrick Smith/Jordan Thompson" ,2 ,1 ,6 ,3 ,1 , , ,2 ,6 ,6 , , ,HARD ,atp ,ATP
"Delray Beach Open - Delray Beach 2019" ,2019-02-18 00:00:00 ,"Radu Albot/Yoshihito Nishioka" ,"Marcel Granollers/Bernard Tomic" ,2 ,0 ,7 ,6 , , , ,5 ,4 , , , ,HARD ,atp ,ATP
"Open 13 Provence - Marseille 2019" ,2019-02-18 00:00:00 ,"Denys Molchanov/Igor Zelenay" ,"Gerard Granollers/Benoit Paire" ,2 ,0 ,6 ,7 , , , ,4 ,6 , , , ,I. HARD ,atp ,ATP
