tournament,date,aName,bName,aSets,bSets,aS1,aS2,aS3,aS4,aS5,bS1,bS2,bS3,bS4,bS5,surface,level,federation
Orlando Challenger 2018 ,2018-12-31 00:00:00,Goncalo Oliveira ,Alex Rybakov ,2,1,2,7,7, , ,6,6,6, , ,HARD ,challeger ,ATP
Orlando Challenger 2018 ,2018-12-31 00:00:00,Ulises Blanch ,Laurynas Grigelis ,2,0,6,6, , , ,1,2, , , ,HARD ,challeger ,ATP
Brisbane International - Brisbane 2019 ,2019-01-01 00:00:00,Denis Kudla ,Taylor Harry Fritz ,2,1,7,6,6, , ,6,7,4, , ,HARD ,atp ,ATP
Brisbane International - Brisbane 2019 ,2019-01-01 00:00:00,Jeremy Chardy ,Jan Lennard Struff ,2,1,4,6,6, , ,6,3,4, , ,HARD ,atp ,ATP
Brisbane International - Brisbane 2019 ,2019-01-01 00:00:00,Andy Murray ,James Duckworth ,2,0,6,6, , , ,3,4, , , ,HARD ,atp ,ATP
Brisbane International - Brisbane 2019 ,2019-01-01 00:00:00,Nick Kyrgios ,Ryan Harrison ,2,1,7,5,7, , ,6,7,6, , ,HARD ,atp ,ATP
Brisbane International - Brisbane 2019 ,2019-01-01 00:00:00,Jo Wilfried Tsonga ,Thanasi Kokkinakis ,2,0,7,6, , , ,6,4, , , ,HARD ,atp ,ATP
Brisbane International - Brisbane 2019 ,2019-01-01 00:00:00,Alex De Minaur ,Alexei Popyrin ,2,0,6,6, , , ,2,2, , , ,HARD ,atp ,ATP
Brisbane International - Brisbane 2019 ,2019-01-01 00:00:00,Jordan Thompson ,Alex Bolt ,2,0,6,6, , , ,3,0, , , ,HARD ,atp ,ATP
M25 Los Angeles 2019 ,2019-01-01 00:00:00,Patrick Kypson ,Felix Corwin ,2,0,7,6, , , ,5,3, , , ,HARD ,futures ,ITF
M25 Los Angeles 2019 ,2019-01-01 00:00:00,Daniel Nguyen ,Alexis Gautier ,2,0,6,6, , , ,1,2, , , ,HARD ,futures ,ITF
M25 Los Angeles 2019 ,2019-01-01 00:00:00,Keenan Mayo ,Tristan Boyer ,2,0,6,7, , , ,2,6, , , ,HARD ,futures ,ITF
M25 Los Angeles 2019 ,2019-01-01 00:00:00,Govind Nanda ,Michail Pervolarakis ,2,0,6,6, , , ,3,1, , , ,HARD ,futures ,ITF
Orlando Challenger 2019 ,2019-01-01 00:00:00,Michael Redlicki ,Vaclav Safranek ,2,0,7,6, , , ,6,2, , , ,HARD ,challeger ,ATP
Orlando Challenger 2019 ,2019-01-01 00:00:00,Marcos Giron ,Uladzimir Ignatik ,2,0,6,7, , , ,1,5, , , ,HARD ,challeger ,ATP
Orlando Challenger 2019 ,2019-01-01 00:00:00,Dennis Novikov ,Joao Souza ,2,0,6,6, , , ,3,2, , , ,HARD ,challeger ,ATP
Orlando Challenger 2019 ,2019-01-01 00:00:00,Tom Jomby ,Carlos Taberner ,2,0,7,6, , , ,6,2, , , ,HARD ,challeger ,ATP
Orlando Challenger 2019 ,2019-01-01 00:00:00,Sam Riffice ,Filip Peliwo ,2,1,1,6,6, , ,6,2,0, , ,HARD ,challeger ,ATP
Orlando Challenger 2019 ,2019-01-01 00:00:00,Enzo Couacaud ,Joao Menezes ,2,0,6,6, , , ,1,1, , , ,HARD ,challeger ,ATP
Orlando Challenger 2019 ,2019-01-01 00:00:00,Gijs Brouwer ,Ricardo Ojeda Lara ,2,1,5,6,6, , ,7,0,2, , ,HARD ,challeger ,ATP
Orlando Challenger 2019 ,2019-01-01 00:00:00,Darian King ,Evan King ,2,0,6,6, , , ,0,2, , , ,HARD ,challeger ,ATP
Orlando Challenger 2019 ,2019-01-01 00:00:00,Lucas Miedler ,Jeff Wolf ,2,1,5,6,6, , ,7,3,4, , ,HARD ,challeger ,ATP
Orlando Challenger 2019 ,2019-01-01 00:00:00,Norbert Gombos ,Liam Broady ,2,0,7,6, , , ,5,2, , , ,HARD ,challeger ,ATP
Orlando Challenger 2019 ,2019-01-01 00:00:00,Evan Song ,Benjamin Bonzi ,2,0,6,6, , , ,2,4, , , ,HARD ,challeger ,ATP
Orlando Challenger 2019 ,2019-01-01 00:00:00,Johan Sebastien Tatlot ,Alexander Sarkissian ,2,0,7,6, , , ,5,0, , , ,HARD ,challeger ,ATP
Brisbane International - Brisbane 2019 ,2019-01-02 00:00:00,Grigor Dimitrov ,John Millman ,2,0,6,6, , , ,3,4, , , ,HARD ,atp ,ATP
Brisbane International - Brisbane 2019 ,2019-01-02 00:00:00,Yasutaka Uchiyama ,Kyle Edmund ,2,0,7,6, , , ,6,4, , , ,HARD ,atp ,ATP
Brisbane International - Brisbane 2019 ,2019-01-02 00:00:00,Kei Nishikori ,Denis Kudla ,2,0,7,6, , , ,5,2, , , ,HARD ,atp ,ATP
Brisbane International - Brisbane 2019 ,2019-01-02 00:00:00,Milos Raonic ,Miomir Kecmanovic ,2,0,6,7, , , ,3,6, , , ,HARD ,atp ,ATP
Brisbane International - Brisbane 2019 ,2019-01-02 00:00:00,Jeremy Chardy ,Nick Kyrgios ,2,1,6,6,6, , ,7,2,3, , ,HARD ,atp ,ATP
Brisbane International - Brisbane 2019 ,2019-01-02 00:00:00,Daniil Medvedev ,Andy Murray ,2,0,7,6, , , ,5,2, , , ,HARD ,atp ,ATP
Brisbane International - Brisbane 2019 ,2019-01-02 00:00:00,Alex De Minaur ,Jordan Thompson ,2,0,6,6, , , ,4,2, , , ,HARD ,atp ,ATP
M25 Los Angeles 2019 ,2019-01-02 00:00:00,Martin Redlicki ,Alexios Halebian ,2,0,7,7, , , ,6,6, , , ,HARD ,futures ,ITF
M25 Los Angeles 2019 ,2019-01-02 00:00:00,Brandon Nakashima ,Maxime Cressy ,2,0,6,6, , , ,1,4, , , ,HARD ,futures ,ITF
M25 Los Angeles 2019 ,2019-01-02 00:00:00,Logan Smith ,Tyler Lu ,2,0,7,7, , , ,6,6, , , ,HARD ,futures ,ITF
M25 Los Angeles 2019 ,2019-01-02 00:00:00,Alexander Lebedev ,Pavel Krainik ,2,0,6,6, , , ,4,2, , , ,HARD ,futures ,ITF
M25 Los Angeles 2019 ,2019-01-02 00:00:00,George Goldhoff ,Aziz Dougaz ,2,1,7,4,7, , ,6,6,6, , ,HARD ,futures ,ITF
M25 Los Angeles 2019 ,2019-01-02 00:00:00,Luis Patino ,Henry Craig ,2,0,7,7, , , ,6,5, , , ,HARD ,futures ,ITF
M25 Los Angeles 2019 ,2019-01-02 00:00:00,Emilio Gomez ,Alexander Cozbinov ,2,0,6,6, , , ,1,3, , , ,HARD ,futures ,ITF
M25 Los Angeles 2019 ,2019-01-02 00:00:00,Alec Adamson ,Manuel Guinard ,2,1,6,3,7, , ,2,6,6, , ,HARD ,futures ,ITF
M25 Los Angeles 2019 ,2019-01-02 00:00:00,Jenson Brooksby ,Evan Hoyt ,2,1,5,6,6, , ,7,1,4, , ,HARD ,futures ,ITF
M25 Los Angeles 2019 ,2019-01-02 00:00:00,Brandon Holt ,Lloyd Glasspool ,2,0,6,6, , , ,4,2, , , ,HARD ,futures ,ITF
Orlando Challenger 2019 ,2019-01-02 00:00:00,Gastao Elias ,Enzo Couacaud ,2,0,6,7, , , ,4,5, , , ,HARD ,challeger ,ATP
Orlando Challenger 2019 ,2019-01-02 00:00:00,Roberto Cid ,Goncalo Oliveira ,2,0,6,6, , , ,3,3, , , ,HARD ,challeger ,ATP
Orlando Challenger 2019 ,2019-01-02 00:00:00,Michael Redlicki ,Jc Aragone ,2,1,1,6,6, , ,6,4,3, , ,HARD ,challeger ,ATP
