tournament, date, aName, bName, aSets, bSets, aS1, aS2, aS3, aS4, aS5, bS1, bS2, bS3, bS4, bS5
"Chennai Open - Chennai" ,2006-01-02 ,"Martin Damm/Leander Paes" ,"Ashley Fisher/Justin Gimelstob" ,2 ,1 ,4 ,7 ,1 , , ,6 ,6 ,3 , ,
"Chennai Open - Chennai" ,2006-01-02 ,"Paradorn Srichaphan/Radek Stepanek" ,"Gilles Muller/Cyril Saulnier" ,2 ,1 ,6 ,4 ,1 , , ,4 ,6 ,4 , ,
"Next Generation Adelaide International - Adelaide" ,2006-01-02 ,"Jonathan Erlich/Andy Ram" ,"James Blake/Stephen Huss" ,2 ,0 ,6 ,7 , , , ,3 ,5 , , ,
"Next Generation Adelaide International - Adelaide" ,2006-01-02 ,"Xavier Malisse/Mark Philippoussis" ,"Robert Lindstedt/Jarkko Nieminen" ,2 ,0 ,7 ,6 , , , ,5 ,1 , , ,
"Qatar ExxonMobil Open - Doha" ,2006-01-02 ,"Christophe Rochus/Olivier Rochus" ,"Frantisek Cermak/Leos Friedl" ,2 ,1 ,7 ,1 ,1 , , ,6 ,6 ,1 , ,
"Qatar ExxonMobil Open - Doha" ,2006-01-02 ,"Igor Andreev/Nikolay Davydenko" ,"Andrei Pavel/Mikhail Youzhny" ,2 ,1 ,6 ,6 ,1 , , ,7 ,3 ,1 , ,
"Qatar ExxonMobil Open - Doha" ,2006-01-02 ,"Jeff Coetzee/Rogier Wassen" ,"Tommy Haas/Feliciano Lopez" ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
"Qatar ExxonMobil Open - Doha" ,2006-01-02 ,"Lukasz Kubot/Oliver Marach" ,"Mahesh Bhupathi/Wesley Moodie" ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
"Chennai Open - Chennai" ,2006-01-03 ,"Lukas Dlouhy/Pavel Vizner" ,"Tomas Behrend/Marcos Daniel" ,2 ,0 ,7 ,6 , , , ,5 ,3 , , ,
"Next Generation Adelaide International - Adelaide" ,2006-01-03 ,"Jordan Kerr/Travis Parrott" ,"Tomas Berdych/Cyril Suk" ,2 ,1 ,3 ,6 ,1 , , ,6 ,3 ,1 , ,
